Date,Open,High,Low,Close,Adj Close,Volume,Close_snp500,Close_dji,Close_nasdaq
1992-01-02,0.497768,0.533482,0.495536,0.53125,0.429967,233632000.0,417.26,3172.4,417.26
1992-01-03,0.535714,0.537946,0.520089,0.526786,0.426354,190254400.0,419.34,3201.5,419.34
1992-01-06,0.524554,0.526786,0.515625,0.517857,0.419127,114240000.0,417.96,3200.1,417.96
1992-01-07,0.513393,0.53125,0.513393,0.527902,0.427257,141467200.0,417.4,3204.8,417.4
1992-01-08,0.522321,0.546875,0.522321,0.540179,0.437193,232747200.0,418.1,3203.9,418.1
1992-01-09,0.540179,0.555804,0.537946,0.555804,0.449839,208510400.0,417.61,3209.5,417.61
1992-01-10,0.549107,0.558036,0.544643,0.555804,0.449839,196224000.0,415.1,3199.5,415.1
1992-01-13,0.555804,0.560268,0.549107,0.553571,0.448032,107856000.0,414.34,3185.6,414.34
1992-01-14,0.555804,0.578125,0.555804,0.575893,0.466098,273806400.0,420.44,3246.2,420.44
1992-01-15,0.575893,0.580357,0.5625,0.566964,0.458872,325740800.0,420.77,3258.5,420.77
1992-01-16,0.569196,0.573661,0.558036,0.560268,0.453452,293529600.0,418.21,3249.6,418.21
1992-01-17,0.604911,0.616071,0.578125,0.578125,0.467905,848355200.0,418.86,3265.0,418.86
1992-01-20,0.575893,0.582589,0.571429,0.571429,0.462485,209664000.0,416.36,3254.0,416.36
1992-01-21,0.573661,0.573661,0.544643,0.545759,0.441709,194084800.0,412.64,3223.4,412.64
1992-01-22,0.549107,0.569196,0.546875,0.566964,0.458872,183680000.0,418.13,3255.8,418.13
1992-01-23,0.573661,0.578125,0.5625,0.575893,0.466098,138353600.0,414.96,3226.7,414.96
1992-01-24,0.575893,0.587054,0.571429,0.577009,0.467002,177609600.0,415.48,3232.8,415.48
1992-01-27,0.578125,0.582589,0.573661,0.575893,0.466098,83451200.0,414.99,3240.6,414.99
1992-01-28,0.578125,0.583705,0.5625,0.582589,0.471518,173723200.0,414.96,3272.1,414.96
1992-01-29,0.578125,0.587054,0.564732,0.564732,0.457065,144558400.0,410.34,3225.0,410.34
1992-01-30,0.566964,0.569196,0.560268,0.569196,0.460678,87113600.0,411.62,3244.9,411.62
1992-01-31,0.571429,0.582589,0.566964,0.578125,0.467905,144558400.0,408.78,3223.4,408.78
1992-02-03,0.578125,0.591518,0.575893,0.587054,0.475132,158132800.0,409.53,3234.1,409.53
1992-02-04,0.587054,0.591518,0.580357,0.587054,0.475132,192931200.0,413.85,3272.8,413.85
