Date,Open,High,Low,Close,Adj Close,Volume,Close_snp500,Close_dji,Close_nasdaq
2013-01-02,34.919998,35.400002,34.099998,35.119999,22.419832,13767900,1462.42,13412.55,1462.42
2013-01-03,35.0,35.0,34.16,34.830002,22.234705,16739300,1459.37,13391.36,1459.37
2013-01-04,34.619999,34.889999,34.25,34.389999,21.953821,21372100,1466.47,13435.21,1466.47
2013-01-07,34.150002,35.450001,34.150002,34.459999,21.998503,17897100,1461.89,13384.29,1461.89
2013-01-08,34.290001,34.639999,33.360001,33.709999,21.519724,17863300,1457.15,13328.85,1457.15
2013-01-09,33.610001,33.950001,33.610001,33.900002,21.64102,18800400,1461.02,13390.51,1461.02
2013-01-10,33.66,34.0,33.330002,34.0,21.704859,15658100,1472.12,13471.22,1472.12
2013-01-11,33.59,33.900002,33.349998,33.849998,21.86635,11191500,1472.05,13488.43,1472.05
2013-01-14,34.009998,34.25,33.799999,34.09,22.021383,11584900,1470.68,13507.32,1470.68
2013-01-15,33.709999,34.720001,33.709999,34.599998,22.350824,13040200,1472.34,13534.89,1472.34
2013-01-16,34.470001,35.540001,34.450001,35.540001,22.958044,16512700,1472.63,13511.23,1472.63
2013-01-17,35.75,36.700001,35.75,36.419998,23.526501,14424800,1480.94,13596.02,1480.94
2013-01-18,36.43,37.32,36.040001,37.32,24.10788,17842200,1485.98,13649.7,1485.98
2013-01-22,36.98,37.25,35.93,36.419998,23.526501,15809700,1492.56,13712.21,1492.56
2013-01-23,36.91,37.84,36.5,37.799999,24.417959,10981600,1494.81,13779.33,1494.81
2013-01-24,37.790001,38.52,37.23,37.459999,24.198318,11327100,1494.82,13825.33,1494.82
2013-01-25,37.52,37.84,36.639999,37.599998,24.288754,8934600,1502.96,13895.98,1502.96
2013-01-28,37.650002,37.869999,36.709999,36.889999,23.830112,7140100,1500.18,13881.93,1500.18
2013-01-29,36.709999,37.459999,36.25,37.310001,24.101429,8838500,1507.84,13954.42,1507.84
2013-01-30,36.810001,37.529999,36.810001,36.93,23.855951,10841800,1501.96,13910.42,1501.96
2013-01-31,36.84,36.93,36.27,36.689999,23.700918,10720700,1498.11,13860.58,1498.11
2013-02-01,36.84,37.200001,36.52,37.18,24.017447,9527500,1513.17,14009.79,1513.17
2013-02-04,36.639999,37.299999,36.549999,37.279999,24.082052,6348000,1495.71,13880.08,1495.71
