Date,Open,High,Low,Close,Adj Close,Volume,Close_snp500,Close_dji,Close_nasdaq
1998-02-27,17.375,18.0,17.375,17.375,13.703119,50000,1049.34,8545.72,1049.34
1998-03-02,17.25,17.25,17.0,17.25,13.604534,75000,1047.7,8550.45,1047.7
1998-03-03,17.125,17.125,16.75,17.125,13.505953,35000,1052.02,8584.83,1052.02
1998-03-04,15.75,15.75,15.5,15.75,12.421533,60000,1047.33,8539.24,1047.33
1998-03-05,16.125,16.125,16.125,16.125,12.717282,400,1035.05,8444.33,1035.05
1998-03-06,16.125,16.375,16.125,16.125,12.717282,3600,1055.69,8569.39,1055.69
1998-03-09,16.125,16.5,15.875,15.875,12.520117,3200,1052.31,8567.14,1052.31
1998-03-10,15.875,16.875,15.875,16.25,12.815867,56800,1064.25,8643.12,1064.25
1998-03-11,16.25,16.5,16.125,16.25,12.815867,10400,1068.47,8675.75,1068.47
1998-03-12,16.25,16.375,16.125,16.375,12.914449,3800,1069.92,8659.56,1069.92
1998-03-13,16.5,16.5,16.5,16.5,13.013034,1000,1068.61,8602.52,1068.61
1998-03-16,16.5,16.5,16.125,16.125,12.717282,7700,1079.27,8718.85,1079.27
1998-03-17,16.125,16.125,15.75,15.875,12.520117,28000,1080.45,8749.99,1080.45
1998-03-18,15.875,16.125,15.75,16.125,12.717282,45700,1085.52,8775.4,1085.52
1998-03-19,16.125,17.375,16.0,17.125,13.505953,383600,1089.74,8803.05,1089.74
1998-03-20,17.25,17.75,17.25,17.75,13.998866,275600,1099.16,8906.43,1099.16
1998-03-23,17.75,19.0,17.375,18.875,14.886127,398600,1095.55,8816.25,1095.55
1998-03-24,18.875,19.875,18.875,19.75,15.576207,261800,1105.65,8904.44,1105.65
1998-03-25,19.75,20.125,19.5,19.875,15.674792,135600,1101.93,8872.8,1101.93
1998-03-26,19.875,19.875,19.25,19.625,15.477625,26300,1100.8,8846.89,1100.8
1998-03-27,19.625,19.75,18.375,19.25,15.181869,62200,1095.44,8796.08,1095.44
1998-03-30,19.25,19.875,19.25,19.875,15.674792,49500,1093.6,8782.12,1093.6
1998-03-31,19.875,20.25,19.875,20.125,15.871953,79000,1101.75,8799.81,1101.75
1998-04-01,20.125,20.625,20.0,20.5,16.167707,150100,1108.15,8868.32,1108.15
1998-04-02,21.75,23.375,21.75,23.25,18.336544,140500,1120.01,8986.64,1120.01
1998-04-03,23.25,26.125,21.75,24.75,19.519552,458700,1122.7,8983.41,1122.7
1998-04-06,24.75,26.0,23.0,24.0,18.928053,105300,1121.38,9033.23,1121.38
1998-04-07,24.0,24.0,22.125,22.125,17.449291,152800,1109.55,8956.5,1109.55
1998-04-08,22.125,23.0,21.0,22.5,17.745045,45100,1101.65,8891.48,1101.65
1998-04-09,22.5,23.0,22.25,23.0,18.13938,151400,1110.67,8994.86,1110.67
1998-04-13,23.0,23.25,22.375,22.625,17.843636,85900,1109.69,9012.3,1109.69
1998-04-14,22.625,23.0,22.5,22.75,17.942207,322900,1115.75,9110.2,1115.75
1998-04-15,22.75,22.875,21.5,21.75,17.153545,23100,1119.32,9162.27,1119.32
1998-04-16,21.75,21.75,20.875,21.25,16.759207,55400,1108.17,9076.57,1108.17
1998-04-17,21.25,21.625,21.0,21.625,17.054956,15100,1122.72,9167.5,1122.72
1998-04-20,21.625,22.125,21.25,22.125,17.449291,92900,1123.65,9141.84,1123.65
1998-04-21,22.125,22.125,21.75,22.125,17.449291,23100,1126.67,9184.94,1126.67
1998-04-22,22.125,23.625,22.125,23.0,18.13938,60900,1130.54,9176.72,1130.54
1998-04-23,23.0,23.5,23.0,23.5,18.533716,242300,1119.58,9143.33,1119.58
1998-04-24,23.5,23.625,22.0,22.0,17.350704,100900,1107.9,9064.62,1107.9
1998-04-27,22.0,22.5,19.875,20.875,16.463461,52200,1086.54,8917.64,1086.54
1998-04-28,20.875,21.875,20.75,21.5,16.956375,29100,1085.11,8898.96,1085.11
1998-04-29,21.5,22.5,21.0,22.5,17.745045,101300,1094.62,8951.52,1094.62
1998-04-30,22.5,23.25,22.375,23.0,18.13938,116300,1111.75,9063.37,1111.75
1998-05-01,23.0,23.125,22.0,22.125,17.449291,61000,1121.0,9147.07,1121.0
1998-05-04,22.125,22.25,21.25,21.625,17.054956,58400,1122.07,9192.66,1122.07
1998-05-05,21.625,21.75,20.75,21.25,16.759207,44000,1115.5,9147.57,1115.5
1998-05-06,21.25,22.0,20.875,22.0,17.350704,47300,1104.92,9054.65,1104.92
1998-05-07,22.0,22.125,21.375,21.375,16.857796,230900,1095.14,8976.68,1095.14
1998-05-08,21.75,22.75,21.75,22.625,17.843636,320700,1108.14,9055.15,1108.14
1998-05-11,22.625,22.75,22.25,22.375,17.646461,375200,1106.64,9091.52,1106.64
1998-05-12,22.375,22.625,22.0,22.0,17.350704,333300,1115.79,9161.77,1115.79
1998-05-13,22.125,22.625,22.125,22.375,17.646461,88100,1118.86,9211.84,1118.86
1998-05-14,22.375,22.5,22.0,22.5,17.745045,35600,1117.37,9172.23,1117.37
1998-05-15,22.5,22.5,21.5,22.0,17.350704,69200,1108.73,9096.0,1108.73
1998-05-18,22.0,22.125,21.0,21.5,16.956375,53200,1105.82,9050.91,1105.82
1998-05-19,21.5,22.0,21.5,22.0,17.350704,21000,1109.52,9054.65,1109.52
1998-05-20,22.0,22.0,21.0,21.0,16.562046,14100,1119.06,9171.48,1119.06
1998-05-21,21.0,21.125,19.5,21.125,16.660627,116400,1114.64,9132.37,1114.64
