Date,Open,High,Low,Close,Adj Close,Volume,Close_snp500,Close_dji,Close_nasdaq
1992-01-02,12.3125,12.5,12.1875,12.5,8.635595,2048400,417.26,3172.4,417.26
1992-01-03,12.5625,12.6875,12.125,12.25,8.462882,1314400,419.34,3201.5,419.34
1992-01-06,12.3125,12.5,12.0625,12.28125,8.484471,1950400,417.96,3200.1,417.96
1992-01-07,12.3125,12.3125,12.0625,12.0625,8.333347,1724000,417.4,3204.8,417.4
1992-01-08,12.125,12.125,11.75,11.9375,8.246991,2656000,418.1,3203.9,418.1
1992-01-09,11.9375,12.625,11.875,12.5,8.635595,2305600,417.61,3209.5,417.61
1992-01-10,12.4375,12.5,12.125,12.3125,8.506063,1602000,415.1,3199.5,415.1
1992-01-13,12.1875,12.25,11.875,12.1875,8.419703,2027600,414.34,3185.6,414.34
1992-01-14,12.125,12.1875,11.28125,11.75,8.11746,8113600,420.44,3246.2,420.44
1992-01-15,11.875,12.0625,11.625,12.0,8.290172,5104800,420.77,3258.5,420.77
1992-01-16,12.125,12.375,11.9375,12.25,8.462882,5572800,418.21,3249.6,418.21
1992-01-17,12.25,12.3125,12.0625,12.125,8.376525,1331200,418.86,3265.0,418.86
1992-01-20,12.1875,12.1875,11.5625,11.6875,8.074278,4028000,416.36,3254.0,416.36
1992-01-21,11.5625,11.75,11.1875,11.1875,7.728858,4607200,412.64,3223.4,412.64
1992-01-22,11.25,11.625,11.1875,11.625,8.031107,3228400,418.13,3255.8,418.13
1992-01-23,11.6875,11.75,11.375,11.4375,7.901569,1674000,414.96,3226.7,414.96
1992-01-24,11.4375,11.6875,11.3125,11.59375,8.009514,1743200,415.48,3232.8,415.48
1992-01-27,11.5,11.875,11.5,11.75,8.11746,830400,414.99,3240.6,414.99
1992-01-28,12.0,12.0,11.8125,11.8125,8.160639,1505600,414.96,3272.1,414.96
1992-01-29,11.875,11.9375,11.75,11.8125,8.160639,1638800,410.34,3225.0,410.34
1992-01-30,11.8125,11.875,11.6875,11.75,8.11746,567600,411.62,3244.9,411.62
1992-01-31,11.8125,11.8125,11.1875,11.4375,7.901569,2767600,408.78,3223.4,408.78
1992-02-03,11.3125,11.875,11.3125,11.8125,8.160639,1260800,409.53,3234.1,409.53
1992-02-04,11.9375,12.0625,11.8125,12.0625,8.333347,2860400,413.85,3272.8,413.85
1992-02-05,12.0625,12.625,11.9375,12.25,8.462882,2790000,413.84,3257.6,413.84
1992-02-06,12.28125,12.4375,12.1875,12.3125,8.506063,1816800,413.82,3255.6,413.82
1992-02-07,12.375,12.375,12.0625,12.0625,8.333347,1269600,411.09,3225.4,411.09
1992-02-10,12.0625,12.125,11.6875,11.875,8.203814,1321200,413.77,3245.1,413.77
1992-02-11,11.875,12.125,11.75,12.0625,8.333347,615600,413.76,3251.6,413.76
1992-02-12,12.25,12.3125,12.0625,12.1875,8.419703,1020800,417.13,3276.8,417.13
1992-02-13,12.1875,12.5,12.125,12.3125,8.506063,2575200,413.69,3246.7,413.69
1992-02-14,12.25,12.5625,12.1875,12.5,8.635595,1480800,412.48,3246.0,412.48
1992-02-18,12.5625,13.0,12.5,12.6875,8.765134,3579200,407.38,3224.7,407.38
1992-02-19,12.625,12.8125,12.5625,12.65625,8.743544,2376800,408.26,3230.3,408.26
