Date,Open,High,Low,Close,Adj Close,Volume,Close_snp500,Close_dji,Close_nasdaq
2004-06-23,3.75,4.325,3.6875,4.3,4.3,43574400,1144.06,10479.57,1144.06
2004-06-24,4.3875,4.4225,4.125,4.19,4.19,8887200,1140.65,10443.81,1140.65
2004-06-25,4.1275,4.1875,3.9475,3.95,3.95,6710000,1134.43,10371.84,1134.43
2004-06-28,4.0,4.0525,3.86,4.0,4.0,2270800,1133.35,10357.09,1133.35
2004-06-29,4.0,4.175,3.9575,4.1,4.1,2112000,1136.2,10413.43,1136.2
2004-06-30,4.1,4.235,4.0075,4.0175,4.0175,2087600,1140.84,10435.48,1140.84
2004-07-01,4.02,4.05,3.975,4.0075,4.0075,1754800,1128.94,10334.16,1128.94
2004-07-02,4.025,4.245,4.0125,4.245,4.245,993200,1125.38,10282.83,1125.38
2004-07-06,4.2325,4.25,4.12,4.25,4.25,1216800,1116.21,10219.34,1116.21
2004-07-07,4.225,4.225,4.0125,4.0775,4.0775,1787600,1118.33,10240.29,1118.33
2004-07-08,4.0775,4.0775,3.915,3.935,3.935,2179200,1109.11,10171.56,1109.11
2004-07-09,3.985,4.1425,3.975,4.1,4.1,596800,1112.81,10213.22,1112.81
2004-07-12,4.15,4.2075,4.0375,4.1875,4.1875,780800,1114.35,10238.22,1114.35
2004-07-13,4.185,4.185,4.02,4.02,4.02,1674000,1115.14,10247.59,1115.14
2004-07-14,4.0125,4.0125,3.895,3.9125,3.9125,2366000,1111.47,10208.8,1111.47
2004-07-15,3.9375,3.95,3.735,3.835,3.835,1806000,1106.69,10163.16,1106.69
2004-07-16,3.85,4.1,3.74,4.0,4.0,3278800,1101.39,10139.78,1101.39
2004-07-19,4.0125,4.0425,3.9575,4.0025,4.0025,954800,1100.9,10094.06,1100.9
2004-07-20,4.0025,4.045,3.8825,4.015,4.015,2245200,1108.67,10149.07,1108.67
2004-07-21,4.025,4.025,2.7625,2.925,2.925,25415200,1093.88,10046.13,1093.88
2004-07-22,2.8875,3.295,2.825,3.245,3.245,9824800,1096.84,10050.33,1096.84
2004-07-23,3.2375,3.375,3.1875,3.26,3.26,1674400,1086.2,9962.22,1086.2
2004-07-26,3.3875,3.3875,3.22,3.32,3.32,1286000,1084.07,9961.92,1084.07
2004-07-27,3.345,3.3575,3.275,3.285,3.285,751200,1094.83,10085.14,1094.83
2004-07-28,3.2625,3.305,3.15,3.2475,3.2475,1534800,1095.42,10117.07,1095.42
2004-07-29,3.25,3.3375,3.2375,3.24,3.24,908000,1100.43,10129.24,1100.43
2004-07-30,3.24,3.3,3.1375,3.2525,3.2525,815200,1101.72,10139.71,1101.72
2004-08-02,3.245,3.27,3.1425,3.2025,3.2025,1297600,1106.62,10179.16,1106.62
2004-08-03,3.2,3.2725,2.9975,3.0325,3.0325,2944400,1099.69,10120.24,1099.69
2004-08-04,3.0325,3.0375,2.9875,2.995,2.995,2746800,1098.63,10126.51,1098.63
2004-08-05,2.9975,2.9975,2.67,2.725,2.725,3030400,1080.7,9963.03,1080.7
2004-08-06,2.725,2.75,2.6775,2.6925,2.6925,1797200,1063.97,9815.33,1063.97
2004-08-09,2.7375,2.7625,2.715,2.7475,2.7475,1121600,1065.22,9814.66,1065.22
2004-08-10,2.75,2.76,2.72,2.75,2.75,733200,1079.04,9944.67,1079.04
2004-08-11,2.7375,2.7375,2.6475,2.655,2.655,628400,1075.79,9938.32,1075.79
2004-08-12,2.68,2.6825,2.48,2.4975,2.4975,1578000,1063.23,9814.59,1063.23
2004-08-13,2.4975,2.5125,2.3675,2.3975,2.3975,2496000,1064.8,9825.35,1064.8
2004-08-16,2.4,2.4625,2.25,2.43,2.43,2171200,1079.34,9954.55,1079.34
2004-08-17,2.47,2.7475,2.47,2.7425,2.7425,2968000,1081.71,9972.83,1081.71
2004-08-18,2.725,3.0375,2.67,2.9875,2.9875,1697600,1095.17,10083.15,1095.17
2004-08-19,2.9875,3.0625,2.925,3.0425,3.0425,1309600,1091.23,10040.82,1091.23
2004-08-20,3.125,3.3,2.9725,3.15,3.15,4034800,1098.35,10110.14,1098.35
2004-08-23,3.175,3.2375,3.09,3.125,3.125,1127600,1095.68,10073.05,1095.68
2004-08-24,3.15,3.195,3.105,3.1925,3.1925,1072400,1096.19,10098.63,1096.19
2004-08-25,3.2,3.2625,3.125,3.24,3.24,1200800,1104.96,10181.74,1104.96
2004-08-26,3.2425,3.25,3.2025,3.225,3.225,471200,1105.09,10173.41,1105.09
2004-08-27,3.25,3.3025,3.225,3.2875,3.2875,463600,1107.77,10195.01,1107.77
2004-08-30,3.305,3.315,3.265,3.2925,3.2925,606000,1099.15,10122.52,1099.15
2004-08-31,3.3,3.3125,3.175,3.25,3.25,874400,1104.24,10173.92,1104.24
2004-09-01,3.3,3.3325,3.29,3.3325,3.3325,512800,1105.91,10168.46,1105.91
2004-09-02,3.32,3.4925,3.32,3.4725,3.4725,998800,1118.31,10290.28,1118.31
2004-09-03,3.475,3.485,3.405,3.4375,3.4375,924000,1113.63,10260.2,1113.63
2004-09-07,3.44,3.44,3.35,3.3575,3.3575,1192000,1121.3,10342.79,1121.3
2004-09-08,3.3325,3.3325,3.2875,3.31,3.31,550000,1116.27,10313.36,1116.27
2004-09-09,3.31,3.325,3.2425,3.2925,3.2925,2529200,1118.38,10289.1,1118.38
2004-09-10,3.2875,3.575,3.2875,3.5625,3.5625,2795200,1123.92,10313.07,1123.92
2004-09-13,3.6,3.875,3.6,3.8,3.8,4345200,1125.82,10314.76,1125.82
2004-09-14,3.8,4.0225,3.75,3.9775,3.9775,2052000,1128.33,10318.16,1128.33
2004-09-15,3.98,4.285,3.925,4.085,4.085,4147200,1120.37,10231.36,1120.37
2004-09-16,4.0875,4.1225,4.015,4.065,4.065,2518400,1123.5,10244.49,1123.5
2004-09-17,4.05,4.0525,3.71,3.9175,3.9175,4487600,1128.55,10284.46,1128.55
2004-09-20,3.9375,4.025,3.9225,4.0025,4.0025,597200,1122.2,10204.89,1122.2
2004-09-21,4.0125,4.225,4.0125,4.09,4.09,2327200,1129.3,10244.93,1129.3
2004-09-22,4.075,4.075,3.9525,4.0175,4.0175,2076800,1113.56,10109.18,1113.56
2004-09-23,4.0175,4.0175,3.9125,3.9275,3.9275,1117600,1108.36,10038.9,1108.36
2004-09-24,3.99,4.2125,3.95,4.01,4.01,2796000,1110.11,10047.24,1110.11
2004-09-27,4.0,4.0175,3.8775,3.8975,3.8975,1380000,1103.52,9988.54,1103.52
2004-09-28,3.88,3.885,3.6925,3.75,3.75,1862800,1110.06,10077.4,1110.06
2004-09-29,3.7625,3.9675,3.7625,3.9375,3.9375,1700400,1114.8,10136.24,1114.8
2004-09-30,3.9375,3.9775,3.905,3.9075,3.9075,4521200,1114.58,10080.27,1114.58
2004-10-01,3.9075,4.195,3.88,4.1625,4.1625,2613600,1131.5,10192.65,1131.5
2004-10-04,4.2875,4.46,4.14,4.2175,4.2175,3153200,1135.17,10216.54,1135.17
2004-10-05,4.22,4.28,4.15,4.225,4.225,1360800,1134.48,10177.68,1134.48
2004-10-06,4.225,4.3125,4.1225,4.3125,4.3125,1433600,1142.05,10239.92,1142.05
2004-10-07,4.475,4.705,4.4025,4.625,4.625,5887200,1130.65,10125.4,1130.65
2004-10-08,4.615,4.615,4.3675,4.405,4.405,2528400,1122.14,10055.2,1122.14
2004-10-11,4.41,4.5875,4.4,4.545,4.545,1064800,1124.39,10081.97,1124.39
2004-10-12,4.5,4.5975,4.4175,4.5975,4.5975,897200,1121.84,10077.18,1121.84
2004-10-13,4.65,4.8075,4.6025,4.625,4.625,1728000,1113.65,10002.33,1113.65
2004-10-14,4.625,4.6875,4.4625,4.4975,4.4975,1047200,1103.29,9894.45,1103.29
2004-10-15,4.515,4.56,4.4,4.495,4.495,946800,1108.2,9933.38,1108.2
2004-10-18,4.475,4.575,4.4125,4.5725,4.5725,692800,1114.02,9956.32,1114.02
2004-10-19,4.5875,4.61,4.53,4.5575,4.5575,622400,1103.23,9897.62,1103.23
2004-10-20,4.5325,4.565,4.475,4.5375,4.5375,760800,1103.66,9886.93,1103.66
2004-10-21,4.5425,4.67,4.51,4.6,4.6,721600,1106.49,9865.76,1106.49
2004-10-22,4.625,4.645,4.3125,4.35,4.35,1116800,1095.74,9757.81,1095.74
2004-10-25,4.3875,4.59,4.3875,4.5375,4.5375,1056000,1094.8,9749.99,1094.8
2004-10-26,4.525,4.6125,4.4475,4.6125,4.6125,476800,1111.09,9888.48,1111.09
2004-10-27,4.625,4.8975,4.5375,4.8175,4.8175,1922800,1125.4,10002.03,1125.4
2004-10-28,4.825,5.15,4.75,5.0375,5.0375,2500800,1127.44,10004.54,1127.44
2004-10-29,5.025,5.08,4.8525,5.08,5.08,1799600,1130.2,10027.47,1130.2
2004-11-01,5.125,5.5,5.1,5.425,5.425,3213600,1130.51,10054.39,1130.51
2004-11-02,5.625,5.625,5.4425,5.49,5.49,3029600,1130.56,10035.73,1130.56
2004-11-03,5.5525,5.675,5.375,5.4175,5.4175,1917600,1143.2,10137.05,1143.2
2004-11-04,5.4,5.4325,5.125,5.145,5.145,1398400,1161.67,10314.76,1161.67
2004-11-05,5.2075,5.34,5.1375,5.215,5.215,1574800,1166.17,10387.54,1166.17
2004-11-08,5.215,5.215,5.065,5.1,5.1,1014400,1164.89,10391.31,1164.89
2004-11-09,4.925,5.0125,4.7775,4.8825,4.8825,1935600,1164.08,10386.37,1164.08
2004-11-10,4.9125,4.9125,4.815,4.8825,4.8825,779200,1162.91,10385.48,1162.91
2004-11-11,4.8825,5.035,4.8625,5.005,5.005,1007200,1173.48,10469.84,1173.48
2004-11-12,5.05,5.0625,4.875,5.0,5.0,556400,1184.17,10539.01,1184.17
2004-11-15,5.02,5.2,5.0,5.2,5.2,2122000,1183.81,10550.24,1183.81
2004-11-16,5.2,5.3,5.075,5.1475,5.1475,2562400,1175.43,10487.65,1175.43
2004-11-17,5.2,5.2375,5.0675,5.21,5.21,1586400,1181.94,10549.57,1181.94
2004-11-18,4.75,4.75,4.3275,4.455,4.455,9432400,1183.55,10572.55,1183.55
2004-11-19,4.55,4.6125,4.2625,4.4375,4.4375,3152800,1170.34,10456.91,1170.34
2004-11-22,4.4375,4.525,4.3725,4.405,4.405,872000,1177.24,10489.42,1177.24
2004-11-23,4.405,4.505,4.3825,4.495,4.495,1104800,1176.94,10492.6,1176.94
