Date,Open,High,Low,Close,Adj Close,Volume,Close_snp500,Close_dji,Close_nasdaq
2019-05-24,29.75,32.0,28.5,29.0,27.351133,44000,2826.06,25585.69,2826.06
2019-05-28,29.25,30.5,28.51,28.764999,27.129496,61500,2802.39,25347.77,2802.39
2019-05-29,29.9,29.9,27.66,28.5,26.879564,207800,2783.02,25126.41,2783.02
2019-05-30,28.99,29.16,28.219999,28.799999,27.162504,666000,2788.86,25169.88,2788.86
2019-05-31,28.5,28.59,26.969999,26.969999,25.436554,853800,2752.06,24815.04,2752.06
2019-06-03,26.540001,27.0,24.370001,24.809999,23.399363,19259600,2744.45,24819.78,2744.45
2019-06-04,24.35,27.940001,24.35,27.75,26.172205,20135100,2803.27,25332.18,2803.27
2019-06-05,27.540001,28.219999,26.459999,28.01,26.417423,10740200,2826.15,25539.57,2826.15
2019-06-06,27.690001,27.690001,26.23,26.9,25.370541,13986100,2843.49,25720.66,2843.49
2019-06-07,26.17,26.93,25.715,26.309999,24.814081,10049100,2873.34,25983.94,2873.34
2019-06-10,26.07,26.74,25.120001,25.309999,23.870937,10247200,2886.73,26062.68,2886.73
2019-06-11,25.01,25.360001,24.530001,24.950001,23.531406,11641200,2885.72,26048.51,2885.72
2019-06-12,25.110001,25.450001,24.48,25.07,23.644587,13392000,2879.84,26004.83,2879.84
2019-06-13,25.059999,25.190001,24.700001,24.969999,23.550268,9710800,2891.64,26106.77,2891.64
2019-06-14,24.76,25.24,24.549999,25.190001,23.757765,7036800,2886.98,26089.61,2886.98
2019-06-17,25.530001,26.9,25.450001,25.950001,24.474554,13710100,2889.67,26112.53,2889.67
2019-06-18,26.030001,27.57,25.75,27.299999,25.747791,14485400,2917.75,26465.54,2917.75
2019-06-19,27.48,27.48,26.870001,27.15,25.606319,10228800,2926.46,26504.0,2926.46
2019-06-20,27.370001,27.6,26.42,27.16,25.615753,7728000,2954.18,26753.17,2954.18
2019-06-21,26.870001,27.709999,26.870001,27.209999,25.66291,12548900,2950.46,26719.13,2950.46
2019-06-24,27.139999,28.450001,27.052999,28.01,26.417423,6494900,2945.35,26727.54,2945.35
2019-06-25,28.02,28.09,27.48,27.67,26.096756,6698600,2917.38,26548.22,2917.38
2019-06-26,27.93,29.375,27.85,29.26,27.596352,6735100,2913.78,26536.82,2913.78
2019-06-27,29.379999,30.33,29.26,29.57,27.888727,5879600,2924.92,26526.58,2924.92
