Date,Open,High,Low,Close,Adj Close,Volume,Close_snp500,Close_dji,Close_nasdaq
2004-10-29,12.0,12.01,12.0,12.0,5.542212,5951800,1130.2,10027.47,1130.2
2004-11-01,12.0,12.01,12.0,12.0,5.542212,764400,1130.51,10054.39,1130.51
2004-11-02,12.0,12.01,12.0,12.0,5.542212,950100,1130.56,10035.73,1130.56
2004-11-03,12.02,12.2,12.01,12.15,5.611489,433600,1143.2,10137.05,1143.2
2004-11-04,12.18,12.18,12.05,12.06,5.56992,311200,1161.67,10314.76,1161.67
2004-11-05,12.05,12.1,12.0,12.08,5.579158,391800,1166.17,10387.54,1166.17
2004-11-08,12.13,12.13,12.0,12.01,5.546829,91100,1164.89,10391.31,1164.89
2004-11-09,12.0,12.06,12.0,12.01,5.546829,97600,1164.08,10386.37,1164.08
2004-11-10,12.0,12.04,12.0,12.01,5.546829,177500,1162.91,10385.48,1162.91
2004-11-11,12.0,12.02,12.0,12.02,5.551447,92700,1173.48,10469.84,1173.48
2004-11-12,12.01,12.38,12.01,12.29,5.676147,354900,1184.17,10539.01,1184.17
2004-11-15,12.32,12.45,12.2,12.39,5.722332,268100,1183.81,10550.24,1183.81
2004-11-16,12.49,12.65,12.31,12.5,5.773139,252500,1175.43,10487.65,1175.43
2004-11-17,12.55,12.6,12.35,12.51,5.777751,425000,1181.94,10549.57,1181.94
2004-11-18,12.5,12.74,12.5,12.72,5.874745,179700,1183.55,10572.55,1183.55
2004-11-19,12.72,12.74,12.5,12.71,5.870125,202600,1170.34,10456.91,1170.34
2004-11-22,12.61,12.73,12.51,12.63,5.833175,105200,1177.24,10489.42,1177.24
2004-11-23,12.55,12.95,12.52,12.8,5.911691,204200,1176.94,10492.6,1176.94
2004-11-24,12.75,12.95,12.7,12.79,5.907073,141700,1181.76,10520.31,1181.76
2004-11-26,12.4,12.78,12.4,12.65,5.842412,42900,1182.65,10522.23,1182.65
2004-11-29,12.65,12.75,12.55,12.68,5.85627,174200,1178.57,10475.9,1178.57
