Date,Open,High,Low,Close,Adj Close,Volume,Close_snp500,Close_dji,Close_nasdaq
1999-05-04,76.0,77.25,70.0,70.375,51.311981,22320900,1332.0,10886.11,1332.0
1999-05-05,69.875,69.875,66.25,69.125,50.400566,7565700,1347.31,10955.41,1347.31
1999-05-06,68.0,69.375,67.0625,67.9375,49.534725,2905700,1332.05,10946.82,1332.05
1999-05-07,67.9375,74.875,66.75,74.125,54.046192,4862300,1345.0,11031.59,1345.0
1999-05-10,73.375,73.5,70.25,70.6875,51.539852,2589400,1340.3,11007.25,1340.3
1999-05-11,70.0,71.1875,69.5,70.625,51.494259,1839800,1355.61,11026.15,1355.61
1999-05-12,71.0,74.875,69.125,73.5,53.590511,2659300,1364.0,11000.37,1364.0
1999-05-13,73.25,75.25,72.5,73.1875,53.362644,1142900,1367.56,11107.19,1367.56
1999-05-14,71.25,72.25,69.0625,70.1875,51.175293,2058400,1337.8,10913.32,1337.8
1999-05-17,69.125,70.25,68.0,68.625,50.036018,2075000,1339.49,10853.47,1339.49
1999-05-18,68.25,70.4375,68.125,68.625,50.036018,1407100,1333.32,10836.95,1333.32
1999-05-19,69.375,69.8125,68.75,69.3125,50.537296,727400,1344.23,10887.39,1344.23
1999-05-20,69.5625,70.125,68.375,68.375,49.853714,520800,1338.83,10866.74,1338.83
1999-05-21,68.125,68.8125,67.5,67.5,49.215759,936200,1330.29,10829.28,1330.29
1999-05-24,67.0,67.25,65.0,65.3125,47.620815,1493000,1306.65,10654.67,1306.65
1999-05-25,64.125,65.9375,64.0,64.5,47.028385,1662400,1284.4,10531.09,1284.4
1999-05-26,65.625,66.625,63.0625,66.0625,48.167633,1602900,1304.76,10702.16,1304.76
1999-05-27,65.0,67.75,64.6875,67.75,49.398045,1220500,1281.41,10466.93,1281.41
1999-05-28,67.75,68.8125,67.0,67.9375,49.534725,901900,1301.84,10559.74,1301.84
1999-06-01,66.625,66.625,63.5625,64.1875,46.800549,953900,1294.26,10596.26,1294.26
1999-06-02,63.75,64.0625,62.0,63.25,46.117008,2204300,1294.81,10577.89,1294.81
1999-06-03,64.0,64.1875,63.125,63.625,46.390411,852600,1299.54,10663.69,1299.54
1999-06-04,64.3125,67.0,64.3125,65.375,47.666378,1357400,1327.75,10799.84,1327.75
1999-06-07,65.1875,67.75,65.1875,65.9375,48.076515,891900,1334.52,10909.38,1334.52
1999-06-08,65.375,65.6875,63.75,63.75,46.481556,571700,1317.33,10765.64,1317.33
1999-06-09,64.25,65.5,63.625,65.5,47.757519,611400,1318.64,10690.29,1318.64
1999-06-10,64.875,64.9375,63.3125,63.375,46.208122,664200,1302.82,10621.27,1302.82
1999-06-11,63.9375,64.3125,62.3125,63.25,46.117008,969300,1293.64,10490.51,1293.64
1999-06-14,63.5,64.0,60.5,61.25,44.658745,821100,1294.0,10563.33,1294.0
1999-06-15,62.875,63.375,62.25,62.75,45.752419,831700,1301.16,10594.99,1301.16
1999-06-16,63.9375,65.4375,63.9375,65.25,47.57523,690300,1330.41,10784.95,1330.41
