Date,Open,High,Low,Close,Adj Close,Volume,Close_snp500,Close_dji,Close_nasdaq
1992-01-02,7.291667,7.791667,7.291667,7.791667,3.042665,4324800,417.26,3172.4,417.26
1992-01-03,7.916667,8.208333,7.833333,7.958333,3.107748,4539900,419.34,3201.5,419.34
1992-01-06,7.916667,8.333333,7.875,8.25,3.221645,3015900,417.96,3200.1,417.96
1992-01-07,8.083333,8.541667,8.083333,8.375,3.270457,3713400,417.4,3204.8,417.4
1992-01-08,8.25,8.833333,8.25,8.75,3.416895,4961700,418.1,3203.9,418.1
1992-01-09,8.75,9.291667,8.75,9.166667,3.579607,6048300,417.61,3209.5,417.61
1992-01-10,9.166667,9.333333,8.791667,9.0,3.514524,9599400,415.1,3199.5,415.1
1992-01-13,8.833333,9.125,8.833333,9.0,3.514524,3025500,414.34,3185.6,414.34
1992-01-14,8.958333,9.5,8.958333,9.458333,3.693504,3663600,420.44,3246.2,420.44
1992-01-15,9.5,10.166667,9.458333,10.041667,3.921298,8030700,420.77,3258.5,420.77
1992-01-16,9.916667,10.0,9.708333,9.916667,3.872484,5595000,418.21,3249.6,418.21
1992-01-17,9.833333,9.833333,9.416667,9.541667,3.726045,3268200,418.86,3265.0,418.86
1992-01-20,9.291667,9.333333,9.208333,9.333333,3.644691,2588400,416.36,3254.0,416.36
1992-01-21,9.291667,9.291667,9.083333,9.291667,3.628417,4138800,412.64,3223.4,412.64
1992-01-22,9.125,9.25,9.125,9.208333,3.595876,32742000,418.13,3255.8,418.13
1992-01-23,9.208333,9.291667,9.166667,9.25,3.612147,11320800,414.96,3226.7,414.96
1992-01-24,9.208333,9.458333,9.208333,9.416667,3.677231,8689200,415.48,3232.8,415.48
1992-01-27,9.458333,9.625,9.458333,9.541667,3.726045,7053300,414.99,3240.6,414.99
1992-01-28,9.583333,9.625,9.541667,9.583333,3.742318,5907600,414.96,3272.1,414.96
1992-01-29,9.541667,9.625,9.208333,9.208333,3.595876,7375500,410.34,3225.0,410.34
1992-01-30,9.25,9.458333,9.25,9.416667,3.677231,2984700,411.62,3244.9,411.62
1992-01-31,9.458333,9.541667,9.333333,9.333333,3.644691,3478800,408.78,3223.4,408.78
1992-02-03,9.333333,9.458333,9.291667,9.416667,3.677231,2772300,409.53,3234.1,409.53
1992-02-04,9.458333,9.791667,9.458333,9.666667,3.774856,5485200,413.85,3272.8,413.85
1992-02-05,9.791667,10.0,9.75,9.875,3.856213,5142900,413.84,3257.6,413.84
1992-02-06,9.833333,10.25,9.833333,10.166667,3.970109,5051700,413.82,3255.6,413.82
1992-02-07,10.25,10.416667,9.916667,10.25,4.002649,5868000,411.09,3225.4,411.09
1992-02-10,10.333333,10.791667,10.291667,10.708333,4.181633,7356300,413.77,3245.1,413.77
1992-02-11,10.666667,11.083333,10.5,10.541667,4.116547,9260400,413.76,3251.6,413.76
1992-02-12,10.541667,11.0,10.541667,10.875,4.246716,5765400,417.13,3276.8,417.13
1992-02-13,10.791667,10.916667,10.708333,10.833333,4.230447,4781100,413.69,3246.7,413.69
1992-02-14,10.666667,10.958333,10.625,10.791667,4.214171,3196500,412.48,3246.0,412.48
1992-02-18,10.791667,11.0,10.75,10.75,4.197901,4693200,407.38,3224.7,407.38
1992-02-19,10.666667,10.75,10.5,10.541667,4.116547,4288200,408.26,3230.3,408.26
1992-02-20,10.583333,10.833333,10.583333,10.833333,4.230447,3012300,413.9,3280.6,413.9
1992-02-21,10.916667,11.333333,10.875,11.166667,4.360612,5331300,411.43,3280.2,411.43
1992-02-24,11.166667,11.333333,11.125,11.291667,4.409425,4579500,412.27,3282.4,412.27
1992-02-25,11.25,11.333333,10.958333,11.0,4.295525,4043400,410.45,3257.8,410.45
1992-02-26,10.958333,11.083333,10.791667,11.041667,4.311798,4650900,415.35,3283.3,415.35
1992-02-27,11.083333,11.375,11.041667,11.25,4.39315,3431700,413.86,3269.5,413.86
1992-02-28,11.291667,11.333333,11.208333,11.208333,4.376884,2998200,412.7,3267.7,412.7
1992-03-02,11.208333,11.25,10.958333,11.083333,4.328071,4319400,412.45,3275.3,412.45
1992-03-03,11.125,11.208333,11.041667,11.083333,4.328071,2363100,412.85,3290.3,412.85
1992-03-04,11.166667,11.208333,10.791667,10.875,4.246716,3682200,409.33,3268.6,409.33
1992-03-05,10.875,10.875,10.208333,10.5,4.100276,6107400,406.51,3241.5,406.51
1992-03-06,10.5,10.5,10.083333,10.375,4.051465,4411200,404.44,3221.6,404.44
1992-03-09,10.5,10.875,10.458333,10.875,4.246716,2289000,405.21,3215.1,405.21
1992-03-10,10.958333,10.958333,10.791667,10.791667,4.214171,3104700,406.89,3231.0,406.89
1992-03-11,10.708333,10.875,10.541667,10.666667,4.16536,2337300,404.03,3208.6,404.03
1992-03-12,10.708333,10.708333,10.458333,10.5,4.100276,2904900,403.89,3208.6,403.89
1992-03-13,10.666667,10.833333,10.666667,10.708333,4.181633,3009000,405.84,3235.9,405.84
1992-03-16,10.75,10.791667,10.666667,10.75,4.197901,2480700,406.39,3236.4,406.39
1992-03-17,10.75,11.125,10.75,11.125,4.344339,2604900,409.58,3256.0,409.58
1992-03-18,11.166667,11.333333,11.166667,11.208333,4.376884,2616000,409.15,3254.3,409.15
1992-03-19,11.25,11.541667,11.25,11.541667,4.507049,3318600,409.8,3261.4,409.8
1992-03-20,11.5,11.875,11.458333,11.791667,4.604674,6438600,411.3,3276.4,411.3
1992-03-23,11.791667,11.791667,11.541667,11.583333,4.523323,3755700,409.91,3272.1,409.91
1992-03-24,11.583333,11.625,11.333333,11.458333,4.474507,2148900,408.88,3261.0,408.88
1992-03-25,11.416667,11.5,11.375,11.458333,4.474507,1988700,407.52,3259.4,407.52
1992-03-26,11.5,11.708333,11.458333,11.666667,4.555863,2518800,407.86,3267.7,407.86
1992-03-27,11.666667,11.833333,11.458333,11.541667,4.507049,4706100,403.5,3231.4,403.5
1992-03-30,11.416667,11.416667,11.0,11.125,4.344339,3924300,403.0,3235.2,403.0
1992-03-31,11.083333,11.166667,10.875,10.916667,4.301653,3634200,403.69,3235.5,403.69
1992-04-01,10.875,10.875,10.666667,10.875,4.285234,3078000,404.23,3249.3,404.23
1992-04-02,10.875,11.0,10.375,10.5,4.137468,3229200,400.5,3234.1,400.5
1992-04-03,10.166667,10.416667,10.083333,10.333333,4.071793,3590400,401.55,3249.1,401.55
1992-04-06,10.333333,10.75,10.25,10.708333,4.219561,2305500,405.59,3275.5,405.59
1992-04-07,10.666667,10.75,10.208333,10.208333,4.022537,2465700,398.06,3213.6,398.06
1992-04-08,10.041667,10.166667,9.666667,9.833333,3.87477,8994300,394.5,3181.4,394.5
1992-04-09,9.958333,10.291667,9.833333,10.166667,4.006117,5779800,400.64,3225.0,400.64
1992-04-10,10.416667,10.708333,10.375,10.583333,4.170304,4257600,404.29,3255.4,404.29
1992-04-13,10.666667,10.791667,10.458333,10.583333,4.170304,2172300,406.08,3269.9,406.08
1992-04-14,10.625,11.583333,10.625,11.375,4.482256,5577600,412.39,3306.1,412.39
1992-04-15,11.416667,11.458333,11.25,11.333333,4.465837,4042200,416.28,3353.8,416.28
1992-04-16,11.375,11.458333,11.291667,11.416667,4.498674,2577000,416.04,3366.5,416.04
1992-04-20,11.25,11.291667,11.0,11.291667,4.44942,3353100,410.18,3336.3,410.18
1992-04-21,11.208333,11.75,11.208333,11.583333,4.56435,6610500,410.26,3343.3,410.26
1992-04-22,11.583333,12.166667,11.416667,12.0,4.728534,9824100,409.81,3338.8,409.81
1992-04-23,11.958333,12.166667,11.75,12.166667,4.794209,4552200,411.6,3348.6,411.6
1992-04-24,12.041667,12.5,11.75,11.916667,4.695696,4398900,409.02,3324.5,409.02
1992-04-27,11.875,12.125,11.875,12.0,4.728534,3852000,408.45,3304.56,408.45
1992-04-28,11.958333,11.958333,11.5,11.875,4.679278,2805000,409.11,3307.9,409.11
1992-04-29,11.916667,11.958333,11.75,11.833333,4.662861,1939200,412.02,3333.2,412.02
1992-04-30,11.833333,11.875,11.583333,11.708333,4.613605,1532700,414.95,3359.1,414.95
1992-05-01,11.75,12.0,11.75,11.916667,4.695696,3054600,412.53,3336.1,412.53
1992-05-04,11.958333,12.458333,11.958333,12.416667,4.892718,3795300,416.91,3378.1,416.91
1992-05-05,12.541667,12.666667,12.375,12.583333,4.958393,4124100,416.84,3359.4,416.84
