Date,Open,High,Low,Close,Adj Close,Volume,Close_snp500,Close_dji,Close_nasdaq
1992-01-02,10.03125,10.03125,9.78125,10.03125,4.726587,7871200,417.26,3172.4,417.26
1992-01-03,10.03125,10.421875,10.03125,10.40625,4.90328,10770400,419.34,3201.5,419.34
1992-01-06,10.40625,10.40625,10.28125,10.375,4.888556,11944000,417.96,3200.1,417.96
1992-01-07,10.328125,10.328125,10.21875,10.28125,4.844381,7460000,417.4,3204.8,417.4
1992-01-08,10.234375,10.234375,10.078125,10.09375,4.756036,9102400,418.1,3203.9,418.1
1992-01-09,10.09375,10.125,9.984375,10.0,4.71186,9599200,417.61,3209.5,417.61
1992-01-10,10.0,10.0,9.765625,9.90625,4.667688,7660800,415.1,3199.5,415.1
1992-01-13,9.890625,9.890625,9.8125,9.859375,4.645599,5785600,414.34,3185.6,414.34
1992-01-14,9.859375,10.03125,9.8125,9.96875,4.697134,7460800,420.44,3246.2,420.44
1992-01-15,9.96875,10.03125,9.609375,9.625,4.535164,10460000,420.77,3258.5,420.77
1992-01-16,9.5625,9.5625,9.21875,9.25,4.358472,17836800,418.21,3249.6,418.21
1992-01-17,9.25,9.375,9.21875,9.265625,4.36583,18062400,418.86,3265.0,418.86
1992-01-20,9.171875,9.171875,9.046875,9.078125,4.277485,11082400,416.36,3254.0,416.36
1992-01-21,9.078125,9.234375,9.0625,9.171875,4.321659,10336800,412.64,3223.4,412.64
1992-01-22,9.1875,9.359375,9.1875,9.359375,4.410007,9313600,418.13,3255.8,418.13
1992-01-23,9.359375,9.421875,9.296875,9.3125,4.387918,9172000,414.96,3226.7,414.96
1992-01-24,9.3125,9.390625,9.296875,9.359375,4.410007,8289600,415.48,3232.8,415.48
1992-01-27,9.359375,9.40625,9.21875,9.234375,4.35111,5784000,414.99,3240.6,414.99
1992-01-28,9.234375,9.296875,9.0625,9.171875,4.321659,7054400,414.96,3272.1,414.96
1992-01-29,9.171875,9.265625,8.890625,8.9375,4.211224,9663200,410.34,3225.0,410.34
1992-01-30,9.09375,9.671875,9.09375,9.640625,4.54253,20052800,411.62,3244.9,411.62
1992-01-31,9.65625,9.859375,9.65625,9.6875,4.564616,14565600,408.78,3223.4,408.78
1992-02-03,9.734375,9.875,9.734375,9.859375,4.645599,8401600,409.53,3234.1,409.53
1992-02-04,9.859375,9.9375,9.796875,9.875,4.652962,9514400,413.85,3272.8,413.85
1992-02-05,9.875,9.921875,9.734375,9.765625,4.601426,8784800,413.84,3257.6,413.84
1992-02-06,9.765625,9.84375,9.765625,9.828125,4.630876,6037600,413.82,3255.6,413.82
