Date,Open,High,Low,Close,Adj Close,Volume,Close_snp500,Close_dji,Close_nasdaq
2002-05-23,1.156429,1.242857,1.145714,1.196429,1.196429,104790000,1097.08,10216.08,1097.08
2002-05-24,1.214286,1.225,1.197143,1.21,1.21,11104800,1083.82,10104.26,1083.82
2002-05-28,1.213571,1.232143,1.157143,1.157143,1.157143,6609400,1074.55,9981.58,1074.55
2002-05-29,1.164286,1.164286,1.085714,1.103571,1.103571,6757800,1067.66,9923.04,1067.66
2002-05-30,1.107857,1.107857,1.071429,1.071429,1.071429,10154200,1064.66,9911.69,1064.66
2002-05-31,1.078571,1.078571,1.071429,1.076429,1.076429,8464400,1067.14,9925.25,1067.14
2002-06-03,1.08,1.149286,1.076429,1.128571,1.128571,3151400,1040.68,9709.79,1040.68
2002-06-04,1.135714,1.14,1.110714,1.117857,1.117857,3105200,1040.69,9687.84,1040.69
2002-06-05,1.110714,1.159286,1.107143,1.147143,1.147143,1531600,1049.9,9796.8,1049.9
2002-06-06,1.15,1.232143,1.148571,1.182143,1.182143,2305800,1029.15,9624.64,1029.15
2002-06-07,1.177857,1.177857,1.103571,1.118571,1.118571,1369200,1027.53,9589.67,1027.53
2002-06-10,1.135,1.175,1.134286,1.156429,1.156429,484400,1030.74,9645.4,1030.74
2002-06-11,1.156429,1.188571,1.128571,1.153571,1.153571,1003800,1013.6,9517.26,1013.6
2002-06-12,1.153571,1.182143,1.089286,1.092857,1.092857,1799000,1020.26,9617.71,1020.26
2002-06-13,1.104286,1.122143,1.08,1.082857,1.082857,2567600,1009.56,9502.8,1009.56
2002-06-14,1.082143,1.085714,0.98,0.986429,0.986429,4783800,1007.27,9474.21,1007.27
2002-06-17,1.013571,1.059286,0.917857,0.922143,0.922143,4855200,1036.17,9687.42,1036.17
2002-06-18,0.938571,0.939286,0.842143,0.910714,0.910714,10808000,1037.14,9706.12,1037.14
2002-06-19,0.911429,0.996429,0.892857,0.951429,0.951429,5482400,1019.99,9561.57,1019.99
2002-06-20,0.971429,1.04,0.95,0.957143,0.957143,6111000,1006.29,9431.77,1006.29
2002-06-21,0.982143,0.989286,0.947857,0.979286,0.979286,2346400,989.14,9253.79,989.14
2002-06-24,0.979286,1.014286,0.957143,0.978571,0.978571,2567600,992.72,9281.82,992.72
2002-06-25,0.988571,1.007143,0.947143,0.964286,0.964286,3941000,976.14,9126.82,976.14
2002-06-26,0.963571,0.996429,0.921429,0.988571,0.988571,2924600,973.53,9120.11,973.53
2002-06-27,1.009286,1.018571,0.942857,0.943571,0.943571,3817800,990.64,9269.92,990.64
2002-06-28,0.960714,1.013571,0.960714,0.999286,0.999286,9234400,989.82,9243.26,989.82
2002-07-01,1.0,1.046429,0.992857,1.027857,1.027857,4585000,968.65,9109.79,968.65
2002-07-02,1.053571,1.195,1.039286,1.172857,1.172857,9020200,948.09,9007.75,948.09
2002-07-03,1.178571,1.214286,1.117857,1.214286,1.214286,4957400,953.99,9054.97,953.99
2002-07-05,1.214286,1.299286,1.213571,1.276429,1.276429,2003400,989.03,9379.5,989.03
2002-07-08,1.252143,1.252143,1.167857,1.175714,1.175714,1953000,976.98,9274.9,976.98
2002-07-09,1.175,1.196429,1.114286,1.160714,1.160714,2935800,952.83,9096.09,952.83
2002-07-10,1.161429,1.178571,1.132143,1.163571,1.163571,1554000,920.47,8813.5,920.47
2002-07-11,1.154286,1.278571,1.132857,1.269286,1.269286,2529800,927.37,8801.53,927.37
2002-07-12,1.278571,1.28,1.207143,1.207857,1.207857,2837800,921.39,8684.53,921.39
2002-07-15,1.242857,1.248571,1.076429,1.142857,1.142857,4239200,917.93,8639.19,917.93
2002-07-16,1.152857,1.157143,1.104286,1.126429,1.126429,1941800,900.94,8473.11,900.94
2002-07-17,1.145,1.163571,1.075714,1.089286,1.089286,1261400,906.04,8542.48,906.04
2002-07-18,1.117143,1.166429,1.110714,1.149286,1.149286,2899400,881.56,8409.49,881.56
2002-07-19,1.152857,1.160714,1.122143,1.16,1.16,1792000,847.75,8019.26,847.75
2002-07-22,1.135714,1.179286,1.115,1.170714,1.170714,1993600,819.85,7784.58,819.85
2002-07-23,1.176429,1.213571,1.130714,1.146429,1.146429,1577800,797.7,7702.34,797.7
2002-07-24,1.146429,1.159286,1.074286,1.114286,1.114286,3355800,843.43,8191.29,843.43
2002-07-25,1.125,1.127857,1.035,1.036429,1.036429,4755800,838.68,8186.31,838.68
2002-07-26,1.05,1.058571,0.85,0.871429,0.871429,7046200,852.84,8264.39,852.84
2002-07-29,0.896429,0.924286,0.85,0.876429,0.876429,3260600,898.96,8711.88,898.96
2002-07-30,0.893571,0.942857,0.893571,0.914286,0.914286,3777200,902.78,8680.03,902.78
2002-07-31,0.928571,0.96,0.905714,0.953571,0.953571,3333400,911.62,8736.59,911.62
2002-08-01,0.95,0.96,0.877857,0.891429,0.891429,4529000,884.66,8506.62,884.66
2002-08-02,0.886429,0.887857,0.706429,0.777857,0.777857,6655600,864.24,8313.13,864.24
2002-08-05,0.778571,0.812857,0.760714,0.775,0.775,3808000,834.6,8043.63,834.6
2002-08-06,0.795714,0.803571,0.742857,0.760714,0.760714,3217200,859.57,8274.09,859.57
2002-08-07,0.760714,0.793571,0.742857,0.793571,0.793571,2758000,876.77,8456.15,876.77
2002-08-08,0.796429,0.803571,0.750714,0.796429,0.796429,2283400,905.46,8712.02,905.46
2002-08-09,0.798571,0.821429,0.778571,0.787143,0.787143,1500800,908.64,8745.45,908.64
2002-08-12,0.802857,0.807143,0.753571,0.757143,0.757143,2130800,903.8,8688.89,903.8
2002-08-13,0.767857,0.805,0.754286,0.772857,0.772857,1677200,884.21,8482.39,884.21
2002-08-14,0.775714,0.833571,0.771429,0.833571,0.833571,4047400,919.62,8743.31,919.62
2002-08-15,0.837143,0.910714,0.832857,0.882857,0.882857,3263400,930.25,8818.14,930.25
2002-08-16,0.892857,0.924286,0.857143,0.912857,0.912857,1828400,928.77,8778.06,928.77
2002-08-19,0.925,0.984286,0.917857,0.982143,0.982143,2074800,950.7,8990.79,950.7
2002-08-20,0.985,0.993571,0.921429,0.946429,0.946429,2539600,937.43,8872.07,937.43
2002-08-21,0.952857,0.971429,0.918571,0.968571,0.968571,2779000,949.36,8957.23,949.36
2002-08-22,0.973571,0.999286,0.929286,0.983571,0.983571,2963800,962.7,9053.64,962.7
2002-08-23,0.993571,0.996429,0.967857,0.993571,0.993571,2406600,940.86,8872.96,940.86
2002-08-26,0.996429,0.996429,0.937857,0.967857,0.967857,2644600,947.95,8919.01,947.95
2002-08-27,0.967857,0.967857,0.857857,0.873571,0.873571,4984000,934.82,8824.41,934.82
2002-08-28,0.861429,0.89,0.825,0.864286,0.864286,2275000,917.87,8694.09,917.87
2002-08-29,0.832857,0.922143,0.824286,0.903571,0.903571,2395400,917.8,8670.99,917.8
2002-08-30,0.914286,0.962857,0.894286,0.936429,0.936429,2121000,916.07,8663.5,916.07
2002-09-03,0.936429,0.963571,0.913571,0.925,0.925,1593200,878.02,8308.05,878.02
2002-09-04,0.925714,0.945714,0.907857,0.928571,0.928571,373800,893.4,8425.12,893.4
2002-09-05,0.917857,0.935714,0.910714,0.917857,0.917857,285600,879.15,8283.7,879.15
2002-09-06,0.927857,0.935714,0.910714,0.914286,0.914286,763000,893.92,8427.2,893.92
2002-09-09,0.919286,0.925,0.892857,0.901429,0.901429,1419600,902.96,8519.38,902.96
