Date,Open,High,Low,Close,Adj Close,Volume,Close_snp500,Close_dji,Close_nasdaq
2012-04-12,33.25,34.209999,32.0,34.0,23.233618,654700,1387.57,12986.58,1387.57
2012-04-13,34.0,37.450001,33.91,37.0,25.283636,1685000,1370.26,12849.59,1370.26
2012-04-16,37.0,37.0,35.990002,36.549999,24.976131,550200,1369.57,12921.41,1369.57
2012-04-17,36.400002,36.75,36.0,36.0,24.600298,179600,1390.78,13115.54,1390.78
2012-04-18,36.0,36.439999,34.5,36.0,24.600298,207100,1385.14,13032.75,1385.14
2012-04-19,36.0,37.220001,35.799999,36.0,24.600298,598100,1376.92,12964.1,1376.92
2012-04-20,36.099998,37.0,36.099998,36.32,24.818975,149700,1378.53,13029.26,1378.53
2012-04-23,36.240002,36.240002,35.419998,35.68,24.381632,95700,1366.94,12927.17,1366.94
2012-04-24,36.0,36.0,34.68,34.75,23.746119,124500,1371.97,13001.56,1371.97
2012-04-25,34.799999,35.5,34.5,34.75,23.746119,266200,1390.69,13090.72,1390.69
2012-04-26,34.610001,34.990002,34.439999,34.950001,23.882799,183900,1399.98,13204.62,1399.98
2012-04-27,35.25,35.25,33.970001,34.110001,23.308779,536000,1403.36,13228.31,1403.36
2012-04-30,34.34,34.900002,34.0,34.049999,23.267782,4105700,1397.91,13213.63,1397.91
2012-05-01,33.740002,34.099998,32.580002,32.759998,22.386271,6878600,1405.82,13279.32,1405.82
2012-05-02,32.599998,32.669998,31.629999,32.0,21.86693,11287600,1402.31,13268.57,1402.31
2012-05-03,31.93,31.98,31.049999,31.389999,21.450098,11800000,1391.57,13206.59,1391.57
2012-05-04,30.85,31.09,30.120001,30.16,20.609581,10881000,1369.1,13038.27,1369.1
2012-05-07,30.1,30.549999,29.25,29.35,20.056076,12257200,1369.58,13008.53,1369.58
2012-05-08,29.09,30.41,28.75,30.1,20.568584,14601300,1363.72,12932.09,1363.72
2012-05-09,29.809999,32.889999,29.73,32.490002,22.201769,13990000,1354.58,12835.06,1354.58
2012-05-10,33.049999,33.349998,31.52,32.48,22.194935,8862000,1357.99,12855.04,1357.99
2012-05-11,31.73,32.150002,31.4,31.83,21.750761,4460100,1353.39,12820.6,1353.39
2012-05-14,31.190001,31.58,30.77,31.32,21.402258,6398200,1338.35,12695.35,1338.35
2012-05-15,31.35,32.32,31.059999,31.67,21.641422,6362800,1330.66,12632.0,1330.66
2012-05-16,31.459999,32.389999,31.25,32.099998,21.935266,6118600,1324.8,12598.55,1324.8
2012-05-17,31.889999,32.0,31.200001,31.26,21.361254,5850500,1304.86,12442.49,1304.86
2012-05-18,31.43,31.690001,30.99,31.379999,21.443262,7940800,1295.22,12369.38,1295.22
2012-05-21,31.23,32.34,30.950001,32.189999,21.996765,5480100,1315.99,12504.48,1315.99
2012-05-22,31.879999,32.27,31.33,31.629999,21.614092,5415000,1316.63,12502.81,1316.63
2012-05-23,31.35,31.49,30.879999,31.41,21.46376,5268900,1318.86,12496.15,1318.86
2012-05-24,31.42,31.440001,30.75,31.129999,21.272421,4210400,1320.68,12529.75,1320.68
2012-05-25,31.01,31.41,30.83,31.299999,21.388592,3217900,1317.82,12454.83,1317.82
2012-05-29,31.280001,31.719999,30.860001,31.01,21.190422,3979600,1332.42,12580.69,1332.42
2012-05-30,30.790001,30.83,30.18,30.440001,20.800919,6000600,1313.32,12419.86,1313.32
2012-05-31,30.26,30.35,29.719999,30.030001,20.520746,8098000,1310.33,12393.45,1310.33
2012-06-01,29.5,30.17,29.379999,29.92,20.445581,5701700,1278.04,12118.57,1278.04
2012-06-04,29.299999,30.190001,29.25,29.530001,20.179073,4844900,1278.18,12101.46,1278.18
2012-06-05,29.370001,30.1,29.32,29.9,20.431919,4046500,1285.5,12127.95,1285.5
2012-06-06,30.030001,32.0,29.82,31.530001,21.545765,8609400,1315.13,12414.79,1315.13
2012-06-07,32.07,32.75,31.74,31.83,21.750761,7694300,1314.99,12460.96,1314.99
2012-06-08,31.66,32.349998,31.51,32.119999,21.948933,4302100,1325.66,12554.2,1325.66
2012-06-11,32.450001,33.049999,32.23,32.599998,22.27693,5999000,1308.93,12411.23,1308.93
2012-06-12,32.560001,33.740002,32.490002,33.490002,22.885109,6809900,1324.18,12573.8,1324.18
2012-06-13,33.27,33.490002,32.540001,32.77,22.393105,2876200,1314.88,12496.38,1314.88
2012-06-14,32.77,33.639999,32.310001,33.529999,22.912447,4460000,1329.1,12651.91,1329.1
2012-06-15,33.599998,34.91,33.380001,34.900002,23.848621,9892400,1342.84,12767.17,1342.84
2012-06-18,34.380001,34.5,33.830002,33.860001,23.137949,4254400,1344.78,12741.82,1344.78
2012-06-19,34.060001,34.529999,33.73,33.860001,23.137949,4873500,1357.98,12837.33,1357.98
2012-06-20,33.790001,34.849998,33.48,34.66,23.684618,4628400,1355.69,12824.39,1355.69
2012-06-21,34.700001,34.759998,33.060001,33.48,22.878281,3489900,1325.51,12573.57,1325.51
2012-06-22,33.650002,34.709999,33.029999,34.16,23.342949,4359500,1335.02,12640.78,1335.02
2012-06-25,33.689999,33.689999,32.759998,32.869999,22.461439,3518600,1313.72,12502.66,1313.72
2012-06-26,32.810001,33.98,32.400002,32.580002,22.263269,3274700,1319.99,12534.67,1319.99
2012-06-27,32.610001,33.400002,31.42,31.889999,21.791763,3615600,1331.85,12627.01,1331.85
2012-06-28,31.540001,32.400002,31.290001,32.310001,22.078764,3115900,1329.04,12602.26,1329.04
2012-06-29,32.779999,33.380001,32.650002,33.240002,22.714273,4599500,1362.16,12880.09,1362.16
2012-07-02,33.59,34.32,33.369999,34.0,23.233618,3868500,1365.51,12871.39,1365.51
2012-07-03,34.02,34.630001,33.830002,34.240002,23.397623,3647400,1374.02,12943.66,1374.02
2012-07-05,33.830002,34.240002,33.540001,33.799999,23.096945,2711300,1367.58,12896.67,1367.58
2012-07-06,33.400002,33.68,32.919998,33.369999,22.803108,1907800,1354.68,12772.47,1354.68
2012-07-09,33.080002,33.759998,32.650002,33.25,22.721107,2264600,1352.46,12736.29,1352.46
2012-07-10,33.470001,33.470001,32.5,32.68,22.3316,2972900,1341.47,12653.12,1341.47
2012-07-11,32.66,33.639999,32.349998,33.48,22.878281,2583000,1341.45,12604.53,1341.45
2012-07-12,33.150002,33.189999,32.549999,33.009998,22.557098,3505600,1334.76,12573.27,1334.76
2012-07-13,33.610001,35.080002,33.509998,34.939999,23.875954,4801300,1356.78,12777.09,1356.78
2012-07-16,34.689999,36.119999,34.560001,36.099998,24.668633,4895700,1353.64,12727.21,1353.64
2012-07-17,36.16,36.799999,35.860001,36.689999,25.071804,3604100,1363.67,12805.54,1363.67
2012-07-18,36.650002,37.669998,36.59,37.099998,25.351973,2839200,1372.78,12908.7,1372.78
2012-07-19,36.919998,37.0,35.5,35.599998,24.458811,3758600,1376.51,12943.36,1376.51
2012-07-20,35.18,35.439999,34.91,35.32,24.266439,3290000,1362.66,12822.57,1362.66
2012-07-23,34.790001,35.279999,34.5,35.02,24.060331,3245900,1350.52,12721.46,1350.52
2012-07-24,35.25,35.419998,34.610001,35.23,24.204609,2351600,1338.31,12617.32,1338.31
2012-07-25,35.599998,35.889999,34.869999,35.400002,24.321405,3551300,1337.89,12676.05,1337.89
2012-07-26,35.759998,36.060001,35.59,35.959999,24.706154,2951300,1360.02,12887.93,1360.02
2012-07-27,36.23,36.91,35.900002,36.52,25.090897,6158600,1385.97,13075.66,1385.97
2012-07-30,36.860001,37.650002,36.830002,37.650002,25.86726,2830300,1385.3,13073.01,1385.3
2012-07-31,37.740002,38.360001,37.509998,37.599998,25.832903,6958400,1379.32,13008.68,1379.32
2012-08-01,39.080002,40.18,37.779999,38.27,26.293226,6639700,1375.32,12976.13,1375.32
2012-08-02,37.939999,39.07,37.84,38.299999,26.313839,4434800,1365.0,12878.88,1365.0
2012-08-03,38.599998,39.849998,38.599998,39.669998,27.255093,4516000,1390.99,13096.17,1390.99
2012-08-06,39.939999,40.349998,39.77,40.07,27.529911,3405100,1394.23,13117.51,1394.23
2012-08-07,40.389999,40.830002,39.59,39.77,27.323784,4636800,1401.35,13168.6,1401.35
2012-08-08,39.599998,40.200001,39.459999,40.150002,27.584877,4002600,1402.22,13175.64,1402.22
2012-08-09,39.900002,40.599998,39.880001,40.32,27.701664,2888200,1402.8,13165.19,1402.8
2012-08-10,40.259998,40.43,39.75,40.0,27.481817,2107700,1405.87,13207.95,1405.87
2012-08-13,39.860001,40.349998,39.77,40.150002,27.584877,2213500,1404.11,13169.43,1404.11
2012-08-14,40.189999,40.450001,39.799999,39.93,27.433731,2533900,1403.93,13172.14,1403.93
2012-08-15,40.540001,40.66,39.93,40.360001,27.729151,4009400,1405.53,13164.78,1405.53
2012-08-16,40.529999,41.259998,40.369999,41.18,28.292534,3862100,1415.51,13250.11,1415.51
2012-08-17,41.619999,42.93,41.470001,42.77,29.384928,5536300,1418.16,13275.2,1418.16
