Date,Open,High,Low,Close,Adj Close,Volume,Close_snp500,Close_dji,Close_nasdaq
1992-01-02,4.458333,4.5,4.229167,4.291667,2.596929,2024400.0,417.26,3172.4,417.26
1992-01-03,4.25,4.458333,4.229167,4.458333,2.697781,1117200.0,419.34,3201.5,419.34
1992-01-06,4.458333,4.5,4.4375,4.5,2.722994,1976400.0,417.96,3200.1,417.96
1992-01-07,4.5,4.520833,4.458333,4.520833,2.735601,3886800.0,417.4,3204.8,417.4
1992-01-08,4.520833,4.583333,4.479167,4.541667,2.748208,2128800.0,418.1,3203.9,418.1
1992-01-09,4.5,4.604167,4.5,4.583333,2.77342,1675200.0,417.61,3209.5,417.61
1992-01-10,4.625,4.6875,4.604167,4.625,2.798633,1114800.0,415.1,3199.5,415.1
1992-01-13,4.625,4.6875,4.5625,4.5625,2.760814,1841400.0,414.34,3185.6,414.34
1992-01-14,4.541667,4.541667,4.458333,4.5,2.722994,1461000.0,420.44,3246.2,420.44
1992-01-15,4.479167,4.541667,4.416667,4.541667,2.748208,854400.0,420.77,3258.5,420.77
1992-01-16,4.5,4.791667,4.479167,4.791667,2.899485,1026000.0,418.21,3249.6,418.21
1992-01-17,4.875,4.979167,4.854167,4.9375,2.98773,3612600.0,418.86,3265.0,418.86
1992-01-20,4.875,4.875,4.770833,4.770833,2.886878,513600.0,416.36,3254.0,416.36
1992-01-21,4.8125,4.8125,4.645833,4.645833,2.811239,462600.0,412.64,3223.4,412.64
1992-01-22,4.666667,4.729167,4.645833,4.729167,2.861665,555600.0,418.13,3255.8,418.13
1992-01-23,4.708333,4.75,4.583333,4.583333,2.77342,822600.0,414.96,3226.7,414.96
1992-01-24,4.583333,4.604167,4.5,4.541667,2.748208,936000.0,415.48,3232.8,415.48
1992-01-27,4.541667,4.645833,4.5,4.541667,2.748208,790200.0,414.99,3240.6,414.99
1992-01-28,4.583333,4.645833,4.5625,4.625,2.798633,464400.0,414.96,3272.1,414.96
1992-01-29,4.6875,4.770833,4.645833,4.708333,2.849057,1060800.0,410.34,3225.0,410.34
1992-01-30,4.791667,4.833333,4.666667,4.666667,2.823846,1344600.0,411.62,3244.9,411.62
1992-01-31,4.604167,4.625,4.541667,4.541667,2.748208,1602600.0,408.78,3223.4,408.78
1992-02-03,4.541667,4.729167,4.541667,4.708333,2.849057,1362600.0,409.53,3234.1,409.53
1992-02-04,4.666667,4.708333,4.645833,4.666667,2.823846,795600.0,413.85,3272.8,413.85
1992-02-05,4.645833,4.666667,4.604167,4.625,2.798633,617400.0,413.84,3257.6,413.84
1992-02-06,4.625,4.6875,4.604167,4.666667,2.823846,552000.0,413.82,3255.6,413.82
1992-02-07,4.666667,4.708333,4.541667,4.625,2.798633,805800.0,411.09,3225.4,411.09
1992-02-10,4.645833,4.708333,4.625,4.666667,2.823846,482400.0,413.77,3245.1,413.77
1992-02-11,4.6875,4.75,4.645833,4.666667,2.823846,490200.0,413.76,3251.6,413.76
1992-02-12,4.666667,4.791667,4.666667,4.75,2.87427,547800.0,417.13,3276.8,417.13
1992-02-13,4.770833,4.8125,4.708333,4.75,2.87427,663600.0,413.69,3246.7,413.69
1992-02-14,4.770833,4.770833,4.729167,4.75,2.87427,605400.0,412.48,3246.0,412.48
1992-02-18,4.770833,4.791667,4.6875,4.6875,2.836452,928800.0,407.38,3224.7,407.38
1992-02-19,4.708333,4.75,4.666667,4.6875,2.836452,504000.0,408.26,3230.3,408.26
1992-02-20,4.6875,4.791667,4.666667,4.75,2.87427,1189200.0,413.9,3280.6,413.9
1992-02-21,4.75,4.8125,4.583333,4.604167,2.786027,1263000.0,411.43,3280.2,411.43
1992-02-24,4.583333,4.625,4.541667,4.583333,2.77342,457800.0,412.27,3282.4,412.27
1992-02-25,4.5625,4.604167,4.4375,4.479167,2.721274,547200.0,410.45,3257.8,410.45
1992-02-26,4.5,4.5,4.416667,4.479167,2.721274,1005000.0,415.35,3283.3,415.35
1992-02-27,4.520833,4.541667,4.354167,4.416667,2.683301,1365000.0,413.86,3269.5,413.86
1992-02-28,4.458333,4.645833,4.458333,4.520833,2.746588,1405800.0,412.7,3267.7,412.7
1992-03-02,4.520833,4.645833,4.520833,4.625,2.809872,1077000.0,412.45,3275.3,412.45
1992-03-03,4.666667,4.708333,4.666667,4.6875,2.847843,318600.0,412.85,3290.3,412.85
1992-03-04,4.729167,4.979167,4.6875,4.854167,2.9491,1419000.0,409.33,3268.6,409.33
1992-03-05,4.895833,4.895833,4.6875,4.708333,2.8605,1589400.0,406.51,3241.5,406.51
1992-03-06,4.708333,4.791667,4.6875,4.708333,2.8605,1098600.0,404.44,3221.6,404.44
1992-03-09,4.708333,4.708333,4.583333,4.583333,2.784559,369600.0,405.21,3215.1,405.21
1992-03-10,4.541667,4.604167,4.541667,4.541667,2.759244,798000.0,406.89,3231.0,406.89
1992-03-11,4.541667,4.583333,4.458333,4.520833,2.746588,841800.0,404.03,3208.6,404.03
1992-03-12,4.5625,4.5625,4.458333,4.458333,2.708614,990600.0,403.89,3208.6,403.89
1992-03-13,4.5,4.541667,4.458333,4.520833,2.746588,375600.0,405.84,3235.9,405.84
1992-03-16,4.5,4.520833,4.4375,4.520833,2.746588,606600.0,406.39,3236.4,406.39
1992-03-17,4.5625,4.625,4.541667,4.625,2.809872,568200.0,409.58,3256.0,409.58
1992-03-18,4.666667,4.833333,4.645833,4.833333,2.936443,981000.0,409.15,3254.3,409.15
1992-03-19,4.833333,4.833333,4.75,4.75,2.885813,490200.0,409.8,3261.4,409.8
1992-03-20,4.770833,4.791667,4.6875,4.791667,2.911129,690600.0,411.3,3276.4,411.3
1992-03-23,4.791667,4.791667,4.708333,4.770833,2.898473,331800.0,409.91,3272.1,409.91
1992-03-24,4.8125,4.833333,4.729167,4.75,2.885813,687000.0,408.88,3261.0,408.88
1992-03-25,4.729167,4.729167,4.5625,4.5625,2.771901,622800.0,407.52,3259.4,407.52
1992-03-26,4.583333,4.583333,4.5,4.520833,2.746588,883200.0,407.86,3267.7,407.86
1992-03-27,4.5,4.520833,4.458333,4.458333,2.708614,522600.0,403.5,3231.4,403.5
1992-03-30,4.5,4.520833,4.479167,4.520833,2.746588,528600.0,403.0,3235.2,403.0
1992-03-31,4.479167,4.520833,4.416667,4.5,2.733931,901800.0,403.69,3235.5,403.69
1992-04-01,4.5,4.541667,4.458333,4.458333,2.708614,487800.0,404.23,3249.3,404.23
1992-04-02,4.5,4.541667,4.5,4.520833,2.746588,507600.0,400.5,3234.1,400.5
1992-04-03,4.520833,4.583333,4.5,4.5625,2.771901,530400.0,401.55,3249.1,401.55
1992-04-06,4.583333,4.666667,4.5625,4.604167,2.797217,483600.0,405.59,3275.5,405.59
1992-04-07,4.583333,4.645833,4.5625,4.583333,2.784559,597600.0,398.06,3213.6,398.06
1992-04-08,4.583333,4.625,4.5625,4.604167,2.797217,1033800.0,394.5,3181.4,394.5
1992-04-09,4.833333,4.895833,4.770833,4.833333,2.936443,4291800.0,400.64,3225.0,400.64
1992-04-10,4.895833,4.895833,4.791667,4.8125,2.923786,1769400.0,404.29,3255.4,404.29
1992-04-13,4.8125,4.833333,4.791667,4.791667,2.911129,1016400.0,406.08,3269.9,406.08
1992-04-14,4.791667,4.875,4.791667,4.875,2.961758,1063800.0,412.39,3306.1,412.39
1992-04-15,4.958333,5.041667,4.9375,5.0,3.037699,4164000.0,416.28,3353.8,416.28
1992-04-16,5.0,5.020833,4.854167,4.875,2.961758,2285400.0,416.04,3366.5,416.04
1992-04-20,4.875,4.916667,4.770833,4.791667,2.911129,523200.0,410.18,3336.3,410.18
1992-04-21,4.75,4.770833,4.708333,4.729167,2.873158,879000.0,410.26,3343.3,410.26
1992-04-22,4.729167,4.729167,4.625,4.625,2.809872,2354400.0,409.81,3338.8,409.81
1992-04-23,4.625,4.645833,4.583333,4.625,2.809872,1783800.0,411.6,3348.6,411.6
1992-04-24,4.625,4.645833,4.583333,4.604167,2.797217,5851800.0,409.02,3324.5,409.02
1992-04-27,4.625,4.729167,4.604167,4.708333,2.8605,3216000.0,408.45,3304.56,408.45
1992-04-28,4.75,4.895833,4.75,4.875,2.961758,2463000.0,409.11,3307.9,409.11
1992-04-29,4.958333,4.979167,4.833333,4.854167,2.9491,3302400.0,412.02,3333.2,412.02
1992-04-30,4.854167,4.854167,4.75,4.8125,2.923786,726000.0,414.95,3359.1,414.95
1992-05-01,4.833333,4.833333,4.6875,4.770833,2.898473,703200.0,412.53,3336.1,412.53
1992-05-04,4.791667,4.791667,4.708333,4.729167,2.873158,431400.0,416.91,3378.1,416.91
1992-05-05,4.75,4.770833,4.708333,4.729167,2.873158,459600.0,416.84,3359.4,416.84
1992-05-06,4.75,4.75,4.708333,4.729167,2.873158,318600.0,416.79,3369.4,416.79
