Date,Open,High,Low,Close,Adj Close,Volume,Close_snp500,Close_dji,Close_nasdaq
1992-01-02,10.423481,10.461663,10.308938,10.461663,2.218405,979866,417.26,3172.4,417.26
1992-01-03,10.423481,10.614388,10.423481,10.614388,2.250791,1305287,419.34,3201.5,419.34
1992-01-06,10.538025,10.538025,10.3853,10.3853,2.202212,1092486,417.96,3200.1,417.96
1992-01-07,10.308938,10.3853,10.118031,10.156213,2.153634,1558684,417.4,3204.8,417.4
1992-01-08,10.041669,10.232575,10.041669,10.041669,2.129345,2208872,418.1,3203.9,418.1
1992-01-09,10.003488,10.07985,9.888944,9.927125,2.105054,2100180,417.61,3209.5,417.61
1992-01-10,9.888944,9.927125,9.850763,9.888944,2.096959,1149452,415.1,3199.5,415.1
1992-01-13,9.888944,9.927125,9.812581,9.812581,2.080767,1534785,414.34,3185.6,414.34
1992-01-14,9.850763,10.003488,9.812581,10.003488,2.121248,871501,420.44,3246.2,420.44
1992-01-15,10.003488,10.003488,9.7744,9.812581,2.080767,1686692,420.77,3258.5,420.77
1992-01-16,9.736219,9.7744,9.545313,9.583494,2.032187,1690293,418.21,3249.6,418.21
1992-01-17,9.583494,9.812581,9.545313,9.812581,2.080767,2240956,418.86,3265.0,418.86
1992-01-20,9.7744,10.041669,9.698038,9.965306,2.113152,980193,416.36,3254.0,416.36
1992-01-21,9.965306,10.156213,9.965306,10.07985,2.13744,1768538,412.64,3223.4,412.64
1992-01-22,10.07985,10.118031,9.965306,10.07985,2.13744,2033721,418.13,3255.8,418.13
1992-01-23,10.041669,10.07985,9.927125,9.965306,2.113152,1074153,414.96,3226.7,414.96
1992-01-24,10.003488,10.156213,9.965306,10.118031,2.145536,1020462,415.48,3232.8,415.48
1992-01-27,10.118031,10.156213,10.003488,10.118031,2.145536,3944999,414.99,3240.6,414.99
1992-01-28,9.927125,10.003488,9.927125,9.927125,2.140596,2062858,414.96,3272.1,414.96
1992-01-29,9.927125,10.041669,9.812581,9.965306,2.148831,1780324,410.34,3225.0,410.34
1992-01-30,9.965306,10.041669,9.965306,9.965306,2.148831,814863,411.62,3244.9,411.62
1992-01-31,9.965306,9.965306,9.888944,9.965306,2.148831,1275168,408.78,3223.4,408.78
1992-02-03,9.965306,9.965306,9.850763,9.927125,2.140596,918645,409.53,3234.1,409.53
1992-02-04,9.888944,9.965306,9.736219,9.7744,2.107664,1712555,413.85,3272.8,413.85
1992-02-05,9.7744,9.812581,9.736219,9.736219,2.099432,1215584,413.84,3257.6,413.84
1992-02-06,9.698038,9.736219,9.583494,9.736219,2.099432,1270912,413.82,3255.6,413.82
1992-02-07,9.736219,9.736219,9.583494,9.698038,2.091199,1216238,411.09,3225.4,411.09
1992-02-10,9.736219,9.812581,9.698038,9.7744,2.107664,734654,413.77,3245.1,413.77
1992-02-11,9.7744,9.7744,9.698038,9.7744,2.107664,752005,413.76,3251.6,413.76
1992-02-12,9.736219,9.850763,9.736219,9.850763,2.124131,690784,417.13,3276.8,417.13
1992-02-13,9.850763,9.850763,9.736219,9.7744,2.107664,481257,413.69,3246.7,413.69
1992-02-14,9.736219,9.7744,9.736219,9.736219,2.099432,553609,412.48,3246.0,412.48
1992-02-18,9.7744,9.812581,9.698038,9.736219,2.099432,810607,407.38,3224.7,407.38
1992-02-19,9.7744,9.812581,9.545313,9.583494,2.066499,1400884,408.26,3230.3,408.26
1992-02-20,9.659856,9.659856,9.621675,9.659856,2.082967,581437,413.9,3280.6,413.9
1992-02-21,9.621675,9.621675,9.46895,9.583494,2.066499,1617286,411.43,3280.2,411.43
1992-02-24,9.583494,9.583494,9.354406,9.430769,2.033568,1200851,412.27,3282.4,412.27
1992-02-25,9.392588,9.46895,9.354406,9.430769,2.033568,1430349,410.45,3257.8,410.45
1992-02-26,9.430769,9.46895,9.316225,9.46895,2.041801,1434932,415.35,3283.3,415.35
1992-02-27,9.46895,9.545313,9.430769,9.507131,2.050032,559502,413.86,3269.5,413.86
1992-02-28,9.507131,9.583494,9.430769,9.507131,2.050032,1161892,412.7,3267.7,412.7
1992-03-02,9.583494,9.583494,9.545313,9.583494,2.066499,536913,412.45,3275.3,412.45
1992-03-03,9.545313,9.583494,9.430769,9.430769,2.033568,736945,412.85,3290.3,412.85
1992-03-04,9.430769,9.46895,9.392588,9.392588,2.025334,588312,409.33,3268.6,409.33
1992-03-05,9.354406,9.46895,9.278044,9.316225,2.008869,824358,406.51,3241.5,406.51
1992-03-06,9.354406,9.392588,9.278044,9.316225,2.008869,1089540,404.44,3221.6,404.44
1992-03-09,9.316225,9.583494,9.316225,9.545313,2.058266,833852,405.21,3215.1,405.21
1992-03-10,9.545313,9.659856,9.545313,9.583494,2.066499,1295466,406.89,3231.0,406.89
1992-03-11,9.507131,9.545313,9.354406,9.507131,2.050032,900966,404.03,3208.6,404.03
1992-03-12,9.46895,9.545313,9.392588,9.46895,2.041801,1396628,403.89,3208.6,403.89
1992-03-13,9.545313,9.545313,9.46895,9.545313,2.058266,822066,405.84,3235.9,405.84
1992-03-16,9.621675,9.698038,9.583494,9.659856,2.082967,1201179,406.39,3236.4,406.39
1992-03-17,9.659856,9.736219,9.621675,9.659856,2.082967,769357,409.58,3256.0,409.58
1992-03-18,9.659856,9.698038,9.583494,9.698038,2.091199,975282,409.15,3254.3,409.15
1992-03-19,9.659856,9.659856,9.545313,9.583494,2.066499,866263,409.8,3261.4,409.8
1992-03-20,9.659856,9.7744,9.659856,9.736219,2.099432,3131118,411.3,3276.4,411.3
1992-03-23,9.698038,9.736219,9.583494,9.621675,2.074733,754952,409.91,3272.1,409.91
1992-03-24,9.621675,9.659856,9.507131,9.507131,2.050032,1688656,408.88,3261.0,408.88
1992-03-25,9.507131,9.583494,9.507131,9.545313,2.058266,1326240,407.52,3259.4,407.52
