Date,Open,High,Low,Close,Adj Close,Volume,Close_snp500,Close_dji,Close_nasdaq
1999-11-10,65.0,70.3125,64.5,68.25,36.707653,80793700,1373.46,10597.74,1373.46
1999-11-11,68.75,76.9375,68.75,75.0,40.338066,28309000,1381.46,10595.3,1381.46
1999-11-12,76.0,76.625,69.25,70.5,37.917797,14768100,1396.06,10769.32,1396.06
1999-11-15,70.5,70.875,67.3125,69.0,37.111023,8675100,1394.39,10760.75,1394.39
1999-11-16,67.875,68.0,65.0,66.0,35.497513,6978600,1420.07,10932.33,1420.07
1999-11-17,65.5625,68.1875,65.125,67.6875,36.405128,5806900,1410.71,10883.09,1410.71
1999-11-18,67.9375,68.9375,66.125,66.3125,35.665596,4718700,1424.94,11035.7,1424.94
1999-11-19,66.3125,66.3125,64.25,65.0,34.959675,5091100,1422.0,11003.89,1422.0
1999-11-22,64.0625,64.25,61.0,63.125,33.951218,4785400,1420.94,11089.52,1420.94
1999-11-23,63.375,67.0,63.25,66.1875,35.598358,2832200,1404.64,10995.63,1404.64
1999-11-24,66.0,68.1875,65.9375,67.6875,36.570885,2179400,1417.08,11008.17,1417.08
1999-11-26,68.4375,69.4375,68.1875,69.125,37.347553,1322500,1416.62,10988.91,1416.62
1999-11-29,70.0,70.25,67.0,68.125,36.807259,1987000,1407.83,10947.92,1407.83
1999-11-30,67.375,67.625,66.0625,66.0625,35.692894,1686100,1388.91,10877.81,1388.91
1999-12-01,66.25,67.375,65.625,65.875,35.591599,1405700,1397.72,10998.39,1397.72
1999-12-02,66.0,67.0625,65.875,67.0625,36.2332,1391000,1409.04,11039.06,1409.04
1999-12-03,67.4375,67.6875,66.3125,66.4375,35.895504,1753500,1433.3,11286.18,1433.3
1999-12-06,66.5,66.5,65.375,66.25,35.794228,1398900,1423.33,11225.01,1423.33
1999-12-07,65.9375,68.0,65.875,68.0,36.739723,1793100,1409.17,11106.65,1409.17
1999-12-08,68.0,68.375,66.75,68.375,36.942326,1774000,1403.88,11068.12,1403.88
1999-12-09,68.375,68.75,66.625,67.5,36.469566,1713600,1408.11,11134.79,1408.11
1999-12-10,66.375,67.0,65.375,66.125,35.726677,1248600,1417.04,11224.7,1417.04
1999-12-13,66.375,66.9375,64.875,66.0,35.659138,1417800,1415.22,11192.59,1415.22
1999-12-14,66.0,66.0,64.75,65.0,35.118851,1886600,1403.17,11160.17,1403.17
1999-12-15,65.0,65.0625,63.6875,63.75,34.443497,1602800,1413.33,11225.32,1413.33
1999-12-16,63.75,64.0625,63.25,64.0,34.57856,1364600,1418.78,11244.89,1418.78
1999-12-17,64.75,67.625,64.6875,66.625,35.996822,1980800,1421.03,11257.43,1421.03
1999-12-20,67.6875,68.5,66.9375,68.5,37.009869,1501300,1418.09,11144.27,1418.09
1999-12-21,68.25,69.0,67.5,69.0,37.28001,1265200,1433.43,11200.54,1433.43
1999-12-22,68.9375,68.9375,66.0625,67.0,36.199421,1264700,1436.13,11203.6,1436.13
