Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,4.625,4.625,4.625,4.625,1.594437,99200.0
1973-02-22,4.640625,4.640625,4.640625,4.640625,1.599824,47200.0
1973-02-23,4.625,4.625,4.625,4.625,1.594437,133600.0
1973-02-26,4.625,4.625,4.625,4.625,1.594437,24000.0
1973-02-27,4.625,4.625,4.625,4.625,1.594437,41600.0
1973-02-28,4.625,4.625,4.625,4.625,1.594437,66400.0
1973-03-01,4.65625,4.65625,4.65625,4.65625,1.605211,93600.0
1973-03-02,4.671875,4.671875,4.671875,4.671875,1.610597,26400.0
1973-03-05,4.734375,4.734375,4.734375,4.734375,1.632144,68000.0
1973-03-06,4.875,4.875,4.875,4.875,1.680624,76800.0
1973-03-07,4.875,4.875,4.875,4.875,1.680624,51200.0
1973-03-08,4.90625,4.90625,4.90625,4.90625,1.691396,84800.0
1973-03-09,4.90625,4.90625,4.90625,4.90625,1.691396,78400.0
1973-03-12,4.890625,4.890625,4.890625,4.890625,1.68601,73600.0
1973-03-13,4.90625,4.90625,4.90625,4.90625,1.691396,47200.0
1973-03-14,4.921875,4.921875,4.921875,4.921875,1.696783,50400.0
1973-03-15,4.90625,4.90625,4.90625,4.90625,1.691396,70400.0
1973-03-16,4.890625,4.890625,4.890625,4.890625,1.68601,44800.0
1973-03-19,4.84375,4.84375,4.84375,4.84375,1.66985,28000.0
1973-03-20,4.75,4.75,4.75,4.75,1.637531,68800.0
1973-03-21,4.6875,4.6875,4.6875,4.6875,1.615985,94400.0
1973-03-22,4.609375,4.609375,4.609375,4.609375,1.589051,55200.0
1973-03-23,4.609375,4.609375,4.609375,4.609375,1.589051,117600.0
1973-03-26,4.59375,4.59375,4.59375,4.59375,1.583665,9600.0
1973-03-27,4.59375,4.59375,4.59375,4.59375,1.583665,15200.0
1973-03-28,4.65625,4.65625,4.65625,4.65625,1.605211,141600.0
1973-03-29,4.71875,4.71875,4.71875,4.71875,1.626757,120000.0
1973-03-30,4.71875,4.71875,4.71875,4.71875,1.626757,85600.0
1973-04-02,4.6875,4.6875,4.6875,4.6875,1.615985,52800.0
1973-04-03,4.65625,4.65625,4.65625,4.65625,1.605211,23200.0
1973-04-04,4.625,4.625,4.625,4.625,1.594437,78400.0
1973-04-05,4.609375,4.609375,4.609375,4.609375,1.589051,78400.0
1973-04-06,4.609375,4.609375,4.609375,4.609375,1.589051,36000.0
1973-04-09,4.609375,4.609375,4.609375,4.609375,1.589051,28000.0
1973-04-10,4.71875,4.71875,4.71875,4.71875,1.626757,88800.0
1973-04-11,4.75,4.75,4.75,4.75,1.637531,144000.0
1973-04-12,4.8125,4.8125,4.8125,4.8125,1.659077,140800.0
1973-04-13,4.8125,4.8125,4.8125,4.8125,1.659077,13600.0
1973-04-16,4.8125,4.8125,4.8125,4.8125,1.659077,40000.0
1973-04-17,4.6875,4.6875,4.6875,4.6875,1.615985,92800.0
1973-04-18,4.671875,4.671875,4.671875,4.671875,1.610597,25600.0
1973-04-19,4.6875,4.6875,4.6875,4.6875,1.615985,39200.0
1973-04-23,4.625,4.625,4.625,4.625,1.594437,48000.0
1973-04-24,4.59375,4.59375,4.59375,4.59375,1.583665,134400.0
1973-04-25,4.5625,4.5625,4.5625,4.5625,1.572891,59200.0
1973-04-26,4.5625,4.5625,4.5625,4.5625,1.572891,33600.0
1973-04-27,4.53125,4.53125,4.53125,4.53125,1.562118,36800.0
1973-04-30,4.46875,4.46875,4.46875,4.46875,1.540571,91200.0
1973-05-01,4.4375,4.4375,4.4375,4.4375,1.529798,295200.0
1973-05-02,4.453125,4.453125,4.453125,4.453125,1.535185,61600.0
1973-05-03,0.0,4.5,4.4375,4.4375,1.529798,56000.0
1973-05-04,0.0,4.546875,4.484375,4.484375,1.545958,43200.0
1973-05-07,0.0,4.5625,4.5,4.5,1.551345,42400.0
1973-05-08,0.0,4.578125,4.515625,4.515625,1.556732,28800.0
1973-05-09,0.0,4.703125,4.640625,4.640625,1.599824,58400.0
1973-05-10,0.0,4.8125,4.75,4.75,1.637531,70400.0
1973-05-11,0.0,4.828125,4.765625,4.765625,1.642917,26400.0
1973-05-14,0.0,4.65625,4.59375,4.59375,1.583665,151200.0
1973-05-15,0.0,4.640625,4.578125,4.578125,1.578278,163200.0
1973-05-16,0.0,4.734375,4.671875,4.671875,1.610597,75200.0
1973-05-17,0.0,4.734375,4.671875,4.671875,1.610597,27200.0
1973-05-18,0.0,4.6875,4.625,4.625,1.594437,59200.0
1973-05-21,0.0,4.671875,4.609375,4.609375,1.589051,60800.0
1973-05-22,0.0,4.71875,4.65625,4.65625,1.605211,95200.0
1973-05-23,0.0,4.734375,4.671875,4.671875,1.610597,34400.0
1973-05-24,0.0,4.84375,4.78125,4.78125,1.648304,60000.0
1973-05-25,0.0,4.90625,4.84375,4.84375,1.66985,111200.0
1973-05-29,0.0,4.9375,4.875,4.875,1.680624,144800.0
1973-05-30,0.0,4.859375,4.796875,4.796875,1.65369,90400.0
1973-05-31,0.0,4.859375,4.796875,4.796875,1.65369,36000.0
1973-06-01,0.0,4.859375,4.796875,4.796875,1.65369,47200.0
1973-06-04,0.0,4.640625,4.578125,4.578125,1.578278,119200.0
1973-06-05,0.0,4.5625,4.5,4.5,1.551345,101600.0
1973-06-06,0.0,4.5,4.4375,4.4375,1.529798,32000.0
1973-06-07,0.0,4.53125,4.46875,4.46875,1.540571,31200.0
1973-06-08,0.0,4.546875,4.484375,4.484375,1.545958,98400.0
1973-06-11,0.0,4.5625,4.5,4.5,1.551345,58400.0
1973-06-12,0.0,4.609375,4.546875,4.546875,1.567505,148800.0
1973-06-13,0.0,4.625,4.5625,4.5625,1.572891,40800.0
1973-06-14,0.0,4.65625,4.59375,4.59375,1.583665,53600.0
1973-06-15,0.0,4.609375,4.546875,4.546875,1.567505,43200.0
1973-06-18,0.0,4.53125,4.46875,4.46875,1.540571,31200.0
1973-06-19,0.0,4.484375,4.421875,4.421875,1.524412,83200.0
1973-06-20,0.0,4.453125,4.390625,4.390625,1.513638,30400.0
1973-06-21,0.0,4.4375,4.375,4.375,1.508252,78400.0
1973-06-22,0.0,4.4375,4.375,4.375,1.508252,58400.0
1973-06-25,0.0,4.359375,4.296875,4.296875,1.481318,46400.0
1973-06-26,0.0,4.390625,4.328125,4.328125,1.492092,44000.0
1973-06-27,0.0,4.375,4.3125,4.3125,1.486706,90400.0
1973-06-28,0.0,4.328125,4.265625,4.265625,1.470546,57600.0
1973-06-29,0.0,4.34375,4.28125,4.28125,1.475932,160000.0
1973-07-02,0.0,4.375,4.3125,4.3125,1.486706,24800.0
1973-07-03,0.0,4.359375,4.296875,4.296875,1.481318,44800.0
1973-07-05,0.0,4.34375,4.28125,4.28125,1.475932,24800.0
1973-07-06,0.0,4.34375,4.28125,4.28125,1.475932,37600.0
1973-07-09,0.0,4.375,4.3125,4.3125,1.486706,42400.0
1973-07-10,0.0,4.40625,4.34375,4.34375,1.497479,32800.0
1973-07-11,0.0,4.421875,4.359375,4.359375,1.502866,12000.0
1973-07-12,0.0,4.40625,4.34375,4.34375,1.497479,24000.0
1973-07-13,0.0,4.4375,4.375,4.375,1.508252,59200.0
1973-07-16,0.0,4.46875,4.40625,4.40625,1.519025,16800.0
1973-07-17,0.0,4.5,4.4375,4.4375,1.529798,110400.0
1973-07-18,0.0,4.625,4.5625,4.5625,1.572891,128800.0
1973-07-19,0.0,4.921875,4.859375,4.859375,1.675237,157600.0
1973-07-20,0.0,5.046875,4.984375,4.984375,1.718329,341600.0
1973-07-23,0.0,5.0,4.9375,4.9375,1.70217,110400.0
1973-07-24,0.0,4.96875,4.90625,4.90625,1.691396,100800.0
1973-07-25,0.0,4.96875,4.90625,4.90625,1.691396,46400.0
1973-07-26,0.0,4.96875,4.90625,4.90625,1.691396,82400.0
1973-07-27,0.0,4.9375,4.875,4.875,1.680624,61600.0
1973-07-30,0.0,4.90625,4.84375,4.84375,1.66985,25600.0
1973-07-31,0.0,4.90625,4.84375,4.84375,1.66985,31200.0
1973-08-01,0.0,4.84375,4.78125,4.78125,1.648304,47200.0
1973-08-02,0.0,4.765625,4.703125,4.703125,1.62137,80800.0
1973-08-03,0.0,4.765625,4.703125,4.703125,1.62137,48000.0
1973-08-06,0.0,4.75,4.6875,4.6875,1.615985,41600.0
1973-08-07,0.0,4.75,4.6875,4.6875,1.615985,3200.0
1973-08-08,0.0,4.703125,4.640625,4.640625,1.599824,72800.0
1973-08-09,0.0,4.75,4.6875,4.6875,1.615985,29600.0
1973-08-10,0.0,4.765625,4.703125,4.703125,1.62137,32800.0
1973-08-13,0.0,4.75,4.6875,4.6875,1.615985,19200.0
1973-08-14,0.0,4.75,4.6875,4.6875,1.615985,53600.0
1973-08-15,0.0,4.734375,4.671875,4.671875,1.610597,24800.0
1973-08-16,0.0,4.734375,4.671875,4.671875,1.610597,44800.0
1973-08-17,0.0,4.78125,4.71875,4.71875,1.626757,29600.0
1973-08-20,0.0,4.78125,4.71875,4.71875,1.626757,58400.0
1973-08-21,0.0,4.78125,4.71875,4.71875,1.626757,22400.0
1973-08-22,0.0,4.71875,4.65625,4.65625,1.605211,64000.0
1973-08-23,0.0,4.71875,4.65625,4.65625,1.605211,6400.0
1973-08-24,0.0,4.734375,4.671875,4.671875,1.610597,17600.0
1973-08-27,0.0,4.75,4.6875,4.6875,1.615985,57600.0
1973-08-28,0.0,4.8125,4.75,4.75,1.637531,51200.0
1973-08-29,0.0,4.875,4.8125,4.8125,1.659077,153600.0
1973-08-30,0.0,4.8125,4.75,4.75,1.637531,50400.0
1973-08-31,0.0,4.84375,4.78125,4.78125,1.648304,24800.0
1973-09-04,0.0,4.859375,4.796875,4.796875,1.65369,53600.0
1973-09-05,0.0,4.828125,4.765625,4.765625,1.642917,66400.0
1973-09-06,0.0,4.84375,4.78125,4.78125,1.648304,153600.0
1973-09-07,0.0,4.90625,4.84375,4.84375,1.66985,160800.0
1973-09-10,0.0,4.9375,4.875,4.875,1.680624,107200.0
1973-09-11,0.0,4.875,4.8125,4.8125,1.659077,51200.0
1973-09-12,0.0,4.859375,4.796875,4.796875,1.65369,20800.0
1973-09-13,0.0,4.875,4.8125,4.8125,1.659077,57600.0
1973-09-14,0.0,4.875,4.8125,4.8125,1.659077,4800.0
1973-09-17,0.0,4.90625,4.84375,4.84375,1.66985,64800.0
1973-09-18,0.0,4.9375,4.875,4.875,1.680624,71200.0
1973-09-19,0.0,5.0,4.9375,4.9375,1.70217,122400.0
1973-09-20,0.0,4.984375,4.921875,4.921875,1.696783,65600.0
1973-09-21,0.0,4.96875,4.90625,4.90625,1.691396,73600.0
1973-09-24,0.0,5.03125,4.96875,4.96875,1.712943,111200.0
1973-09-25,0.0,5.0,4.9375,4.9375,1.70217,23200.0
1973-09-26,0.0,5.0,4.9375,4.9375,1.70217,73600.0
1973-09-27,0.0,4.96875,4.90625,4.90625,1.691396,48000.0
1973-09-28,0.0,4.96875,4.90625,4.90625,1.691396,90400.0
1973-10-01,0.0,4.96875,4.90625,4.90625,1.691396,29600.0
1973-10-02,0.0,4.984375,4.921875,4.921875,1.696783,32800.0
1973-10-03,0.0,4.984375,4.921875,4.921875,1.696783,59200.0
1973-10-04,0.0,4.984375,4.921875,4.921875,1.696783,17600.0
1973-10-05,0.0,4.96875,4.90625,4.90625,1.691396,74400.0
1973-10-08,0.0,4.96875,4.90625,4.90625,1.691396,34400.0
1973-10-09,0.0,4.96875,4.90625,4.90625,1.691396,40000.0
1973-10-10,0.0,5.046875,4.984375,4.984375,1.718329,189600.0
1973-10-11,0.0,5.171875,5.109375,5.109375,1.761423,185600.0
1973-10-12,0.0,5.25,5.1875,5.1875,1.788356,142400.0
1973-10-15,0.0,5.21875,5.15625,5.15625,1.777582,177600.0
1973-10-16,0.0,5.21875,5.15625,5.15625,1.777582,164800.0
1973-10-17,0.0,5.234375,5.171875,5.171875,1.782969,56000.0
1973-10-18,0.0,5.234375,5.171875,5.171875,1.782969,42400.0
1973-10-19,0.0,5.3125,5.25,5.25,1.809902,163200.0
1973-10-22,0.0,5.25,5.1875,5.1875,1.788356,85600.0
1973-10-23,0.0,5.1875,5.125,5.125,1.76681,131200.0
1973-10-24,0.0,5.15625,5.09375,5.09375,1.756036,60000.0
1973-10-25,0.0,5.171875,5.109375,5.109375,1.761423,26400.0
1973-10-26,0.0,5.1875,5.125,5.125,1.76681,64000.0
1973-10-29,0.0,5.1875,5.125,5.125,1.76681,48800.0
1973-10-30,0.0,5.046875,4.984375,4.984375,1.718329,69600.0
1973-10-31,0.0,4.96875,4.90625,4.90625,1.691396,104800.0
1973-11-01,0.0,4.9375,4.875,4.875,1.680624,124000.0
1973-11-02,0.0,4.921875,4.859375,4.859375,1.675237,122400.0
1973-11-05,0.0,4.921875,4.859375,4.859375,1.675237,46400.0
1973-11-06,0.0,4.9375,4.875,4.875,1.680624,33600.0
1973-11-07,0.0,5.0625,5.0,5.0,1.723716,65600.0
1973-11-08,0.0,5.125,5.0625,5.0625,1.745263,92800.0
1973-11-09,0.0,5.125,5.0625,5.0625,1.745263,62400.0
1973-11-12,0.0,5.109375,5.046875,5.046875,1.739876,56000.0
1973-11-13,0.0,5.109375,5.046875,5.046875,1.739876,60000.0
1973-11-14,0.0,5.03125,4.96875,4.96875,1.712943,76000.0
1973-11-15,0.0,5.046875,4.984375,4.984375,1.718329,46400.0
1973-11-16,0.0,5.078125,5.015625,5.015625,1.729103,78400.0
1973-11-19,0.0,5.0,4.9375,4.9375,1.70217,73600.0
1973-11-20,0.0,4.765625,4.703125,4.703125,1.62137,159200.0
1973-11-21,0.0,4.859375,4.796875,4.796875,1.65369,97600.0
1973-11-23,0.0,4.84375,4.78125,4.78125,1.648304,62400.0
1973-11-26,0.0,4.84375,4.78125,4.78125,1.648304,123200.0
1973-11-27,0.0,4.765625,4.703125,4.703125,1.62137,128000.0
1973-11-28,0.0,4.734375,4.671875,4.671875,1.610597,126400.0
1973-11-29,0.0,4.65625,4.59375,4.59375,1.583665,65600.0
1973-11-30,0.0,4.359375,4.296875,4.296875,1.481318,172000.0
1973-12-03,0.0,4.28125,4.21875,4.21875,1.454385,510400.0
1973-12-04,0.0,4.3125,4.25,4.25,1.465158,296000.0
1973-12-05,0.0,4.21875,4.15625,4.15625,1.43284,132800.0
1973-12-06,0.0,4.34375,4.28125,4.28125,1.475932,183200.0
1973-12-07,0.0,4.53125,4.46875,4.46875,1.540571,312000.0
1973-12-10,0.0,4.515625,4.453125,4.453125,1.535185,158400.0
1973-12-11,0.0,4.5625,4.5,4.5,1.551345,104000.0
1973-12-12,0.0,4.546875,4.484375,4.484375,1.545958,93600.0
1973-12-13,0.0,4.5,4.4375,4.4375,1.529798,69600.0
1973-12-14,0.0,4.5,4.4375,4.4375,1.529798,24000.0
1973-12-17,0.0,4.375,4.3125,4.3125,1.486706,60000.0
1973-12-18,0.0,4.375,4.3125,4.3125,1.486706,90400.0
1973-12-19,0.0,4.375,4.3125,4.3125,1.486706,114400.0
1973-12-20,0.0,4.390625,4.328125,4.328125,1.492092,72000.0
1973-12-21,0.0,4.421875,4.359375,4.359375,1.502866,28800.0
1973-12-24,0.0,4.4375,4.375,4.375,1.508252,100000.0
1973-12-26,0.0,4.609375,4.546875,4.546875,1.567505,96800.0
1973-12-27,0.0,4.78125,4.71875,4.71875,1.626757,114400.0
1973-12-28,0.0,4.921875,4.859375,4.859375,1.675237,94400.0
1973-12-31,0.0,5.0,4.9375,4.9375,1.70217,112800.0
1974-01-02,0.0,4.953125,4.890625,4.890625,1.68601,121600.0
1974-01-03,0.0,5.03125,4.96875,4.96875,1.712943,95200.0
1974-01-04,0.0,4.9375,4.875,4.875,1.680624,156000.0
1974-01-07,0.0,4.859375,4.796875,4.796875,1.65369,71200.0
1974-01-08,0.0,4.796875,4.734375,4.734375,1.632144,87200.0
1974-01-09,0.0,4.734375,4.671875,4.671875,1.610597,64000.0
1974-01-10,0.0,4.4375,4.375,4.375,1.508252,116000.0
1974-01-11,0.0,4.328125,4.265625,4.265625,1.470546,208000.0
1974-01-14,0.0,4.40625,4.34375,4.34375,1.497479,126400.0
1974-01-15,0.0,4.46875,4.40625,4.40625,1.519025,69600.0
1974-01-16,0.0,4.625,4.5625,4.5625,1.572891,99200.0
1974-01-17,0.0,4.6875,4.625,4.625,1.594437,106400.0
1974-01-18,0.0,4.625,4.5625,4.5625,1.572891,62400.0
1974-01-21,0.0,4.5,4.4375,4.4375,1.529798,478400.0
1974-01-22,0.0,4.46875,4.40625,4.40625,1.519025,132800.0
1974-01-23,0.0,4.375,4.3125,4.3125,1.486706,147200.0
1974-01-24,0.0,4.34375,4.28125,4.28125,1.475932,124000.0
1974-01-25,0.0,4.390625,4.328125,4.328125,1.492092,46400.0
1974-01-28,0.0,4.375,4.3125,4.3125,1.486706,50400.0
1974-01-29,0.0,4.421875,4.359375,4.359375,1.502866,163200.0
1974-01-30,0.0,4.453125,4.390625,4.390625,1.513638,72800.0
1974-01-31,0.0,4.40625,4.34375,4.34375,1.497479,35200.0
1974-02-01,0.0,4.34375,4.28125,4.28125,1.475932,67200.0
1974-02-04,0.0,4.28125,4.21875,4.21875,1.454385,57600.0
1974-02-05,0.0,4.234375,4.171875,4.171875,1.438225,61600.0
1974-02-06,0.0,4.265625,4.203125,4.203125,1.448999,34400.0
1974-02-07,0.0,4.28125,4.21875,4.21875,1.454385,33600.0
1974-02-08,0.0,4.265625,4.203125,4.203125,1.448999,56800.0
1974-02-11,0.0,4.21875,4.15625,4.15625,1.43284,84000.0
1974-02-12,0.0,4.15625,4.09375,4.09375,1.411292,106400.0
1974-02-13,0.0,4.09375,4.03125,4.03125,1.389747,96800.0
1974-02-14,0.0,4.09375,4.03125,4.03125,1.389747,41600.0
1974-02-15,0.0,4.109375,4.046875,4.046875,1.395133,263200.0
1974-02-19,0.0,4.046875,3.984375,3.984375,1.373587,200000.0
1974-02-20,0.0,4.09375,4.03125,4.03125,1.389747,142400.0
1974-02-21,0.0,4.078125,4.015625,4.015625,1.38436,51200.0
1974-02-22,0.0,4.09375,4.03125,4.03125,1.389747,276800.0
1974-02-25,0.0,4.0625,4.0,4.0,1.378973,72000.0
1974-02-26,0.0,4.046875,3.984375,3.984375,1.373587,170400.0
1974-02-27,0.0,4.03125,3.96875,3.96875,1.3682,144800.0
1974-02-28,0.0,4.046875,3.984375,3.984375,1.373587,305600.0
1974-03-01,0.0,4.078125,4.015625,4.015625,1.38436,280800.0
1974-03-04,0.0,4.0625,4.0,4.0,1.378973,149600.0
1974-03-05,0.0,4.1875,4.125,4.125,1.422066,163200.0
1974-03-06,0.0,4.203125,4.140625,4.140625,1.427453,200000.0
1974-03-07,0.0,4.234375,4.171875,4.171875,1.438225,74400.0
1974-03-08,0.0,4.3125,4.25,4.25,1.465158,197600.0
1974-03-11,0.0,4.28125,4.21875,4.21875,1.454385,184000.0
1974-03-12,0.0,4.34375,4.28125,4.28125,1.475932,163200.0
1974-03-13,0.0,4.65625,4.59375,4.59375,1.583665,326400.0
1974-03-14,0.0,4.78125,4.71875,4.71875,1.626757,304000.0
1974-03-15,0.0,4.75,4.6875,4.6875,1.615985,287200.0
1974-03-18,0.0,4.65625,4.59375,4.59375,1.583665,161600.0
1974-03-19,0.0,4.5625,4.5,4.5,1.551345,124000.0
1974-03-20,0.0,4.59375,4.53125,4.53125,1.562118,77600.0
1974-03-21,0.0,4.578125,4.515625,4.515625,1.556732,41600.0
1974-03-22,0.0,4.5625,4.5,4.5,1.551345,34400.0
1974-03-25,0.0,4.5625,4.5,4.5,1.551345,50400.0
1974-03-26,0.0,4.546875,4.484375,4.484375,1.545958,44800.0
1974-03-27,0.0,4.421875,4.359375,4.359375,1.502866,126400.0
1974-03-28,0.0,4.171875,4.109375,4.109375,1.416679,287200.0
1974-03-29,0.0,4.15625,4.09375,4.09375,1.411292,178400.0
1974-04-01,0.0,4.171875,4.109375,4.109375,1.416679,39200.0
1974-04-02,0.0,4.1875,4.125,4.125,1.422066,68800.0
1974-04-03,0.0,4.171875,4.109375,4.109375,1.416679,272800.0
1974-04-04,0.0,4.1875,4.125,4.125,1.422066,61600.0
1974-04-05,0.0,4.125,4.0625,4.0625,1.40052,116800.0
1974-04-08,0.0,4.0625,4.0,4.0,1.378973,104000.0
1974-04-09,0.0,4.046875,3.984375,3.984375,1.373587,40800.0
1974-04-10,0.0,4.0625,4.0,4.0,1.378973,104800.0
1974-04-11,0.0,4.0625,4.0,4.0,1.378973,182400.0
1974-04-15,0.0,4.078125,4.015625,4.015625,1.38436,54400.0
1974-04-16,0.0,4.234375,4.171875,4.171875,1.438225,142400.0
1974-04-17,0.0,4.28125,4.21875,4.21875,1.454385,116000.0
1974-04-18,0.0,4.328125,4.265625,4.265625,1.470546,113600.0
1974-04-19,0.0,4.28125,4.21875,4.21875,1.454385,55200.0
