Date,Open,High,Low,Close,Adj Close,Volume
1989-07-13,0.0,3.375,3.375,3.375,1.317136,5000.0
1989-07-14,0.0,3.375,3.375,3.375,1.317136,17500.0
1989-07-18,0.0,3.4,3.4,3.4,1.326892,500.0
1989-07-21,0.0,3.45,3.45,3.45,1.346406,1500.0
1989-08-07,0.0,3.6,3.6,3.6,1.404945,2500.0
1989-08-10,0.0,3.6,3.6,3.6,1.404945,5000.0
1989-08-11,0.0,3.6,3.6,3.6,1.404945,7500.0
1989-08-14,0.0,3.6,3.55,3.55,1.385432,3500.0
1989-08-15,0.0,3.525,3.525,3.525,1.375675,3000.0
1989-08-16,0.0,3.6,3.6,3.6,1.404945,5000.0
1989-08-17,0.0,3.5,3.5,3.5,1.365919,1000.0
1989-08-22,0.0,3.45,3.45,3.45,1.346406,2500.0
1989-08-23,0.0,3.4,3.4,3.4,1.326892,3500.0
1989-08-24,0.0,3.35,3.35,3.35,1.30738,5000.0
1989-08-25,0.0,3.375,3.375,3.375,1.317136,4000.0
1989-08-28,0.0,3.425,3.425,3.425,1.336649,3000.0
1989-08-31,0.0,3.375,3.375,3.375,1.317136,5000.0
1989-09-21,0.0,3.275,3.25,3.25,1.268353,9000.0
1989-09-25,0.0,3.4,3.4,3.4,1.337013,500.0
1989-10-16,0.0,3.375,3.375,3.375,1.327182,500.0
1989-10-26,0.0,3.5,3.5,3.5,1.376337,2500.0
1989-11-22,0.0,3.525,3.525,3.525,1.386167,500.0
1989-12-12,0.0,3.9,3.9,3.9,1.533632,500.0
1989-12-13,0.0,4.0,4.0,4.0,1.572956,500.0
1989-12-18,0.0,3.95,3.95,3.95,1.553294,1000.0
1990-01-11,0.0,4.55,4.55,4.55,1.789238,500.0
1990-02-28,0.0,4.525,4.525,4.525,1.779407,500.0
1990-06-27,0.0,4.725,4.725,4.725,1.880832,500.0
1990-09-18,0.0,3.9,3.9,3.9,1.563818,1000.0
1990-09-19,0.0,3.925,3.925,3.925,1.573843,1000.0
1990-09-21,0.0,3.775,3.775,3.775,1.513696,500.0
1990-11-09,0.0,4.3,4.3,4.3,1.72421,500.0
1990-11-12,0.0,4.1,4.1,4.1,1.644014,500.0
1991-01-10,0.0,3.925,3.925,3.925,1.573843,11000.0
1991-01-29,0.0,3.8,3.8,3.8,1.523721,500.0
1991-02-08,0.0,4.35,4.25,4.35,1.744259,6500.0
1991-02-22,0.0,4.925,4.85,4.85,1.944749,17000.0
1991-03-06,0.0,4.8,4.8,4.8,1.9247,7500.0
1991-06-06,0.0,4.0,4.0,4.0,1.625248,500.0
1991-12-10,3.8,3.8,3.8,3.8,1.562184,500.0
1992-01-16,3.925,3.925,3.925,3.925,1.613573,2500.0
1992-02-13,4.15,4.15,4.15,4.15,1.749759,4500.0
1992-03-11,4.05,4.05,4.05,4.05,1.707595,1000.0
1992-03-23,3.825,3.825,3.825,3.825,1.61273,1000.0
1992-04-01,4.0,4.0,4.0,4.0,1.686515,500.0
1992-05-05,4.325,4.325,4.325,4.325,1.823543,5000.0
1992-05-11,4.35,4.35,4.35,4.35,1.834085,12000.0
1992-05-29,4.25,4.25,4.25,4.25,1.791921,500.0
1992-06-09,4.1,4.1,4.1,4.1,1.728677,3000.0
1992-07-15,4.15,4.15,4.15,4.15,1.749759,5000.0
1992-07-17,4.175,4.175,4.175,4.175,1.760299,5000.0
1992-10-19,3.2,3.2,3.2,3.2,1.367223,500.0
1992-12-16,3.225,3.225,3.225,3.225,1.377904,2500.0
1992-12-17,3.4,3.4,3.275,3.275,1.399267,10000.0
1993-01-06,3.4,3.4,3.4,3.4,1.452674,1000.0
1993-01-08,3.375,3.375,3.375,3.375,1.441992,110500.0
1993-01-27,3.125,3.125,3.125,3.125,1.335178,500.0
1993-02-12,3.3,3.3,3.3,3.3,1.409948,48500.0
1993-02-19,3.0,3.0,3.0,3.0,1.281771,5000.0
1993-02-24,3.175,3.4,3.175,3.4,1.452674,7500.0
1993-03-11,3.6,3.6,3.6,3.6,1.538126,51000.0
1993-04-07,3.9,3.95,3.9,3.95,1.687665,10500.0
1993-04-23,3.9,3.9,3.9,3.9,1.677515,500.0
1993-05-17,4.075,4.075,4.075,4.075,1.752787,500.0
1993-06-02,4.4,4.4,4.4,4.4,1.89258,3000.0
1993-06-08,4.4,4.4,4.4,4.4,1.89258,2500.0
1993-06-11,4.35,4.35,4.35,4.35,1.871074,5000.0
1993-06-15,4.275,4.3,4.275,4.3,1.849567,10500.0
1993-07-23,4.0,4.0,4.0,4.0,1.720528,1000.0
1993-08-19,4.275,4.275,4.275,4.275,1.838814,5000.0
1993-09-01,4.3,4.3,4.3,4.3,1.849567,2500.0
1993-09-15,4.65,4.65,4.65,4.65,2.012469,6000.0
1993-10-14,4.9,4.9,4.9,4.9,2.132774,5000.0
1993-10-22,4.875,4.875,4.875,4.875,2.121893,500.0
1993-11-22,4.55,4.55,4.55,4.55,1.980433,500.0
1994-03-07,5.675,5.675,5.675,5.675,2.470102,1500.0
1994-06-13,5.15,5.15,5.15,5.15,2.252065,500.0
1994-06-14,5.375,5.375,5.375,5.375,2.350458,3500.0
1994-06-17,5.275,5.275,5.275,5.275,2.306728,1000.0
1994-06-22,5.1,5.1,5.1,5.1,2.230201,1000.0
1994-07-01,5.125,5.125,5.125,5.125,2.241134,2500.0
1994-07-27,6.05,6.05,6.05,6.05,2.645631,500.0
1994-08-30,5.85,5.85,5.85,5.85,2.558172,500.0
1994-09-23,5.6,5.6,5.6,5.6,2.448849,500.0
1994-10-03,5.45,5.45,5.45,5.45,2.395059,3500.0
1994-10-19,6.0,6.0,6.0,6.0,2.636762,500.0
1994-10-20,5.95,5.95,5.95,5.95,2.614789,1000.0
1994-10-24,5.9,5.9,5.65,5.65,2.48295,5500.0
1994-11-03,5.55,5.55,5.55,5.55,2.439005,4500.0
1994-11-07,5.8,5.8,5.8,5.8,2.54887,500.0
1994-11-08,5.8,5.8,5.8,5.8,2.54887,500.0
1994-11-15,5.6,5.6,5.6,5.6,2.460978,3500.0
1994-11-18,5.7,5.7,5.7,5.7,2.504924,7000.0
1994-11-28,5.45,5.45,5.45,5.45,2.395059,5000.0
1994-12-05,5.3,5.45,5.3,5.45,2.395059,4000.0
1994-12-12,5.4,5.4,5.4,5.4,2.373086,1000.0
1994-12-15,5.35,5.35,5.35,5.35,2.351112,1000.0
1994-12-20,5.4,5.4,5.4,5.4,2.373086,1000.0
1994-12-23,5.6,5.6,5.6,5.6,2.460978,2500.0
1994-12-27,5.65,5.65,5.65,5.65,2.48295,2500.0
1994-12-28,5.7,5.7,5.7,5.7,2.504924,1000.0
1995-01-05,5.7,5.7,5.7,5.7,2.504924,500.0
1995-01-17,5.7,5.7,5.7,5.7,2.504924,2500.0
1995-01-20,5.6,5.6,5.6,5.6,2.460978,500.0
1995-01-25,5.75,5.75,5.75,5.75,2.526896,5000.0
1995-01-27,5.8,5.8,5.8,5.8,2.54887,5000.0
1995-01-30,5.75,5.75,5.75,5.75,2.526896,3500.0
1995-02-01,5.7,5.725,5.7,5.725,2.515911,11000.0
1995-02-07,5.8,5.8,5.7,5.7,2.504924,6000.0
1995-02-10,6.0,6.0,6.0,6.0,2.636762,1500.0
1995-02-13,6.025,6.025,6.025,6.025,2.647749,2500.0
1995-02-14,6.0,6.0,6.0,6.0,2.636762,1500.0
1995-02-16,6.0,6.0,6.0,6.0,2.636762,2500.0
1995-02-17,6.0,6.0,6.0,6.0,2.636762,500.0
1995-02-21,5.95,5.95,5.95,5.95,2.614789,1000.0
1995-02-23,5.875,5.9,5.875,5.9,2.592816,5500.0
1995-02-27,5.8,5.8,5.75,5.75,2.526896,1500.0
1995-03-06,6.0,6.0,6.0,6.0,2.636762,3000.0
1995-03-08,5.925,5.925,5.925,5.925,2.603801,500.0
1995-03-09,5.8,5.8,5.8,5.8,2.54887,1500.0
1995-03-10,5.8,5.8,5.8,5.8,2.54887,2000.0
1995-03-15,5.7,5.7,5.7,5.7,2.504924,1500.0
1995-03-16,5.725,5.725,5.725,5.725,2.515911,500.0
1995-03-23,5.75,5.75,5.75,5.75,2.526896,500.0
1995-03-27,5.9,5.9,5.9,5.9,2.592816,1500.0
1995-04-03,6.05,6.05,6.05,6.05,2.658735,1500.0
1995-04-21,6.1,6.35,6.1,6.35,2.805412,17500.0
1995-04-27,6.35,6.35,6.35,6.35,2.805412,2500.0
1995-05-25,6.5,6.5,6.325,6.325,2.794368,1000.0
1995-05-30,6.5,6.5,6.5,6.5,2.871681,5000.0
1995-06-05,6.525,6.525,6.4,6.4,2.827501,7500.0
1995-06-14,6.45,6.45,6.45,6.45,2.849591,5000.0
1995-06-15,6.6,6.6,6.6,6.6,2.91586,500.0
1995-06-27,6.7,6.7,6.7,6.7,2.96004,2500.0
1995-06-28,6.725,6.725,6.725,6.725,2.971085,2500.0
1995-06-29,6.8,6.8,6.8,6.8,3.00422,2000.0
1995-06-30,6.9,6.9,6.9,6.9,3.0484,1000.0
1995-07-05,7.05,7.05,7.05,7.05,3.11467,500.0
1995-07-06,7.05,7.05,7.0,7.0,3.09258,204000.0
1995-07-07,7.125,7.125,7.125,7.125,3.147803,500.0
1995-07-10,7.1,7.1,7.1,7.1,3.13676,3500.0
1995-07-11,6.875,6.875,6.875,6.875,3.037355,1000.0
1995-07-17,6.925,6.925,6.925,6.925,3.059445,1500.0
1995-07-18,7.0,7.0,7.0,7.0,3.09258,13000.0
1995-07-19,6.9,6.9,6.9,6.9,3.0484,500.0
1995-07-20,6.95,6.95,6.95,6.95,3.07049,1000.0
1995-07-25,7.2,7.2,7.2,7.2,3.180939,1500.0
1995-07-26,7.2,7.2,7.1,7.1,3.13676,4500.0
1995-07-27,7.3,7.3,7.3,7.3,3.225118,500.0
1995-08-02,7.125,7.125,7.125,7.125,3.147803,500.0
1995-08-03,7.3,7.3,7.3,7.3,3.225118,9000.0
1995-08-07,7.3,7.3,7.3,7.3,3.225118,500.0
1995-08-08,7.25,7.25,7.25,7.25,3.203029,500.0
1995-08-10,6.95,6.95,6.95,6.95,3.07049,1500.0
1995-08-15,6.8,6.8,6.8,6.8,3.00422,2000.0
1995-08-17,6.85,6.85,6.85,6.85,3.02631,500.0
