Date,Open,High,Low,Close,Adj Close,Volume
1997-08-08,37.6875,37.6875,36.4375,37.0,28.141325,245500
1997-08-11,37.0,37.25,36.125,36.8125,27.998724,243600
1997-08-12,36.75,37.0,36.6875,36.9375,28.093792,405500
1997-08-13,37.0,37.5,35.75,37.5,28.521618,405700
1997-08-14,37.25,37.375,36.375,36.875,28.046261,195600
1997-08-15,36.625,36.75,35.75,36.0625,27.428288,260500
1997-08-18,36.1875,36.25,35.625,36.0625,27.428288,180600
1997-08-19,36.0,36.125,34.75,36.125,27.47583,703300
1997-08-20,36.0,36.25,35.25,35.5625,27.047998,1029500
1997-08-21,35.5,35.75,35.125,35.3125,26.857861,1406500
1997-08-22,34.875,35.3125,34.75,35.3125,26.857861,157300
1997-08-25,36.0,36.875,35.9375,36.75,27.951187,1698400
1997-08-26,37.0,38.375,37.0,38.0,28.901903,589700
1997-08-27,38.0,38.3125,37.625,37.6875,28.664232,716300
1997-08-28,37.75,39.1875,37.4375,39.125,29.757559,1333100
1997-08-29,39.25,40.0,39.25,39.9375,30.375513,1840400
1997-09-02,39.9375,42.0,39.75,41.75,31.754074,1023700
1997-09-03,42.0,42.75,42.0,42.5625,32.372044,788200
1997-09-04,42.0,44.375,41.5,44.0,33.465382,3477000
1997-09-05,44.0,44.25,43.75,44.0625,33.512909,907200
1997-09-08,44.0,44.0,43.625,43.75,33.275219,728300
1997-09-09,43.75,43.75,42.75,42.875,32.609722,669300
1997-09-10,42.625,42.8125,42.1875,42.3125,32.181896,329500
1997-09-11,42.1875,42.25,41.6875,41.75,31.754074,221600
1997-09-12,41.6875,41.75,41.4375,41.625,31.696953,85400
1997-09-15,41.875,42.0,41.0,41.25,31.4114,228600
1997-09-16,41.5,41.6875,41.125,41.25,31.4114,348400
1997-09-17,41.25,41.25,40.0625,40.3125,30.697504,285100
1997-09-18,40.3125,40.875,40.1875,40.6875,30.98307,459400
1997-09-19,40.25,40.75,40.25,40.3125,30.697504,137500
1997-09-22,40.3125,40.3125,39.5,39.6875,30.221569,188700
1997-09-23,39.6875,39.6875,38.5,39.5,30.078796,450700
1997-09-24,39.5625,40.25,39.5,39.6875,30.221569,552200
1997-09-25,39.8125,40.0,39.625,39.6875,30.221569,274500
1997-09-26,39.75,40.875,39.6875,40.625,30.935467,273700
1997-09-29,40.8125,41.75,40.75,41.1875,31.363802,234500
1997-09-30,41.4375,42.0,41.0,42.0,31.98251,277300
1997-10-01,41.875,41.9375,41.25,41.5,31.601774,227800
1997-10-02,41.375,41.5,41.125,41.375,31.506582,116600
1997-10-03,41.5,42.0,41.125,41.8125,31.839745,559100
1997-10-06,41.75,43.1875,41.625,43.125,32.839195,684200
1997-10-07,43.375,43.8125,43.25,43.6875,33.267525,564100
1997-10-08,43.625,43.75,42.875,43.125,32.839195,349800
1997-10-09,43.0,43.0,42.4375,42.5,32.363258,203000
1997-10-10,42.5625,42.5625,42.125,42.125,32.077702,251600
1997-10-13,42.375,42.5,41.875,41.875,31.887329,377100
1997-10-14,41.9375,42.25,41.1875,41.3125,31.458977,107200
1997-10-15,41.375,41.5,40.875,41.375,31.506582,196400
1997-10-16,41.375,41.375,40.75,41.125,31.316216,221900
1997-10-17,41.0,41.0,40.25,40.8125,31.078241,178000
1997-10-20,40.625,41.5,40.5,41.4375,31.554174,224900
1997-10-21,41.5,41.875,41.375,41.5625,31.649364,84900
1997-10-22,41.5,41.875,41.25,41.875,31.887329,244400
1997-10-23,41.5,41.5,40.5625,41.25,31.4114,198000
1997-10-24,41.5,41.625,40.625,41.0625,31.26862,232300
1997-10-27,41.0,41.0625,40.0625,40.3125,30.697504,430200
1997-10-28,39.5,40.6875,38.5625,40.6875,30.98307,791300
1997-10-29,40.6875,41.5625,40.625,41.5625,31.649364,337600
1997-10-30,41.0,41.25,40.625,41.125,31.316216,865300
1997-10-31,41.0,41.0625,39.75,40.0625,30.507145,502100
1997-11-03,40.3125,40.4375,39.5,39.5,30.078796,317200
1997-11-04,39.5,40.25,39.5,40.125,30.554718,469200
1997-11-05,40.25,40.25,39.0625,39.0625,29.745638,198200
1997-11-06,38.8125,38.875,38.0625,38.375,29.222132,438800
1997-11-07,37.875,37.9375,36.375,36.875,28.079889,651400
1997-11-10,36.875,36.875,35.625,36.0,27.413589,283900
1997-11-11,36.0,36.0,34.875,35.3125,26.890064,385100
1997-11-12,34.75,34.75,31.0,32.5625,24.795969,547000
1997-11-13,32.9375,33.25,30.5,30.75,23.415771,527500
1997-11-14,31.0,31.375,29.625,31.0,23.606146,979700
1997-11-17,31.6875,33.1875,31.3125,32.6875,24.891153,1027100
1997-11-18,32.6875,32.875,32.0,32.0625,24.41523,209400
1997-11-19,32.1875,32.1875,31.75,31.75,24.177267,307200
