Date,Open,High,Low,Close,Adj Close,Volume
1996-01-05,2.5,2.6875,2.5,2.6875,0.717502,132600.0
1996-01-08,2.666667,2.708333,2.666667,2.666667,0.71194,40800.0
1996-01-09,2.666667,2.6875,2.666667,2.6875,0.717502,11400.0
1996-01-10,2.6875,2.6875,2.666667,2.6875,0.717502,102600.0
1996-01-11,2.666667,2.666667,2.666667,2.666667,0.71194,9000.0
1996-01-12,2.6875,2.6875,2.6875,2.6875,0.717502,13200.0
1996-01-16,2.645833,2.666667,2.520833,2.541667,0.678568,186000.0
1996-01-17,2.541667,2.541667,2.541667,2.541667,0.678568,16800.0
1996-01-18,2.583333,2.583333,2.5,2.520833,0.673006,54000.0
1996-01-19,2.541667,2.541667,2.5,2.5,0.667444,186000.0
1996-01-22,2.5,2.5,2.5,2.5,0.667444,290400.0
1996-01-23,2.5,2.5625,2.479167,2.5625,0.68413,423600.0
1996-01-24,2.583333,2.583333,2.583333,2.583333,0.689692,39000.0
1996-01-25,2.625,2.708333,2.625,2.708333,0.723064,144600.0
1996-01-26,2.708333,2.708333,2.6875,2.708333,0.723064,556200.0
1996-01-29,2.729167,2.854167,2.729167,2.854167,0.761999,206400.0
1996-01-30,2.875,2.875,2.833333,2.854167,0.761999,64800.0
1996-01-31,2.895833,2.958333,2.854167,2.958333,0.789809,195600.0
1996-02-01,3.0,3.104167,3.0,3.0625,0.817619,321000.0
1996-02-02,3.083333,3.083333,3.020833,3.041667,0.812057,185400.0
1996-02-05,3.083333,3.270833,3.020833,3.229167,0.862115,452400.0
1996-02-06,3.270833,3.333333,3.1875,3.208333,0.856553,242400.0
1996-02-07,3.25,3.270833,3.166667,3.229167,0.862115,259200.0
1996-02-08,3.229167,3.229167,3.1875,3.229167,0.862115,156600.0
1996-02-09,3.270833,3.416667,3.270833,3.291667,0.878801,304800.0
1996-02-12,3.3125,3.520833,3.3125,3.5,0.934422,411000.0
1996-02-13,3.354167,3.458333,3.354167,3.395833,0.906611,427200.0
1996-02-14,3.416667,3.416667,3.208333,3.208333,0.856553,535200.0
1996-02-15,3.208333,3.229167,3.208333,3.208333,0.856553,241800.0
1996-02-16,3.229167,3.229167,3.1875,3.1875,0.850991,13800.0
1996-02-20,3.041667,3.125,3.041667,3.083333,0.823181,307200.0
1996-02-21,3.104167,3.125,3.104167,3.125,0.834305,9000.0
1996-02-22,3.145833,3.145833,3.125,3.125,0.834305,15600.0
1996-02-23,3.104167,3.104167,3.020833,3.0625,0.817619,417000.0
1996-02-26,3.0625,3.0625,3.020833,3.020833,0.806494,109800.0
1996-02-27,3.020833,3.020833,2.875,2.875,0.767561,241200.0
1996-02-28,2.875,2.875,2.75,2.791667,0.745312,285000.0
1996-02-29,2.770833,2.8125,2.770833,2.770833,0.73975,394800.0
1996-03-01,2.770833,2.791667,2.770833,2.770833,0.73975,177000.0
1996-03-04,2.791667,2.8125,2.791667,2.791667,0.745312,52200.0
1996-03-05,2.791667,2.791667,2.791667,2.791667,0.745312,137400.0
1996-03-06,2.75,2.770833,2.75,2.770833,0.73975,76800.0
1996-03-07,2.770833,2.770833,2.770833,2.770833,0.73975,61800.0
1996-03-08,2.729167,2.75,2.666667,2.729167,0.728626,45000.0
1996-03-11,2.729167,2.770833,2.708333,2.770833,0.73975,307200.0
1996-03-12,2.770833,2.770833,2.75,2.770833,0.73975,510000.0
1996-03-13,2.770833,2.791667,2.770833,2.791667,0.745312,85200.0
1996-03-14,2.791667,2.791667,2.770833,2.791667,0.745312,51000.0
1996-03-15,2.791667,2.791667,2.770833,2.770833,0.73975,76200.0
1996-03-18,2.791667,2.791667,2.770833,2.791667,0.745312,585000.0
1996-03-19,2.791667,2.791667,2.770833,2.770833,0.73975,112800.0
1996-03-20,2.791667,2.791667,2.791667,2.791667,0.745312,13200.0
1996-03-21,2.770833,2.770833,2.708333,2.708333,0.723064,66000.0
1996-03-22,2.666667,2.666667,2.666667,2.666667,0.71194,19200.0
1996-03-25,2.708333,2.708333,2.645833,2.645833,0.706378,55200.0
1996-03-26,2.666667,2.666667,2.5625,2.645833,0.706378,72000.0
1996-03-27,2.645833,2.645833,2.604167,2.604167,0.695254,13200.0
1996-03-28,2.604167,2.604167,2.604167,2.604167,0.695254,31200.0
1996-03-29,2.604167,2.604167,2.583333,2.604167,0.695254,478800.0
1996-04-01,2.604167,2.604167,2.583333,2.604167,0.695254,46200.0
1996-04-02,2.604167,2.604167,2.583333,2.604167,0.695254,75600.0
1996-04-03,2.583333,2.583333,2.583333,2.583333,0.689692,45600.0
1996-04-04,2.583333,2.583333,2.5625,2.583333,0.689692,18600.0
