ds,yhat
2023-11-11,157.4283894552638
2023-11-12,157.79289901801582
2023-11-13,159.1405043029457
2023-11-14,159.4643420558038
2023-11-15,159.79726776908444
2023-11-16,160.09280283599279
2023-11-17,160.5007567207708
2023-11-18,159.72871847848594
2023-11-19,159.995178914067
2023-11-20,161.2350697347085
2023-11-21,161.4435059512416
2023-11-22,161.65538679752308
2023-11-23,161.826302958892
2023-11-24,162.1081190029309
2023-11-25,161.21042617759863
2023-11-26,161.3536276638921
2023-11-27,162.4744433823822
2023-11-28,162.56962128563458
2023-11-29,162.67551099892754
2023-11-30,162.74894809808288
2023-12-01,162.94281831027897
2023-12-02,161.96749708312237
2023-12-03,162.04392677287512
2023-12-04,163.109118596935
2023-12-05,163.15986621204127
2023-12-06,163.23232659807394
2023-12-07,163.28291624866907
2023-12-08,163.46389157127538
2023-12-09,162.48480847450543
2023-12-10,162.56562285530075
2023-12-11,163.64221853637565
2023-12-12,163.71014888011624
2023-12-13,163.8042470989497
2023-12-14,163.879552595491
2023-12-15,164.0869215748524
2023-12-16,163.13451626995032
2023-12-17,163.24093389253244
2023-12-18,164.34076131069628
2023-12-19,164.42834119042115
2023-12-20,164.53740420283287
2023-12-21,164.6220142890491
2023-12-22,164.8321949656651
2023-12-23,163.8754308363553
2023-12-24,163.9698053313905
2023-12-25,165.0495606670637
2023-12-26,165.10886583192024
2023-12-27,165.18144734283268
2023-12-28,165.22152996862357
2023-12-29,165.3794556655498
2023-12-30,164.36317519689973
2023-12-31,164.3913738000808
2024-01-01,165.3990172586142
2024-01-02,165.38110456408472
2024-01-03,165.37228229136164
2024-01-04,165.32776825713114
2024-01-05,165.3989530611933
