ds,yhat
2023-11-11,104.99098
2023-11-12,105.28929
2023-11-13,105.54605
2023-11-14,105.76254
2023-11-15,105.942375
2023-11-16,106.08986
2023-11-17,106.209206
2023-11-18,106.30345
2023-11-19,106.37637
2023-11-20,106.431244
2023-11-21,106.47052
2023-11-22,106.49704
2023-11-23,106.51275
2023-11-24,106.52048
2023-11-25,106.52183
2023-11-26,106.518814
2023-11-27,106.51253
2023-11-28,106.504
2023-11-29,106.49401
2023-11-30,106.48294
2023-12-01,106.47174
2023-12-02,106.46104
2023-12-03,106.4507
2023-12-04,106.44064
2023-12-05,106.43105
2023-12-06,106.422066
2023-12-07,106.413765
2023-12-08,106.406685
2023-12-09,106.40038
2023-12-10,106.39468
2023-12-11,106.38935
2023-12-12,106.385475
2023-12-13,106.38232
2023-12-14,106.37999
2023-12-15,106.37867
2023-12-16,106.377815
2023-12-17,106.37715
2023-12-18,106.37666
2023-12-19,106.37623
2023-12-20,106.37565
2023-12-21,106.37558
2023-12-22,106.37556
2023-12-23,106.375496
2023-12-24,106.37548
2023-12-25,106.37548
2023-12-26,106.375465
2023-12-27,106.37546
2023-12-28,106.37548
2023-12-29,106.37548
2023-12-30,106.37548
2023-12-31,106.37546
2024-01-01,106.3755
2024-01-02,106.37546
2024-01-03,106.375465
2024-01-04,106.37548
2024-01-05,106.37548
