ds,yhat
2023-11-11,120.46744001388245
2023-11-12,121.24775075853313
2023-11-13,140.94273996412184
2023-11-14,142.1290987060625
2023-11-15,142.98099954339403
2023-11-16,143.5270422798863
2023-11-17,144.4904305359017
2023-11-18,125.66853902672423
2023-11-19,126.22020516588636
2023-11-20,145.5814695238936
2023-11-21,146.32889334575086
2023-11-22,146.6390465319042
2023-11-23,146.54549527613182
2023-11-24,146.7789530162439
2023-11-25,127.14675361806137
2023-11-26,126.81998131271868
2023-11-27,145.24898470730412
2023-11-28,145.026407701378
2023-11-29,144.3463370888703
2023-11-30,143.26090400750007
2023-12-01,142.52001226307735
2023-12-02,121.95036298331482
2023-12-03,120.74212154871634
2023-12-04,138.3639661368349
2023-12-05,137.42566299819327
2023-12-06,136.136780464187
2023-12-07,134.5628906677388
2023-12-08,133.46494309212844
2023-12-09,112.67798944562769
2023-12-10,111.39761451878866
2023-12-11,129.09481948143997
2023-12-12,128.37850805465786
2023-12-13,127.45419090258956
2023-12-14,126.38025848453609
2023-12-15,125.90750559430673
2023-12-16,105.85808405102495
2023-12-17,105.41223307462577
2023-12-18,124.02352670700431
2023-12-19,124.28177981490143
2023-12-20,124.37221754342205
2023-12-21,124.33224666764086
2023-12-22,124.89149927542903
2023-12-23,105.85131177854751
2023-12-24,106.37197500804639
2023-12-25,125.88848103450476
2023-12-26,126.97389495887211
2023-12-27,127.7989440419371
2023-12-28,128.3891512561846
2023-12-29,129.46517377944798
2023-12-30,110.82250124391823
2023-12-31,111.61884327636801
2024-01-01,131.289927896153
2024-01-02,132.41283721217192
2024-01-03,133.1654733176255
2024-01-04,133.5834843326515
2024-01-05,134.40031625319062
