ds,yhat
2023-11-11,106.31101
2023-11-12,106.98588
2023-11-13,107.657715
2023-11-14,108.26751
2023-11-15,108.790695
2023-11-16,109.222435
2023-11-17,109.56818
2023-11-18,109.838234
2023-11-19,110.04472
2023-11-20,110.199615
2023-11-21,110.313545
2023-11-22,110.39579
2023-11-23,110.45389
2023-11-24,110.49411
2023-11-25,110.52118
2023-11-26,110.538864
2023-11-27,110.54991
2023-11-28,110.55637
2023-11-29,110.55973
2023-11-30,110.56101
2023-12-01,110.56101
2023-12-02,110.560326
2023-12-03,110.55923
2023-12-04,110.55789
2023-12-05,110.55652
2023-12-06,110.55517
2023-12-07,110.55391
2023-12-08,110.55285
2023-12-09,110.55184
2023-12-10,110.5509
2023-12-11,110.550064
2023-12-12,110.5494
2023-12-13,110.548836
2023-12-14,110.54841
2023-12-15,110.54812
2023-12-16,110.54791
2023-12-17,110.54772
2023-12-18,110.54757
2023-12-19,110.547424
2023-12-20,110.54725
2023-12-21,110.5472
2023-12-22,110.54716
2023-12-23,110.547104
2023-12-24,110.54706
2023-12-25,110.547035
2023-12-26,110.547
2023-12-27,110.54699
2023-12-28,110.54696
2023-12-29,110.54695
2023-12-30,110.546936
2023-12-31,110.54693
2024-01-01,110.54691
2024-01-02,110.54691
2024-01-03,110.54691
2024-01-04,110.54691
2024-01-05,110.5469
