ds,yhat
2023-11-11,586.429
2023-11-12,589.8735
2023-11-13,592.0263
2023-11-14,593.7056
2023-11-15,595.2139
2023-11-16,596.65497
2023-11-17,598.0642
2023-11-18,599.4548
2023-11-19,600.8321
2023-11-20,602.19934
2023-11-21,603.5576
2023-11-22,604.908
2023-11-23,606.25104
2023-11-24,607.58704
2023-11-25,608.91614
2023-11-26,610.2386
2023-11-27,611.5544
2023-11-28,612.86365
2023-11-29,614.1665
2023-11-30,615.4628
2023-12-01,616.7528
2023-12-02,618.03644
2023-12-03,619.3137
2023-12-04,620.5848
2023-12-05,621.8494
2023-12-06,623.108
2023-12-07,624.3603
2023-12-08,625.6064
2023-12-09,626.8464
2023-12-10,628.0802
2023-12-11,629.3079
2023-12-12,630.52966
2023-12-13,631.7453
2023-12-14,632.95496
2023-12-15,634.15875
2023-12-16,635.3565
2023-12-17,636.5484
2023-12-18,637.7344
2023-12-19,638.9144
2023-12-20,640.08875
2023-12-21,641.2572
2023-12-22,642.42
2023-12-23,643.57697
2023-12-24,644.7283
2023-12-25,645.87384
2023-12-26,647.01385
2023-12-27,648.14813
2023-12-28,649.27686
2023-12-29,650.3999
2023-12-30,651.5176
2023-12-31,652.6295
2024-01-01,653.73615
2024-01-02,654.83716
2024-01-03,655.9329
2024-01-04,657.0231
2024-01-05,658.1079
