ds,yhat
2023-11-11,226.72984
2023-11-12,227.16629
2023-11-13,227.5909
2023-11-14,227.97345
2023-11-15,228.30983
2023-11-16,228.60622
2023-11-17,228.87108
2023-11-18,229.11197
2023-11-19,229.33504
2023-11-20,229.54448
2023-11-21,229.74295
2023-11-22,229.9321
2023-11-23,230.11287
2023-11-24,230.28603
2023-11-25,230.45177
2023-11-26,230.61052
2023-11-27,230.76237
2023-11-28,230.90762
2023-11-29,231.04643
2023-11-30,231.17891
2023-12-01,231.30524
2023-12-02,231.4259
2023-12-03,231.54108
2023-12-04,231.65082
2023-12-05,231.75557
2023-12-06,231.85536
2023-12-07,231.9507
2023-12-08,232.04175
2023-12-09,232.12833
2023-12-10,232.21082
2023-12-11,232.28966
2023-12-12,232.3649
2023-12-13,232.4368
2023-12-14,232.50557
2023-12-15,232.57133
2023-12-16,232.6342
2023-12-17,232.69424
2023-12-18,232.75163
2023-12-19,232.8065
2023-12-20,232.85881
2023-12-21,232.90895
2023-12-22,232.95685
2023-12-23,233.00258
2023-12-24,233.04626
2023-12-25,233.08803
2023-12-26,233.12788
2023-12-27,233.16597
2023-12-28,233.20236
2023-12-29,233.2371
2023-12-30,233.2703
2023-12-31,233.30205
2024-01-01,233.33235
2024-01-02,233.36131
2024-01-03,233.38899
2024-01-04,233.41539
2024-01-05,233.44064
