ds,yhat
2023-11-11,137.63768
2023-11-12,137.78143
2023-11-13,137.59523
2023-11-14,137.25214
2023-11-15,136.83717
2023-11-16,136.39505
2023-11-17,135.95
2023-11-18,135.51483
2023-11-19,135.09587
2023-11-20,134.69576
2023-11-21,134.31519
2023-11-22,133.9539
2023-11-23,133.61116
2023-11-24,133.28612
2023-11-25,132.97778
2023-11-26,132.68532
2023-11-27,132.40793
2023-11-28,132.14484
2023-11-29,131.89531
2023-11-30,131.65858
2023-12-01,131.43396
2023-12-02,131.22095
2023-12-03,131.01892
2023-12-04,130.82733
2023-12-05,130.64566
2023-12-06,130.47343
2023-12-07,130.31003
2023-12-08,130.15508
2023-12-09,130.00816
2023-12-10,129.86877
2023-12-11,129.73665
2023-12-12,129.61139
2023-12-13,129.49258
2023-12-14,129.37994
2023-12-15,129.27307
2023-12-16,129.17177
2023-12-17,129.07568
2023-12-18,128.98457
2023-12-19,128.89818
2023-12-20,128.81624
2023-12-21,128.73854
2023-12-22,128.66484
2023-12-23,128.59497
2023-12-24,128.5287
2023-12-25,128.46588
2023-12-26,128.40628
2023-12-27,128.34976
2023-12-28,128.29617
2023-12-29,128.24538
2023-12-30,128.19716
2023-12-31,128.15149
2024-01-01,128.10812
2024-01-02,128.06705
2024-01-03,128.02806
2024-01-04,127.9911
2024-01-05,127.95606
