ds,yhat
2023-11-11,147.45390517997552
2023-11-12,147.5216597318508
2023-11-13,148.21045395593254
2023-11-14,148.2673293154186
2023-11-15,148.36145401203098
2023-11-16,148.41993676417258
2023-11-17,148.31546949516456
2023-11-18,148.01037335247256
2023-11-19,148.09218666918653
2023-11-20,148.78501107628946
2023-11-21,148.83558680219434
2023-11-22,148.91303994475604
2023-11-23,148.9447000348172
2023-11-24,148.8037395358715
2023-11-25,148.4532097358983
2023-11-26,148.48161186653937
2023-11-27,149.11422006608032
2023-11-28,149.09912780463713
2023-11-29,149.10696129794096
2023-11-30,149.0666591098376
2023-12-01,148.8530705858471
2023-12-02,148.43094866153785
2023-12-03,148.3904770294054
2023-12-04,148.95854945877565
2023-12-05,148.88477406278372
2023-12-06,148.8411471797602
2023-12-07,148.75779714399363
2023-12-08,148.5105515672205
2023-12-09,148.06490453052425
2023-12-10,148.01152437915226
2023-12-11,148.57752045650503
2023-12-12,148.51244193042538
2023-12-13,148.4879535450003
2023-12-14,148.43358854027943
2023-12-15,148.22433213040313
2023-12-16,147.82461151633458
2023-12-17,147.82383252056778
2023-12-18,148.44768040927494
2023-12-19,148.44415713922845
2023-12-20,148.48329882667824
2023-12-21,148.4929725522599
2023-12-22,148.34650470270205
2023-12-23,148.00671560675409
2023-12-24,148.0614993383476
2023-12-25,148.73516507580183
2023-12-26,148.77451114789292
2023-12-27,148.84857455803333
2023-12-28,148.88445422315635
2023-12-29,148.75495940333298
2023-12-30,148.42265752770118
2023-12-31,148.4754599261583
2024-01-01,149.13796169069522
2024-01-02,149.15750683552636
2024-01-03,149.20392178818517
2024-01-04,149.2053158852149
2024-01-05,149.03570096982966
