ds,yhat
2023-11-11,272.31534
2023-11-12,271.62762
2023-11-13,271.41626
2023-11-14,271.37625
2023-11-15,271.40656
2023-11-16,271.46777
2023-11-17,271.5418
2023-11-18,271.61966
2023-11-19,271.69714
2023-11-20,271.77255
2023-11-21,271.84537
2023-11-22,271.91565
2023-11-23,271.98355
2023-11-24,272.04944
2023-11-25,272.11353
2023-11-26,272.1759
2023-11-27,272.2368
2023-11-28,272.29623
2023-11-29,272.3543
2023-11-30,272.411
2023-12-01,272.46643
2023-12-02,272.52063
2023-12-03,272.5736
2023-12-04,272.6254
2023-12-05,272.67603
2023-12-06,272.7255
2023-12-07,272.77383
2023-12-08,272.82123
2023-12-09,272.8675
2023-12-10,272.91272
2023-12-11,272.95694
2023-12-12,273.00012
2023-12-13,273.04233
2023-12-14,273.0836
2023-12-15,273.12393
2023-12-16,273.16336
2023-12-17,273.20187
2023-12-18,273.2396
2023-12-19,273.2764
2023-12-20,273.31238
2023-12-21,273.34756
2023-12-22,273.38196
2023-12-23,273.4156
2023-12-24,273.4484
2023-12-25,273.48053
2023-12-26,273.5119
2023-12-27,273.54257
2023-12-28,273.5726
2023-12-29,273.60187
2023-12-30,273.63052
2023-12-31,273.6585
2024-01-01,273.6859
2024-01-02,273.71265
2024-01-03,273.73883
2024-01-04,273.76437
2024-01-05,273.7893
