ds,yhat
2023-11-11,306.8003226722541
2023-11-12,306.9758041378121
2023-11-13,307.24391010848893
2023-11-14,307.4699824634355
2023-11-15,307.5860218095522
2023-11-16,307.6798994489528
2023-11-17,307.81313755503476
2023-11-18,307.8959400287252
2023-11-19,308.0220159412992
2023-11-20,308.2372745027438
2023-11-21,308.40782677407805
2023-11-22,308.46648848093685
2023-11-23,308.5019758676058
2023-11-24,308.5766691175834
2023-11-25,308.60162620320364
2023-11-26,308.6713894629123
2023-11-27,308.83266422888045
2023-11-28,308.95230508924953
2023-11-29,308.963804481667
2023-11-30,308.95647586227955
2023-12-01,308.9932062401058
2023-12-02,308.9854611564099
2023-12-03,309.0280845737289
2023-12-04,309.1679731093952
2023-12-05,309.2720602546286
2023-12-06,309.2738052772401
2023-12-07,309.26237899946693
2023-12-08,309.3004211368739
2023-12-09,309.29905212647253
2023-12-10,309.3526817147747
2023-12-11,309.5076935100391
2023-12-12,309.63044087917217
2023-12-13,309.65374860382497
2023-12-14,309.6661121882504
2023-12-15,309.72946919802826
2023-12-16,309.7542252506278
2023-12-17,309.83407662819263
2023-12-18,310.0147084300955
2023-12-19,310.1618033788327
2023-12-20,310.2075554521043
2023-12-21,310.2398800217266
2023-12-22,310.3201946999685
2023-12-23,310.3584533717806
2023-12-24,310.4479752784219
2023-12-25,310.6341480033904
2023-12-26,310.78243944541856
2023-12-27,310.8249129591112
2023-12-28,310.8494373860104
2023-12-29,310.9174662503533
2023-12-30,310.9390686996968
2023-12-31,311.00775418170383
2024-01-01,311.1691698535304
2024-01-02,311.2891059693117
2024-01-03,311.30000359769036
2024-01-04,311.2901565695881
2024-01-05,311.32148210960946
