ds,yhat
2023-11-11,2478.0347484852687
2023-11-12,2477.527119295426
2023-11-13,2552.2790174518173
2023-11-14,2551.2154790512923
2023-11-15,2550.313920354766
2023-11-16,2549.9958603950963
2023-11-17,2549.3311331162226
2023-11-18,2474.91617859248
2023-11-19,2474.647104774341
2023-11-20,2549.6985692633116
2023-11-21,2548.9789991331904
2023-11-22,2548.4486568746192
2023-11-23,2548.511954086288
2023-11-24,2548.2222454870757
2023-11-25,2474.1606748079166
2023-11-26,2474.2097468708293
2023-11-27,2549.532659598568
2023-11-28,2549.028900053427
2023-11-29,2548.652600939396
2023-11-30,2548.8050501616144
2023-12-01,2548.5395798915856
2023-12-02,2474.4404036524306
2023-12-03,2474.3960758788485
2023-12-04,2549.5786110247286
2023-12-05,2548.898772748219
2023-12-06,2548.324038953764
2023-12-07,2548.2706472692857
2023-12-08,2547.8079616840646
2023-12-09,2473.536745007391
2023-12-10,2473.3620291381167
2023-12-11,2548.471638625711
2023-12-12,2547.7908967796393
2023-12-13,2547.300038587609
2023-12-14,2547.4257527103314
2023-12-15,2547.2451096246705
2023-12-16,2473.3634750949486
2023-12-17,2473.68711319706
2023-12-18,2549.401543950488
2023-12-19,2549.426191417531
2023-12-20,2549.731849958594
2023-12-21,2550.7323910086275
2023-12-22,2551.4889642230896
2023-12-23,2478.5882856648013
2023-12-24,2479.915707649573
2023-12-25,2556.6341228489787
2023-12-26,2557.639223555031
2023-12-27,2558.8776267501044
2023-12-28,2560.7392687071606
2023-12-29,2562.2623032558217
2023-12-30,2490.012076171697
2023-12-31,2491.854850174843
2024-01-01,2568.9373136746185
2024-01-02,2570.1423759385993
2024-01-03,2571.407742880659
2024-01-04,2573.118663010019
2024-01-05,2574.3130661821288
