ds,yhat
2023-11-11,308.1111
2023-11-12,308.84982
2023-11-13,309.63055
2023-11-14,310.2409
2023-11-15,310.61746
2023-11-16,310.797
2023-11-17,310.84653
2023-11-18,310.82605
2023-11-19,310.77682
2023-11-20,310.72275
2023-11-21,310.67474
2023-11-22,310.63678
2023-11-23,310.60858
2023-11-24,310.58875
2023-11-25,310.5751
2023-11-26,310.56595
2023-11-27,310.55988
2023-11-28,310.55597
2023-11-29,310.5534
2023-11-30,310.55173
2023-12-01,310.55066
2023-12-02,310.54993
2023-12-03,310.54944
2023-12-04,310.54916
2023-12-05,310.54892
2023-12-06,310.54883
2023-12-07,310.54874
2023-12-08,310.5487
2023-12-09,310.54868
2023-12-10,310.54858
2023-12-11,310.54858
2023-12-12,310.54858
2023-12-13,310.54858
2023-12-14,310.54858
2023-12-15,310.54858
2023-12-16,310.54858
2023-12-17,310.54858
2023-12-18,310.54858
2023-12-19,310.54858
2023-12-20,310.54858
2023-12-21,310.54858
2023-12-22,310.54858
2023-12-23,310.54858
2023-12-24,310.54858
2023-12-25,310.54858
2023-12-26,310.54855
2023-12-27,310.54855
2023-12-28,310.54858
2023-12-29,310.54858
2023-12-30,310.54858
2023-12-31,310.54858
2024-01-01,310.54858
2024-01-02,310.54858
2024-01-03,310.54858
2024-01-04,310.54858
2024-01-05,310.54858
