ds,yhat
2023-11-11,338.045617279349
2023-11-12,338.1803953497616
2023-11-13,335.4476667167769
2023-11-14,335.64211774697867
2023-11-15,335.77197169467365
2023-11-16,335.8758545044712
2023-11-17,336.1495134763619
2023-11-18,338.95411897551026
2023-11-19,339.07600788447473
2023-11-20,336.32922406468447
2023-11-21,336.5079829976546
2023-11-22,336.62007542189656
2023-11-23,336.7037551707404
2023-11-24,336.9544778940892
2023-11-25,339.73322014837925
2023-11-26,339.8262369401781
2023-11-27,337.0476124824811
2023-11-28,337.1917309475502
2023-11-29,337.2666817785515
2023-11-30,337.3111446532416
2023-12-01,337.52112081588865
2023-12-02,340.25824043980055
2023-12-03,340.30950442339065
2023-12-04,337.48981582688
2023-12-05,337.5944282981424
2023-12-06,337.6323267143988
2023-12-07,337.64308587717323
2023-12-08,337.8235747777823
2023-12-09,340.5362369293523
2023-12-10,340.5688060090797
2023-12-11,337.73681283974537
2023-12-12,337.8360118369406
2023-12-13,337.87574285876644
2023-12-14,337.8957749151902
2023-12-15,338.0929997649941
2023-12-16,340.8297062812604
2023-12-17,340.89329507639127
2023-12-18,338.0987895168374
2023-12-19,338.24127120548627
2023-12-20,338.32925567031015
2023-12-21,338.4015543750005
2023-12-22,338.65399060279395
2023-12-23,341.4476994972867
2023-12-24,341.5688710500939
2023-12-25,338.8312913811932
2023-12-26,339.0288095449323
2023-12-27,339.1687447199452
2023-12-28,339.28877900832543
2023-12-29,339.58370252148194
2023-12-30,342.41374020489445
2023-12-31,342.56431842691075
2024-01-01,339.8486260020146
2024-01-02,340.0600963157959
2024-01-03,340.2058249701609
2024-01-04,340.32346787370506
2024-01-05,340.60798630251963
