ds,yhat
2023-11-11,208.24989945989518
2023-11-12,208.2999801237636
2023-11-13,208.35407813724498
2023-11-14,208.49574484906202
2023-11-15,208.56367130980334
2023-11-16,208.58354609047112
2023-11-17,208.66002743793626
2023-11-18,208.60927627685658
2023-11-19,208.66138101570147
2023-11-20,208.7166839157693
2023-11-21,208.85845993222378
2023-11-22,208.92515473029067
2023-11-23,208.94225362431982
2023-11-24,209.0142637491921
2023-11-25,208.95725562797426
2023-11-26,209.00129478484612
2023-11-27,209.04677290052012
2023-11-28,209.17708921313604
2023-11-29,209.23088872455904
2023-11-30,209.23392888482536
2023-12-01,209.29105706109635
2023-12-02,209.21874502522104
2023-12-03,209.24751125183158
2023-12-04,209.27824073705494
2023-12-05,209.39485331880445
2023-12-06,209.43652739487186
2023-12-07,209.42955109755582
2023-12-08,209.4792836566723
2023-12-09,209.4026736384986
2023-12-10,209.43066532150786
2023-12-11,209.4645033901775
2023-12-12,209.58838738787975
2023-12-13,209.64168326057333
2023-12-14,209.65076444810973
2023-12-15,209.72096560361393
2023-12-16,209.66909591681994
2023-12-17,209.7258435209545
2023-12-18,209.7920813061259
2023-12-19,209.95152563939743
2023-12-20,210.0429552967532
2023-12-21,210.09206295070646
2023-12-22,210.20342209600446
2023-12-23,210.19301611027038
2023-12-24,210.29066057540865
2023-12-25,210.39632876266472
2023-12-26,210.59283130554516
2023-12-27,210.71805684599894
2023-12-28,210.79684544745677
2023-12-29,210.9329770911007
2023-12-30,210.94172138533943
2023-12-31,211.05227906193264
2024-01-01,211.16412463885993
2024-01-02,211.359700795404
2024-01-03,211.47667082359465
2024-01-04,211.53980059783987
2024-01-05,211.65295210712588
