ds,yhat
2023-11-11,105.02284
2023-11-12,105.932945
2023-11-13,106.918755
2023-11-14,107.901184
2023-11-15,108.84867
2023-11-16,109.75173
2023-11-17,110.6107
2023-11-18,111.42947
2023-11-19,112.21271
2023-11-20,112.964615
2023-11-21,113.68876
2023-11-22,114.38784
2023-11-23,115.06393
2023-11-24,115.71842
2023-11-25,116.35238
2023-11-26,116.96668
2023-11-27,117.561966
2023-11-28,118.13886
2023-11-29,118.69793
2023-11-30,119.23964
2023-12-01,119.764275
2023-12-02,120.272415
2023-12-03,120.76452
2023-12-04,121.24104
2023-12-05,121.70251
2023-12-06,122.149216
2023-12-07,122.581726
2023-12-08,123.00026
2023-12-09,123.4052
2023-12-10,123.7971
2023-12-11,124.176605
2023-12-12,124.5437
2023-12-13,124.89895
2023-12-14,125.24276
2023-12-15,125.575294
2023-12-16,125.8971
2023-12-17,126.20853
2023-12-18,126.509926
2023-12-19,126.801605
2023-12-20,127.0839
2023-12-21,127.35703
2023-12-22,127.62122
2023-12-23,127.87686
2023-12-24,128.12428
2023-12-25,128.36371
2023-12-26,128.5954
2023-12-27,128.8196
2023-12-28,129.03658
2023-12-29,129.24652
2023-12-30,129.4497
2023-12-31,129.6463
2024-01-01,129.83653
2024-01-02,130.02066
2024-01-03,130.19882
2024-01-04,130.37122
2024-01-05,130.53804
