ds,yhat
2023-11-11,116.17184
2023-11-12,115.9466
2023-11-13,115.841324
2023-11-14,115.773056
2023-11-15,115.720146
2023-11-16,115.678154
2023-11-17,115.64515
2023-11-18,115.61898
2023-11-19,115.597466
2023-11-20,115.57887
2023-11-21,115.56196
2023-11-22,115.546036
2023-11-23,115.530716
2023-11-24,115.51581
2023-11-25,115.50121
2023-11-26,115.48694
2023-11-27,115.472946
2023-11-28,115.45927
2023-11-29,115.44591
2023-11-30,115.43282
2023-12-01,115.42005
2023-12-02,115.407585
2023-12-03,115.39541
2023-12-04,115.38353
2023-12-05,115.371925
2023-12-06,115.36062
2023-12-07,115.34957
2023-12-08,115.338776
2023-12-09,115.32826
2023-12-10,115.318016
2023-12-11,115.30799
2023-12-12,115.2982
2023-12-13,115.28868
2023-12-14,115.27936
2023-12-15,115.27027
2023-12-16,115.26139
2023-12-17,115.25273
2023-12-18,115.2443
2023-12-19,115.23606
2023-12-20,115.22801
2023-12-21,115.22017
2023-12-22,115.2125
2023-12-23,115.20503
2023-12-24,115.19772
2023-12-25,115.190636
2023-12-26,115.18368
2023-12-27,115.17691
2023-12-28,115.170265
2023-12-29,115.16381
2023-12-30,115.15751
2023-12-31,115.15137
2024-01-01,115.14538
2024-01-02,115.1395
2024-01-03,115.13378
2024-01-04,115.1282
2024-01-05,115.122765
