ds,yhat
2023-11-11,559.5786
2023-11-12,560.99445
2023-11-13,562.03174
2023-11-14,562.76013
2023-11-15,563.24994
2023-11-16,563.5613
2023-11-17,563.7448
2023-11-18,563.8402
2023-11-19,563.8752
2023-11-20,563.8717
2023-11-21,563.8457
2023-11-22,563.80585
2023-11-23,563.76013
2023-11-24,563.71136
2023-11-25,563.66266
2023-11-26,563.61676
2023-11-27,563.5725
2023-11-28,563.52997
2023-11-29,563.48944
2023-11-30,563.45105
2023-12-01,563.4136
2023-12-02,563.37726
2023-12-03,563.3422
2023-12-04,563.3081
2023-12-05,563.27606
2023-12-06,563.2459
2023-12-07,563.21643
2023-12-08,563.18744
2023-12-09,563.1582
2023-12-10,563.12933
2023-12-11,563.1018
2023-12-12,563.0728
2023-12-13,563.04474
2023-12-14,563.0167
2023-12-15,562.9894
2023-12-16,562.9621
2023-12-17,562.93427
2023-12-18,562.90704
2023-12-19,562.8809
2023-12-20,562.8555
2023-12-21,562.82916
2023-12-22,562.80524
2023-12-23,562.7815
2023-12-24,562.75775
2023-12-25,562.7343
2023-12-26,562.71124
2023-12-27,562.6884
2023-12-28,562.6659
2023-12-29,562.64374
2023-12-30,562.62195
2023-12-31,562.60046
2024-01-01,562.57935
2024-01-02,562.5586
2024-01-03,562.53815
2024-01-04,562.51794
2024-01-05,562.4981
