ds,yhat
2023-11-11,209.59262
2023-11-12,210.46364
2023-11-13,211.17104
2023-11-14,211.72897
2023-11-15,212.16087
2023-11-16,212.49261
2023-11-17,212.74687
2023-11-18,212.9424
2023-11-19,213.0946
2023-11-20,213.21574
2023-11-21,213.31425
2023-11-22,213.3965
2023-11-23,213.46768
2023-11-24,213.53114
2023-11-25,213.58897
2023-11-26,213.64204
2023-11-27,213.69328
2023-11-28,213.74301
2023-11-29,213.79158
2023-11-30,213.83853
2023-12-01,213.8843
2023-12-02,213.92853
2023-12-03,213.97125
2023-12-04,214.01369
2023-12-05,214.05284
2023-12-06,214.09183
2023-12-07,214.13046
2023-12-08,214.16795
2023-12-09,214.20596
2023-12-10,214.24207
2023-12-11,214.27657
2023-12-12,214.31036
2023-12-13,214.34315
2023-12-14,214.37482
2023-12-15,214.40573
2023-12-16,214.4369
2023-12-17,214.46722
2023-12-18,214.49501
2023-12-19,214.52234
2023-12-20,214.54854
2023-12-21,214.57414
2023-12-22,214.60056
2023-12-23,214.62564
2023-12-24,214.64963
2023-12-25,214.67268
2023-12-26,214.69481
2023-12-27,214.7162
2023-12-28,214.73682
2023-12-29,214.75676
2023-12-30,214.77605
2023-12-31,214.79472
2024-01-01,214.81277
2024-01-02,214.83026
2024-01-03,214.84721
2024-01-04,214.86359
2024-01-05,214.87944
