ds,yhat
2023-11-11,51.636795
2023-11-12,51.699745
2023-11-13,51.79498
2023-11-14,51.894566
2023-11-15,51.975563
2023-11-16,52.030647
2023-11-17,52.06267
2023-11-18,52.078377
2023-11-19,52.084164
2023-11-20,52.08492
2023-11-21,52.083714
2023-11-22,52.082092
2023-11-23,52.080837
2023-11-24,52.08009
2023-11-25,52.079803
2023-11-26,52.079834
2023-11-27,52.08006
2023-11-28,52.080364
2023-11-29,52.080673
2023-11-30,52.080994
2023-12-01,52.08124
2023-12-02,52.081417
2023-12-03,52.081573
2023-12-04,52.08167
2023-12-05,52.081738
2023-12-06,52.081787
2023-12-07,52.08182
2023-12-08,52.08184
2023-12-09,52.08186
2023-12-10,52.081875
2023-12-11,52.081886
2023-12-12,52.081894
2023-12-13,52.081886
2023-12-14,52.081894
2023-12-15,52.081886
2023-12-16,52.081905
2023-12-17,52.081894
2023-12-18,52.081894
2023-12-19,52.081894
2023-12-20,52.081894
2023-12-21,52.0819
2023-12-22,52.081894
2023-12-23,52.081886
2023-12-24,52.0819
2023-12-25,52.0819
2023-12-26,52.081894
2023-12-27,52.081875
2023-12-28,52.0819
2023-12-29,52.0819
2023-12-30,52.081886
2023-12-31,52.081894
2024-01-01,52.081894
2024-01-02,52.081894
2024-01-03,52.081886
2024-01-04,52.081886
2024-01-05,52.081894
