ds,yhat
2023-11-11,150.69852
2023-11-12,150.92825
2023-11-13,151.0423
2023-11-14,151.042
2023-11-15,150.98288
2023-11-16,150.90773
2023-11-17,150.83899
2023-11-18,150.78473
2023-11-19,150.74545
2023-11-20,150.71864
2023-11-21,150.70103
2023-11-22,150.68976
2023-11-23,150.68266
2023-11-24,150.67816
2023-11-25,150.67531
2023-11-26,150.67343
2023-11-27,150.67218
2023-11-28,150.67134
2023-11-29,150.67072
2023-11-30,150.67027
2023-12-01,150.66998
2023-12-02,150.66975
2023-12-03,150.66957
2023-12-04,150.66945
2023-12-05,150.66937
2023-12-06,150.66933
2023-12-07,150.66928
2023-12-08,150.66927
2023-12-09,150.66922
2023-12-10,150.66922
2023-12-11,150.66922
2023-12-12,150.66925
2023-12-13,150.6692
2023-12-14,150.66924
2023-12-15,150.66922
2023-12-16,150.66922
2023-12-17,150.66922
2023-12-18,150.66922
2023-12-19,150.66922
2023-12-20,150.66924
2023-12-21,150.66922
2023-12-22,150.66924
2023-12-23,150.66922
2023-12-24,150.66924
2023-12-25,150.66924
2023-12-26,150.66922
2023-12-27,150.66922
2023-12-28,150.6692
2023-12-29,150.66924
2023-12-30,150.66922
2023-12-31,150.66922
2024-01-01,150.66922
2024-01-02,150.66922
2024-01-03,150.66922
2024-01-04,150.66922
2024-01-05,150.66922
