ds,yhat
2023-11-11,148.23851
2023-11-12,147.51474
2023-11-13,146.98985
2023-11-14,146.59247
2023-11-15,146.27806
2023-11-16,146.01921
2023-11-17,145.79958
2023-11-18,145.60959
2023-11-19,145.44284
2023-11-20,145.2949
2023-11-21,145.16295
2023-11-22,145.04459
2023-11-23,144.93835
2023-11-24,144.84164
2023-11-25,144.75362
2023-11-26,144.67242
2023-11-27,144.59753
2023-11-28,144.52763
2023-11-29,144.46152
2023-11-30,144.3992
2023-12-01,144.34021
2023-12-02,144.28343
2023-12-03,144.22882
2023-12-04,144.17639
2023-12-05,144.12555
2023-12-06,144.07603
2023-12-07,144.02704
2023-12-08,143.97853
2023-12-09,143.9314
2023-12-10,143.88518
2023-12-11,143.83876
2023-12-12,143.79297
2023-12-13,143.74757
2023-12-14,143.70244
2023-12-15,143.65787
2023-12-16,143.61366
2023-12-17,143.57014
2023-12-18,143.52707
2023-12-19,143.4845
2023-12-20,143.4428
2023-12-21,143.4013
2023-12-22,143.36084
2023-12-23,143.32095
2023-12-24,143.28163
2023-12-25,143.24286
2023-12-26,143.20465
2023-12-27,143.16695
2023-12-28,143.1298
2023-12-29,143.09319
2023-12-30,143.05707
2023-12-31,143.02147
2024-01-01,142.98636
2024-01-02,142.95174
2024-01-03,142.9176
2024-01-04,142.88397
2024-01-05,142.85078
