ds,yhat
2023-11-11,375.82507
2023-11-12,376.6276
2023-11-13,377.412
2023-11-14,378.14664
2023-11-15,378.85138
2023-11-16,379.53967
2023-11-17,380.21616
2023-11-18,380.88153
2023-11-19,381.53503
2023-11-20,382.17615
2023-11-21,382.80423
2023-11-22,383.41916
2023-11-23,384.0208
2023-11-24,384.60934
2023-11-25,385.18484
2023-11-26,385.7475
2023-11-27,386.2975
2023-11-28,386.83502
2023-11-29,387.36047
2023-11-30,387.87396
2023-12-01,388.37582
2023-12-02,388.86624
2023-12-03,389.34555
2023-12-04,389.8139
2023-12-05,390.27164
2023-12-06,390.7189
2023-12-07,391.156
2023-12-08,391.5832
2023-12-09,392.00064
2023-12-10,392.40854
2023-12-11,392.8072
2023-12-12,393.19678
2023-12-13,393.57745
2023-12-14,393.9495
2023-12-15,394.31305
2023-12-16,394.66833
2023-12-17,395.01553
2023-12-18,395.3548
2023-12-19,395.68637
2023-12-20,396.01038
2023-12-21,396.327
2023-12-22,396.63644
2023-12-23,396.9388
2023-12-24,397.23428
2023-12-25,397.523
2023-12-26,397.80518
2023-12-27,398.08093
2023-12-28,398.35043
2023-12-29,398.61374
2023-12-30,398.87103
2023-12-31,399.1225
2024-01-01,399.36826
2024-01-02,399.60837
2024-01-03,399.84302
2024-01-04,400.07236
2024-01-05,400.29645
