ds,yhat
2023-11-11,374.82547
2023-11-12,375.28195
2023-11-13,375.68497
2023-11-14,376.00613
2023-11-15,376.24533
2023-11-16,376.41748
2023-11-17,376.5404
2023-11-18,376.629
2023-11-19,376.69553
2023-11-20,376.74792
2023-11-21,376.7918
2023-11-22,376.83167
2023-11-23,376.87085
2023-11-24,376.91028
2023-11-25,376.9502
2023-11-26,376.99084
2023-11-27,377.03256
2023-11-28,377.07565
2023-11-29,377.1187
2023-11-30,377.16144
2023-12-01,377.20435
2023-12-02,377.24792
2023-12-03,377.29132
2023-12-04,377.3339
2023-12-05,377.37653
2023-12-06,377.4186
2023-12-07,377.46033
2023-12-08,377.50134
2023-12-09,377.5424
2023-12-10,377.58325
2023-12-11,377.62314
2023-12-12,377.66284
2023-12-13,377.70166
2023-12-14,377.74036
2023-12-15,377.77814
2023-12-16,377.8162
2023-12-17,377.85324
2023-12-18,377.88867
2023-12-19,377.9241
2023-12-20,377.95975
2023-12-21,377.99493
2023-12-22,378.02988
2023-12-23,378.06448
2023-12-24,378.09885
2023-12-25,378.13284
2023-12-26,378.16653
2023-12-27,378.1999
2023-12-28,378.23285
2023-12-29,378.2655
2023-12-30,378.29782
2023-12-31,378.32983
2024-01-01,378.3615
2024-01-02,378.39285
2024-01-03,378.42392
2024-01-04,378.4546
2024-01-05,378.48505
