ds,yhat
2023-11-11,368.5840683126681
2023-11-12,368.7705789004763
2023-11-13,369.57441128984595
2023-11-14,369.8506278617024
2023-11-15,370.082871815178
2023-11-16,370.23527062006224
2023-11-17,370.52618642282533
2023-11-18,370.02084729414
2023-11-19,370.2401514476716
2023-11-20,371.06827900815745
2023-11-21,371.3595338164869
2023-11-22,371.59701076308164
2023-11-23,371.7445151779719
2023-11-24,372.02032355505725
2023-11-25,371.4898192119578
2023-11-26,371.6742948788497
2023-11-27,372.4585568122323
2023-11-28,372.6977530932611
2023-11-29,372.87602192391313
2023-11-30,372.95838691328555
2023-12-01,373.16448922574267
2023-12-02,372.5611909016715
2023-12-03,372.6713421507494
2023-12-04,373.3813480965348
2023-12-05,373.54795856872164
2023-12-06,373.65687772281086
2023-12-07,373.674621450865
2023-12-08,373.82221340647504
2023-12-09,373.16775486163556
2023-12-10,373.2351620346766
2023-12-11,373.9117071181432
2023-12-12,374.0547872446855
2023-12-13,374.1505186877131
2023-12-14,374.16558463983273
2023-12-15,374.32092762418836
2023-12-16,373.68432183560856
2023-12-17,373.77911897530856
2023-12-18,374.4918035804005
2023-12-19,374.6787817126647
2023-12-20,374.8249997938868
2023-12-21,374.89582129872156
2023-12-22,375.1107516226192
2023-12-23,374.5360455975143
2023-12-24,374.69349032994296
2023-12-25,375.46799843188774
2023-12-26,375.714434560035
2023-12-27,375.9162711085417
2023-12-28,376.0374998548449
2023-12-29,376.296389018434
2023-12-30,375.7581194232921
2023-12-31,375.9435917517622
2024-01-01,376.7370393853462
2024-01-02,376.99286929939524
2024-01-03,377.1943265447056
2024-01-04,377.3054089470946
2024-01-05,377.544621463238
