ds,yhat
2023-11-11,202.92133
2023-11-12,203.74419
2023-11-13,204.65018
2023-11-14,205.55817
2023-11-15,206.43777
2023-11-16,207.2814
2023-11-17,208.0905
2023-11-18,208.86887
2023-11-19,209.62054
2023-11-20,210.34868
2023-11-21,211.05576
2023-11-22,211.74301
2023-11-23,212.41208
2023-11-24,213.06332
2023-11-25,213.69742
2023-11-26,214.31454
2023-11-27,214.91522
2023-11-28,215.49971
2023-11-29,216.06825
2023-11-30,216.62117
2023-12-01,217.15918
2023-12-02,217.68243
2023-12-03,218.1914
2023-12-04,218.6863
2023-12-05,219.16779
2023-12-06,219.63612
2023-12-07,220.09146
2023-12-08,220.53386
2023-12-09,220.9642
2023-12-10,221.38295
2023-12-11,221.78995
2023-12-12,222.18558
2023-12-13,222.5706
2023-12-14,222.9448
2023-12-15,223.30864
2023-12-16,223.66258
2023-12-17,224.0066
2023-12-18,224.34126
2023-12-19,224.66658
2023-12-20,224.98296
2023-12-21,225.2905
2023-12-22,225.5898
2023-12-23,225.88083
2023-12-24,226.16385
2023-12-25,226.43903
2023-12-26,226.70665
2023-12-27,226.96687
2023-12-28,227.21992
2023-12-29,227.46599
2023-12-30,227.70528
2023-12-31,227.93796
2024-01-01,228.16422
2024-01-02,228.38423
2024-01-03,228.59816
2024-01-04,228.8062
2024-01-05,229.00851
