ds,yhat
2023-11-11,253.42045250437474
2023-11-12,253.59857113390225
2023-11-13,253.6463479087029
2023-11-14,253.8524203003359
2023-11-15,254.0225882067526
2023-11-16,254.20205059927716
2023-11-17,254.3507380506173
2023-11-18,254.65171689851084
2023-11-19,254.81239915766542
2023-11-20,254.8338484580653
2023-11-21,255.00508991771926
2023-11-22,255.13249329475718
2023-11-23,255.26199879657221
2023-11-24,255.35443437737143
2023-11-25,255.5939006345971
2023-11-26,255.68895788208334
2023-11-27,255.64190624053316
2023-11-28,255.74306729848806
2023-11-29,255.80013739933614
2023-11-30,255.86038268939956
2023-12-01,255.88592554232702
2023-12-02,256.06209925972905
2023-12-03,256.0986063998649
2023-12-04,255.99877231266814
2023-12-05,256.0538031159967
2023-12-06,256.0721187760655
2023-12-07,256.1015319440033
2023-12-08,256.1045225763151
2023-12-09,256.2665855363998
2023-12-10,256.29738670295603
2023-12-11,256.2000192098548
2023-12-12,256.26526896984063
2023-12-13,256.3009599361197
2023-12-14,256.3541494242571
2023-12-15,256.3864230811338
2023-12-16,256.5822661575764
2023-12-17,256.65024598515834
2023-12-18,256.5922965885505
2023-12-19,256.69801384344623
2023-12-20,256.77403086255515
2023-12-21,256.8662431520709
2023-12-22,256.935132357609
2023-12-23,257.1641645211894
2023-12-24,257.26099706682396
2023-12-25,257.22678483316076
2023-12-26,257.35049303617257
2023-12-27,257.43828641678465
2023-12-28,257.53576379836267
2023-12-29,257.6032866733969
2023-12-30,257.8243776635599
2023-12-31,257.9069231166627
2024-01-01,257.8524703260343
2024-01-02,257.95052753800957
2024-01-03,258.0079363921161
2024-01-04,258.0710865041536
2024-01-05,258.1012213784201
