ds,yhat
2023-11-11,101.33526
2023-11-12,102.80492
2023-11-13,104.373924
2023-11-14,105.78055
2023-11-15,106.98181
2023-11-16,107.99471
2023-11-17,108.84769
2023-11-18,109.5677
2023-11-19,110.177414
2023-11-20,110.6951
2023-11-21,111.13565
2023-11-22,111.51113
2023-11-23,111.831535
2023-11-24,112.10514
2023-11-25,112.338844
2023-11-26,112.538574
2023-11-27,112.70928
2023-11-28,112.85515
2023-11-29,112.97985
2023-11-30,113.08639
2023-12-01,113.17748
2023-12-02,113.255356
2023-12-03,113.3219
2023-12-04,113.37878
2023-12-05,113.42741
2023-12-06,113.46895
2023-12-07,113.50445
2023-12-08,113.53482
2023-12-09,113.56075
2023-12-10,113.58292
2023-12-11,113.60187
2023-12-12,113.61806
2023-12-13,113.63189
2023-12-14,113.64373
2023-12-15,113.65383
2023-12-16,113.66247
2023-12-17,113.66986
2023-12-18,113.67617
2023-12-19,113.681564
2023-12-20,113.68617
2023-12-21,113.690125
2023-12-22,113.69348
2023-12-23,113.69634
2023-12-24,113.69881
2023-12-25,113.70091
2023-12-26,113.70272
2023-12-27,113.70422
2023-12-28,113.70556
2023-12-29,113.70667
2023-12-30,113.70763
2023-12-31,113.70845
2024-01-01,113.70916
2024-01-02,113.709755
2024-01-03,113.71026
2024-01-04,113.71069
2024-01-05,113.711044
