ds,yhat
2023-11-11,147.2515009536506
2023-11-12,147.3512322582564
2023-11-13,147.4299691580349
2023-11-14,147.4795215542284
2023-11-15,147.53363551568088
2023-11-16,147.62845222765466
2023-11-17,147.68552870223078
2023-11-18,147.94925795988578
2023-11-19,148.04174819713742
2023-11-20,148.10798075661418
2023-11-21,148.13980708887064
2023-11-22,148.17112850610957
2023-11-23,148.23835496906267
2023-11-24,148.26342279255104
2023-11-25,148.49120899503282
2023-11-26,148.54440189620274
2023-11-27,148.5686479405009
2023-11-28,148.55653516665987
2023-11-29,148.54275741862588
2023-11-30,148.5645558919873
2023-12-01,148.54471830375232
2023-12-02,148.72897385281925
2023-12-03,148.7408440461275
2023-12-04,148.7267698563775
2023-12-05,148.6800761242492
2023-12-06,148.6361177853509
2023-12-07,148.63270498048493
2023-12-08,148.59308776882705
2023-12-09,148.76333899895332
2023-12-10,148.76719574562114
2023-12-11,148.75118004726866
2023-12-12,148.7085600547507
2023-12-13,148.67449629180814
2023-12-14,148.68647012484865
2023-12-15,148.66727511752384
2023-12-16,148.86240969806727
2023-12-17,148.89493133990158
2023-12-18,148.91059270712555
2023-12-19,148.9018205226213
2023-12-20,148.90288144537266
2023-12-21,148.95033158955601
2023-12-22,148.9660298560715
2023-12-23,149.19455297237977
2023-12-24,149.25807189498698
2023-12-25,149.3015094796815
2023-12-26,149.31653964420337
2023-12-27,149.33677180387022
2023-12-28,149.39821674656514
2023-12-29,149.4223137034993
2023-12-30,149.65335615995602
2023-12-31,149.71337578046672
2024-01-01,149.74730415278017
2024-01-02,149.74697245908393
2024-01-03,149.7462928265661
2024-01-04,149.78171758409624
2024-01-05,149.77525632939145
