ds,yhat
2023-11-11,124.22239
2023-11-12,124.586586
2023-11-13,124.78183
2023-11-14,124.855934
2023-11-15,124.84499
2023-11-16,124.773735
2023-11-17,124.66045
2023-11-18,124.51955
2023-11-19,124.360054
2023-11-20,124.18843
2023-11-21,124.01008
2023-11-22,123.82922
2023-11-23,123.64904
2023-11-24,123.47021
2023-11-25,123.294754
2023-11-26,123.12318
2023-11-27,122.956024
2023-11-28,122.7936
2023-11-29,122.63581
2023-11-30,122.48336
2023-12-01,122.33638
2023-12-02,122.19372
2023-12-03,122.05562
2023-12-04,121.92247
2023-12-05,121.79401
2023-12-06,121.66965
2023-12-07,121.54859
2023-12-08,121.43051
2023-12-09,121.31665
2023-12-10,121.20582
2023-12-11,121.09778
2023-12-12,120.99251
2023-12-13,120.889595
2023-12-14,120.78889
2023-12-15,120.69
2023-12-16,120.593216
2023-12-17,120.49926
2023-12-18,120.4078
2023-12-19,120.3185
2023-12-20,120.2318
2023-12-21,120.14665
2023-12-22,120.06411
2023-12-23,119.98356
2023-12-24,119.90497
2023-12-25,119.828316
2023-12-26,119.75358
2023-12-27,119.68071
2023-12-28,119.60964
2023-12-29,119.54036
2023-12-30,119.472824
2023-12-31,119.406975
2024-01-01,119.34279
2024-01-02,119.28019
2024-01-03,119.21917
2024-01-04,119.15967
2024-01-05,119.10167
