ds,yhat
2023-11-11,90.03517
2023-11-12,90.10441
2023-11-13,90.20261
2023-11-14,90.30558
2023-11-15,90.41077
2023-11-16,90.51745
2023-11-17,90.62444
2023-11-18,90.73042
2023-11-19,90.83436
2023-11-20,90.93555
2023-11-21,91.033585
2023-11-22,91.12827
2023-11-23,91.21955
2023-11-24,91.30743
2023-11-25,91.391975
2023-11-26,91.47329
2023-11-27,91.55143
2023-11-28,91.62656
2023-11-29,91.69875
2023-11-30,91.768135
2023-12-01,91.8348
2023-12-02,91.89886
2023-12-03,91.96042
2023-12-04,92.01956
2023-12-05,92.07641
2023-12-06,92.13102
2023-12-07,92.1835
2023-12-08,92.23394
2023-12-09,92.28239
2023-12-10,92.32894
2023-12-11,92.373695
2023-12-12,92.41668
2023-12-13,92.45799
2023-12-14,92.49768
2023-12-15,92.53582
2023-12-16,92.57248
2023-12-17,92.6077
2023-12-18,92.64153
2023-12-19,92.67406
2023-12-20,92.70531
2023-12-21,92.735344
2023-12-22,92.76418
2023-12-23,92.791916
2023-12-24,92.81856
2023-12-25,92.844154
2023-12-26,92.86876
2023-12-27,92.89239
2023-12-28,92.915115
2023-12-29,92.93695
2023-12-30,92.95792
2023-12-31,92.97807
2024-01-01,92.99744
2024-01-02,93.01604
2024-01-03,93.03391
2024-01-04,93.05111
2024-01-05,93.06761
