ds,yhat
2023-11-11,45.23638
2023-11-12,45.49087
2023-11-13,45.716465
2023-11-14,45.912178
2023-11-15,46.08308
2023-11-16,46.235233
2023-11-17,46.373653
2023-11-18,46.50191
2023-11-19,46.622536
2023-11-20,46.737225
2023-11-21,46.84655
2023-11-22,46.951767
2023-11-23,47.052437
2023-11-24,47.14929
2023-11-25,47.242535
2023-11-26,47.33221
2023-11-27,47.41842
2023-11-28,47.501408
2023-11-29,47.58127
2023-11-30,47.65837
2023-12-01,47.73238
2023-12-02,47.80388
2023-12-03,47.872856
2023-12-04,47.939407
2023-12-05,48.003494
2023-12-06,48.06518
2023-12-07,48.124966
2023-12-08,48.182705
2023-12-09,48.23792
2023-12-10,48.290943
2023-12-11,48.342396
2023-12-12,48.39219
2023-12-13,48.44046
2023-12-14,48.48723
2023-12-15,48.53258
2023-12-16,48.57625
2023-12-17,48.618042
2023-12-18,48.658417
2023-12-19,48.6975
2023-12-20,48.735126
2023-12-21,48.771732
2023-12-22,48.807034
2023-12-23,48.84108
2023-12-24,48.873928
2023-12-25,48.905624
2023-12-26,48.936214
2023-12-27,48.96574
2023-12-28,48.994232
2023-12-29,49.021748
2023-12-30,49.048306
2023-12-31,49.07394
2024-01-01,49.09869
2024-01-02,49.122585
2024-01-03,49.145645
2024-01-04,49.167908
2024-01-05,49.1894
