ds,yhat
2023-11-11,173.64319
2023-11-12,174.4877
2023-11-13,175.00371
2023-11-14,175.29779
2023-11-15,175.44617
2023-11-16,175.50015
2023-11-17,175.49327
2023-11-18,175.44719
2023-11-19,175.37563
2023-11-20,175.28745
2023-11-21,175.18843
2023-11-22,175.08241
2023-11-23,174.97203
2023-11-24,174.85889
2023-11-25,174.74428
2023-11-26,174.62898
2023-11-27,174.51363
2023-11-28,174.39867
2023-11-29,174.28447
2023-11-30,174.17125
2023-12-01,174.0592
2023-12-02,173.94832
2023-12-03,173.83875
2023-12-04,173.73058
2023-12-05,173.62383
2023-12-06,173.51855
2023-12-07,173.41463
2023-12-08,173.31206
2023-12-09,173.21095
2023-12-10,173.11128
2023-12-11,173.01295
2023-12-12,172.91588
2023-12-13,172.82014
2023-12-14,172.7256
2023-12-15,172.63222
2023-12-16,172.54008
2023-12-17,172.44917
2023-12-18,172.35947
2023-12-19,172.271
2023-12-20,172.18376
2023-12-21,172.09758
2023-12-22,172.01256
2023-12-23,171.92868
2023-12-24,171.84595
2023-12-25,171.76436
2023-12-26,171.68382
2023-12-27,171.6044
2023-12-28,171.52603
2023-12-29,171.44872
2023-12-30,171.37245
2023-12-31,171.29721
2024-01-01,171.22298
2024-01-02,171.14973
2024-01-03,171.0775
2024-01-04,171.00621
2024-01-05,170.93588
