ds,yhat
2023-11-11,102.48196303054696
2023-11-12,102.46270735874475
2023-11-13,102.43533885241158
2023-11-14,102.58058989139184
2023-11-15,102.5547228183137
2023-11-16,102.5221006550044
2023-11-17,102.60431347950302
2023-11-18,102.31921768665742
2023-11-19,102.2924435560185
2023-11-20,102.25884591471821
2023-11-21,102.39906034799613
2023-11-22,102.36923536680992
2023-11-23,102.33360724444358
2023-11-24,102.41363092671428
2023-11-25,102.1270241264307
2023-11-26,102.09927990048658
2023-11-27,102.06512236188932
2023-11-28,102.20506783730383
2023-11-29,102.17516173448082
2023-11-30,102.13955768740885
2023-12-01,102.21965224486843
2023-12-02,101.93313208345434
2023-12-03,101.90548892727011
2023-12-04,101.87147672778217
2023-12-05,102.01167333643909
2023-12-06,101.9822168804969
2023-12-07,101.94738338246239
2023-12-08,102.02871888986877
2023-12-09,101.74408312699933
2023-12-10,101.71915991125935
2023-12-11,101.68890897750185
2023-12-12,101.83412156075478
2023-12-13,101.81115009135043
2023-12-14,101.7844787091224
2023-12-15,101.87584804845174
2023-12-16,101.60329150518976
2023-12-17,101.59263843676483
2023-12-18,101.57895915109378
2023-12-19,101.74311424486712
2023-12-20,101.7414788471922
2023-12-21,101.73850866307015
2023-12-22,101.85586143642432
2023-12-23,101.61143118627841
2023-12-24,101.63085077974841
2023-12-25,101.64893777542513
2023-12-26,101.84624613787727
2023-12-27,101.87879437922668
2023-12-28,101.9106369806818
2023-12-29,102.06299263033137
2023-12-30,101.85328650648619
2023-12-31,101.90666200711895
2024-01-01,101.95743666023053
2024-01-02,102.18566458588782
2024-01-03,102.24687580988726
2024-01-04,102.3046590061503
2024-01-05,102.4798009154982
