ds,yhat
2023-11-11,766.74225
2023-11-12,768.81946
2023-11-13,770.5222
2023-11-14,771.98816
2023-11-15,773.328
2023-11-16,774.6034
2023-11-17,775.8443
2023-11-18,777.0647
2023-11-19,778.27106
2023-11-20,779.4662
2023-11-21,780.6518
2023-11-22,781.8284
2023-11-23,782.9966
2023-11-24,784.1566
2023-11-25,785.30853
2023-11-26,786.4529
2023-11-27,787.58936
2023-11-28,788.71844
2023-11-29,789.84
2023-11-30,790.9542
2023-12-01,792.06104
2023-12-02,793.1607
2023-12-03,794.25305
2023-12-04,795.3383
2023-12-05,796.4165
2023-12-06,797.4876
2023-12-07,798.55176
2023-12-08,799.6088
2023-12-09,800.6591
2023-12-10,801.70245
2023-12-11,802.7389
2023-12-12,803.7688
2023-12-13,804.79175
2023-12-14,805.8081
2023-12-15,806.8178
2023-12-16,807.8209
2023-12-17,808.8174
2023-12-18,809.8073
2023-12-19,810.7908
2023-12-20,811.7679
2023-12-21,812.7386
2023-12-22,813.70294
2023-12-23,814.6609
2023-12-24,815.61273
2023-12-25,816.5582
2023-12-26,817.49756
2023-12-27,818.4307
2023-12-28,819.35785
2023-12-29,820.2788
2023-12-30,821.1938
2023-12-31,822.1028
2024-01-01,823.0058
2024-01-02,823.9029
2024-01-03,824.79407
2024-01-04,825.6795
2024-01-05,826.5591
