ds,yhat
2023-11-11,745.7137
2023-11-12,749.09607
2023-11-13,751.69666
2023-11-14,753.63403
2023-11-15,755.0374
2023-11-16,756.02295
2023-11-17,756.6909
2023-11-18,757.12427
2023-11-19,757.38806
2023-11-20,757.531
2023-11-21,757.591
2023-11-22,757.59784
2023-11-23,757.5696
2023-11-24,757.5191
2023-11-25,757.45514
2023-11-26,757.38574
2023-11-27,757.3131
2023-11-28,757.24005
2023-11-29,757.1673
2023-11-30,757.09717
2023-12-01,757.02765
2023-12-02,756.96027
2023-12-03,756.89575
2023-12-04,756.8329
2023-12-05,756.7742
2023-12-06,756.7154
2023-12-07,756.6596
2023-12-08,756.6048
2023-12-09,756.5502
2023-12-10,756.49164
2023-12-11,756.43713
2023-12-12,756.3828
2023-12-13,756.3291
2023-12-14,756.27655
2023-12-15,756.2235
2023-12-16,756.1715
2023-12-17,756.1215
2023-12-18,756.0728
2023-12-19,756.0251
2023-12-20,755.97766
2023-12-21,755.9313
2023-12-22,755.88763
2023-12-23,755.844
2023-12-24,755.80066
2023-12-25,755.7577
2023-12-26,755.71533
2023-12-27,755.67346
2023-12-28,755.6322
2023-12-29,755.59155
2023-12-30,755.55164
2023-12-31,755.5123
2024-01-01,755.47363
2024-01-02,755.4355
2024-01-03,755.398
2024-01-04,755.36115
2024-01-05,755.3248
