ds,yhat
2023-11-11,39.932392
2023-11-12,39.8515
2023-11-13,39.818027
2023-11-14,39.809475
2023-11-15,39.8097
2023-11-16,39.81057
2023-11-17,39.809246
2023-11-18,39.805397
2023-11-19,39.799793
2023-11-20,39.793415
2023-11-21,39.78706
2023-11-22,39.78122
2023-11-23,39.77617
2023-11-24,39.772034
2023-11-25,39.768726
2023-11-26,39.76616
2023-11-27,39.76422
2023-11-28,39.76279
2023-11-29,39.7617
2023-11-30,39.760937
2023-12-01,39.7604
2023-12-02,39.760006
2023-12-03,39.75974
2023-12-04,39.759533
2023-12-05,39.7594
2023-12-06,39.759323
2023-12-07,39.759262
2023-12-08,39.759216
2023-12-09,39.75919
2023-12-10,39.75916
2023-12-11,39.75914
2023-12-12,39.759117
2023-12-13,39.759094
2023-12-14,39.759098
2023-12-15,39.7591
2023-12-16,39.759098
2023-12-17,39.759098
2023-12-18,39.75909
2023-12-19,39.759094
2023-12-20,39.759087
2023-12-21,39.759094
2023-12-22,39.759087
2023-12-23,39.759098
2023-12-24,39.759087
2023-12-25,39.759094
2023-12-26,39.759087
2023-12-27,39.759094
2023-12-28,39.759098
2023-12-29,39.759087
2023-12-30,39.759098
2023-12-31,39.759098
2024-01-01,39.75908
2024-01-02,39.759087
2024-01-03,39.75909
2024-01-04,39.759098
2024-01-05,39.759083
