ds,yhat
2023-11-11,39.31091
2023-11-12,39.26186
2023-11-13,39.209133
2023-11-14,39.157692
2023-11-15,39.11086
2023-11-16,39.070477
2023-11-17,39.037376
2023-11-18,39.012203
2023-11-19,38.99412
2023-11-20,38.982384
2023-11-21,38.975845
2023-11-22,38.97367
2023-11-23,38.974712
2023-11-24,38.977913
2023-11-25,38.982826
2023-11-26,38.98852
2023-11-27,38.99467
2023-11-28,39.000896
2023-11-29,39.006874
2023-11-30,39.01281
2023-12-01,39.018673
2023-12-02,39.02405
2023-12-03,39.029083
2023-12-04,39.033916
2023-12-05,39.03844
2023-12-06,39.042877
2023-12-07,39.047035
2023-12-08,39.050762
2023-12-09,39.054646
2023-12-10,39.058426
2023-12-11,39.061985
2023-12-12,39.065533
2023-12-13,39.068768
2023-12-14,39.071682
2023-12-15,39.074223
2023-12-16,39.076653
2023-12-17,39.079094
2023-12-18,39.08148
2023-12-19,39.08376
2023-12-20,39.086124
2023-12-21,39.0882
2023-12-22,39.090256
2023-12-23,39.092243
2023-12-24,39.09419
2023-12-25,39.096066
2023-12-26,39.09789
2023-12-27,39.09966
2023-12-28,39.101383
2023-12-29,39.10304
2023-12-30,39.10465
2023-12-31,39.106197
2024-01-01,39.1077
2024-01-02,39.109142
2024-01-03,39.110546
2024-01-04,39.1119
2024-01-05,39.11319
