ds,yhat
2023-11-11,31.77905
2023-11-12,31.619902
2023-11-13,31.62877
2023-11-14,31.68921
2023-11-15,31.738075
2023-11-16,31.759922
2023-11-17,31.760359
2023-11-18,31.74928
2023-11-19,31.734571
2023-11-20,31.720633
2023-11-21,31.70918
2023-11-22,31.700699
2023-11-23,31.694746
2023-11-24,31.69075
2023-11-25,31.688189
2023-11-26,31.686558
2023-11-27,31.685528
2023-11-28,31.684885
2023-11-29,31.684547
2023-11-30,31.684269
2023-12-01,31.684185
2023-12-02,31.684118
2023-12-03,31.684027
2023-12-04,31.684006
2023-12-05,31.683998
2023-12-06,31.683979
2023-12-07,31.683985
2023-12-08,31.683998
2023-12-09,31.683985
2023-12-10,31.68399
2023-12-11,31.683977
2023-12-12,31.683979
2023-12-13,31.683998
2023-12-14,31.683998
2023-12-15,31.684004
2023-12-16,31.68401
2023-12-17,31.683964
2023-12-18,31.683973
2023-12-19,31.68399
2023-12-20,31.683985
2023-12-21,31.683979
2023-12-22,31.683983
2023-12-23,31.68399
2023-12-24,31.68399
2023-12-25,31.68399
2023-12-26,31.683985
2023-12-27,31.683979
2023-12-28,31.683979
2023-12-29,31.683973
2023-12-30,31.683998
2023-12-31,31.68399
2024-01-01,31.68399
2024-01-02,31.683998
2024-01-03,31.683983
2024-01-04,31.683989
2024-01-05,31.683973
