ds,yhat
2023-11-11,113.87205
2023-11-12,114.555145
2023-11-13,115.21582
2023-11-14,115.90888
2023-11-15,116.6287
2023-11-16,117.36072
2023-11-17,118.09416
2023-11-18,118.82292
2023-11-19,119.54414
2023-11-20,120.256905
2023-11-21,120.96104
2023-11-22,121.65677
2023-11-23,122.344376
2023-11-24,123.02413
2023-11-25,123.696266
2023-11-26,124.361
2023-11-27,125.018394
2023-11-28,125.66861
2023-11-29,126.311745
2023-11-30,126.94787
2023-12-01,127.57704
2023-12-02,128.1994
2023-12-03,128.81497
2023-12-04,129.42387
2023-12-05,130.02612
2023-12-06,130.62181
2023-12-07,131.21103
2023-12-08,131.79382
2023-12-09,132.37032
2023-12-10,132.94052
2023-12-11,133.50452
2023-12-12,134.0624
2023-12-13,134.6142
2023-12-14,135.15997
2023-12-15,135.69984
2023-12-16,136.23383
2023-12-17,136.76201
2023-12-18,137.28444
2023-12-19,137.8012
2023-12-20,138.31235
2023-12-21,138.81792
2023-12-22,139.31801
2023-12-23,139.81267
2023-12-24,140.30194
2023-12-25,140.78589
2023-12-26,141.26457
2023-12-27,141.73807
2023-12-28,142.20642
2023-12-29,142.66968
2023-12-30,143.12788
2023-12-31,143.58115
2024-01-01,144.02943
2024-01-02,144.47287
2024-01-03,144.9115
2024-01-04,145.34535
2024-01-05,145.77449
