ds,yhat
2023-11-11,324.2669
2023-11-12,325.27237
2023-11-13,325.94257
2023-11-14,326.458
2023-11-15,326.91064
2023-11-16,327.33807
2023-11-17,327.75385
2023-11-18,328.16235
2023-11-19,328.56506
2023-11-20,328.96262
2023-11-21,329.35535
2023-11-22,329.74344
2023-11-23,330.12708
2023-11-24,330.50644
2023-11-25,330.88153
2023-11-26,331.25247
2023-11-27,331.61926
2023-11-28,331.98203
2023-11-29,332.34076
2023-11-30,332.6955
2023-12-01,333.0463
2023-12-02,333.39325
2023-12-03,333.73627
2023-12-04,334.07553
2023-12-05,334.411
2023-12-06,334.74274
2023-12-07,335.0708
2023-12-08,335.3952
2023-12-09,335.716
2023-12-10,336.03323
2023-12-11,336.34695
2023-12-12,336.65717
2023-12-13,336.96393
2023-12-14,337.26727
2023-12-15,337.56726
2023-12-16,337.86392
2023-12-17,338.15726
2023-12-18,338.44736
2023-12-19,338.73422
2023-12-20,339.0179
2023-12-21,339.29846
2023-12-22,339.57584
2023-12-23,339.85016
2023-12-24,340.12143
2023-12-25,340.38968
2023-12-26,340.65494
2023-12-27,340.91727
2023-12-28,341.17667
2023-12-29,341.4332
2023-12-30,341.6869
2023-12-31,341.9377
2024-01-01,342.1858
2024-01-02,342.4311
2024-01-03,342.67368
2024-01-04,342.91357
2024-01-05,343.1508
