ds,yhat
2023-11-11,300.81076
2023-11-12,301.90146
2023-11-13,302.96014
2023-11-14,303.9257
2023-11-15,304.7848
2023-11-16,305.54526
2023-11-17,306.22195
2023-11-18,306.8301
2023-11-19,307.38306
2023-11-20,307.89117
2023-11-21,308.36246
2023-11-22,308.8025
2023-11-23,309.21548
2023-11-24,309.604
2023-11-25,309.97015
2023-11-26,310.31558
2023-11-27,310.6413
2023-11-28,310.94833
2023-11-29,311.23785
2023-11-30,311.51068
2023-12-01,311.7674
2023-12-02,312.00882
2023-12-03,312.2359
2023-12-04,312.4494
2023-12-05,312.65002
2023-12-06,312.83826
2023-12-07,313.01508
2023-12-08,313.18112
2023-12-09,313.3369
2023-12-10,313.48306
2023-12-11,313.6202
2023-12-12,313.7487
2023-12-13,313.86923
2023-12-14,313.9823
2023-12-15,314.0883
2023-12-16,314.1877
2023-12-17,314.2811
2023-12-18,314.3688
2023-12-19,314.451
2023-12-20,314.52835
2023-12-21,314.60095
2023-12-22,314.66873
2023-12-23,314.7323
2023-12-24,314.79193
2023-12-25,314.84793
2023-12-26,314.90042
2023-12-27,314.94965
2023-12-28,314.99585
2023-12-29,315.0392
2023-12-30,315.07983
2023-12-31,315.118
2024-01-01,315.15378
2024-01-02,315.18738
2024-01-03,315.2188
2024-01-04,315.24835
2024-01-05,315.2761
