ds,yhat
2023-11-11,180.0443053097017
2023-11-12,180.1109646910151
2023-11-13,180.05592066477834
2023-11-14,180.16864528908442
2023-11-15,180.2293635453177
2023-11-16,180.29135368932776
2023-11-17,180.3231300324495
2023-11-18,180.47588718967083
2023-11-19,180.52723837983766
2023-11-20,180.45429413284327
2023-11-21,180.54671740302138
2023-11-22,180.58498698592336
2023-11-23,180.62269385683933
2023-11-24,180.62871818637672
2023-11-25,180.7546661937601
2023-11-26,180.77859959517002
2023-11-27,180.6781042191868
2023-11-28,180.74333404467146
2023-11-29,180.75526284642228
2023-11-30,180.7679683793098
2023-12-01,180.75079718402725
2023-12-02,180.85578950923912
2023-12-03,180.86139743838007
2023-12-04,180.74554311149336
2023-12-05,180.79865359395794
2023-12-06,180.80190484353986
2023-12-07,180.80949993434965
2023-12-08,180.79082980369833
2023-12-09,180.89789614892797
2023-12-10,180.90902964006472
2023-12-11,180.80195035893564
2023-12-12,180.8668069785185
2023-12-13,180.88442703819894
2023-12-14,180.90860332230773
2023-12-15,180.90826440519777
2023-12-16,181.03490874095132
2023-12-17,181.06633517504318
2023-12-18,180.97971646833494
2023-12-19,181.06465200390906
2023-12-20,181.10143167556936
2023-12-21,181.14333560483914
2023-12-22,181.1588173953839
2023-12-23,181.29894996473982
2023-12-24,181.34116651794076
2023-12-25,181.26234297491249
2023-12-26,181.35185778561646
2023-12-27,181.38986094385768
2023-12-28,181.42957671252282
2023-12-29,181.43948769272575
2023-12-30,181.57077926004197
2023-12-31,181.60107697593662
2024-01-01,181.50752338874622
2024-01-02,181.57983031681118
2024-01-03,181.59853863491756
2024-01-04,181.61731033281043
2024-01-05,181.6051007728204
