ds,yhat
2023-11-11,146.40097
2023-11-12,146.93713
2023-11-13,147.33073
2023-11-14,147.61642
2023-11-15,147.8326
2023-11-16,148.00482
2023-11-17,148.14812
2023-11-18,148.27098
2023-11-19,148.37825
2023-11-20,148.47282
2023-11-21,148.55653
2023-11-22,148.63081
2023-11-23,148.69669
2023-11-24,148.75507
2023-11-25,148.80678
2023-11-26,148.85257
2023-11-27,148.89308
2023-11-28,148.92892
2023-11-29,148.96059
2023-11-30,148.98859
2023-12-01,149.01334
2023-12-02,149.03522
2023-12-03,149.05455
2023-12-04,149.07164
2023-12-05,149.08676
2023-12-06,149.1001
2023-12-07,149.11191
2023-12-08,149.12234
2023-12-09,149.13158
2023-12-10,149.13972
2023-12-11,149.14693
2023-12-12,149.15327
2023-12-13,149.15894
2023-12-14,149.16391
2023-12-15,149.1683
2023-12-16,149.17216
2023-12-17,149.17563
2023-12-18,149.17865
2023-12-19,149.18134
2023-12-20,149.18372
2023-12-21,149.18582
2023-12-22,149.18765
2023-12-23,149.1893
2023-12-24,149.19075
2023-12-25,149.19203
2023-12-26,149.19316
2023-12-27,149.19414
2023-12-28,149.19504
2023-12-29,149.19582
2023-12-30,149.19652
2023-12-31,149.1971
2024-01-01,149.19766
2024-01-02,149.19815
2024-01-03,149.19855
2024-01-04,149.19891
2024-01-05,149.19925
