ds,yhat
2023-11-11,140.99977
2023-11-12,141.4762
2023-11-13,141.86028
2023-11-14,142.15218
2023-11-15,142.36295
2023-11-16,142.50734
2023-11-17,142.59995
2023-11-18,142.65334
2023-11-19,142.67805
2023-11-20,142.68239
2023-11-21,142.67247
2023-11-22,142.65317
2023-11-23,142.62787
2023-11-24,142.59946
2023-11-25,142.56973
2023-11-26,142.54016
2023-11-27,142.51158
2023-11-28,142.48457
2023-11-29,142.45943
2023-11-30,142.43634
2023-12-01,142.41563
2023-12-02,142.39725
2023-12-03,142.38089
2023-12-04,142.36644
2023-12-05,142.35373
2023-12-06,142.34273
2023-12-07,142.33316
2023-12-08,142.32509
2023-12-09,142.31837
2023-12-10,142.31271
2023-12-11,142.30774
2023-12-12,142.30399
2023-12-13,142.3009
2023-12-14,142.29846
2023-12-15,142.2967
2023-12-16,142.29529
2023-12-17,142.29411
2023-12-18,142.29315
2023-12-19,142.29228
2023-12-20,142.29153
2023-12-21,142.29103
2023-12-22,142.29056
2023-12-23,142.29018
2023-12-24,142.28987
2023-12-25,142.28958
2023-12-26,142.28937
2023-12-27,142.28918
2023-12-28,142.28902
2023-12-29,142.2889
2023-12-30,142.2888
2023-12-31,142.28871
2024-01-01,142.28864
2024-01-02,142.28859
2024-01-03,142.28853
2024-01-04,142.28848
2024-01-05,142.28847
