ds,yhat
2023-11-11,58.570175
2023-11-12,58.693783
2023-11-13,58.820435
2023-11-14,58.93645
2023-11-15,59.040627
2023-11-16,59.135777
2023-11-17,59.225044
2023-11-18,59.310608
2023-11-19,59.393776
2023-11-20,59.474964
2023-11-21,59.55403
2023-11-22,59.63067
2023-11-23,59.70441
2023-11-24,59.774952
2023-11-25,59.842056
2023-11-26,59.905514
2023-11-27,59.965218
2023-11-28,60.02118
2023-11-29,60.073505
2023-11-30,60.12229
2023-12-01,60.16772
2023-12-02,60.21002
2023-12-03,60.249317
2023-12-04,60.285778
2023-12-05,60.31963
2023-12-06,60.35103
2023-12-07,60.380203
2023-12-08,60.407333
2023-12-09,60.43253
2023-12-10,60.45593
2023-12-11,60.477676
2023-12-12,60.49801
2023-12-13,60.516964
2023-12-14,60.534668
2023-12-15,60.55125
2023-12-16,60.56676
2023-12-17,60.58121
2023-12-18,60.59469
2023-12-19,60.607258
2023-12-20,60.618954
2023-12-21,60.629944
2023-12-22,60.64014
2023-12-23,60.649662
2023-12-24,60.658543
2023-12-25,60.666824
2023-12-26,60.674557
2023-12-27,60.681763
2023-12-28,60.68849
2023-12-29,60.69476
2023-12-30,60.70062
2023-12-31,60.70608
2024-01-01,60.711174
2024-01-02,60.715927
2024-01-03,60.72036
2024-01-04,60.724487
2024-01-05,60.728348
